,HR,Dates,city,YR,M,D,MW,TEMP,DEWPOINT,AverageDailyMW,AverageDailyTemp,AverageDailyDewPoint
1,0,01-01-2011,Delhi - BRPL,2011,1,1,729.630073,9.5,9.5,1004.021231,10.6875,9.1875
2,1,01-01-2011,Delhi - BRPL,2011,1,1,642.309273,9,9,1004.021231,10.6875,9.1875
3,10,01-01-2011,Delhi - BRPL,2011,1,1,1400.667673,15.5,9.5,1004.021231,10.6875,9.1875
4,11,01-01-2011,Delhi - BRPL,2011,1,1,1329.202373,15,9.5,1004.021231,10.6875,9.1875
5,12,01-01-2011,Delhi - BRPL,2011,1,1,1222.507273,13,10,1004.021231,10.6875,9.1875
6,13,01-01-2011,Delhi - BRPL,2011,1,1,1067.737573,11.5,10.5,1004.021231,10.6875,9.1875
7,14,01-01-2011,Delhi - BRPL,2011,1,1,995.109873,10,10,1004.021231,10.6875,9.1875
8,15,01-01-2011,Delhi - BRPL,2011,1,1,955.333073,9,9,1004.021231,10.6875,9.1875
9,16,01-01-2011,Delhi - BRPL,2011,1,1,957.952773,8.5,8.5,1004.021231,10.6875,9.1875
10,17,01-01-2011,Delhi - BRPL,2011,1,1,1049.661773,9,9,1004.021231,10.6875,9.1875
11,18,01-01-2011,Delhi - BRPL,2011,1,1,1189.767073,9,9,1004.021231,10.6875,9.1875
12,19,01-01-2011,Delhi - BRPL,2011,1,1,1213.876773,8,8,1004.021231,10.6875,9.1875
13,2,01-01-2011,Delhi - BRPL,2011,1,1,601.693873,9,9,1004.021231,10.6875,9.1875
14,20,01-01-2011,Delhi - BRPL,2011,1,1,1183.782073,8,8,1004.021231,10.6875,9.1875
15,21,01-01-2011,Delhi - BRPL,2011,1,1,1110.384573,8,8,1004.021231,10.6875,9.1875
16,22,01-01-2011,Delhi - BRPL,2011,1,1,970.112473,9,8.5,1004.021231,10.6875,9.1875
17,23,01-01-2011,Delhi - BRPL,2011,1,1,805.023073,9,8.5,1004.021231,10.6875,9.1875
18,3,01-01-2011,Delhi - BRPL,2011,1,1,586.351273,9,9,1004.021231,10.6875,9.1875
19,4,01-01-2011,Delhi - BRPL,2011,1,1,612.430273,10,9.5,1004.021231,10.6875,9.1875
20,5,01-01-2011,Delhi - BRPL,2011,1,1,722.952373,11,10,1004.021231,10.6875,9.1875
21,6,01-01-2011,Delhi - BRPL,2011,1,1,910.982673,12,9.5,1004.021231,10.6875,9.1875
22,7,01-01-2011,Delhi - BRPL,2011,1,1,1151.228173,14,9,1004.021231,10.6875,9.1875
23,8,01-01-2011,Delhi - BRPL,2011,1,1,1312.053773,15,10,1004.021231,10.6875,9.1875
24,9,01-01-2011,Delhi - BRPL,2011,1,1,1375.759373,15.5,10,1004.021231,10.6875,9.1875
25,0,02-01-2011,Delhi - BRPL,2011,1,2,675.2487615,9,9,983.8089451,10.52083333,7.291666667
26,1,02-01-2011,Delhi - BRPL,2011,1,2,609.4604615,9,9,983.8089451,10.52083333,7.291666667
27,10,02-01-2011,Delhi - BRPL,2011,1,2,1323.911462,12,7.5,983.8089451,10.52083333,7.291666667
28,11,02-01-2011,Delhi - BRPL,2011,1,2,1291.998962,11,8,983.8089451,10.52083333,7.291666667
29,12,02-01-2011,Delhi - BRPL,2011,1,2,1188.540362,11,9,983.8089451,10.52083333,7.291666667
30,13,02-01-2011,Delhi - BRPL,2011,1,2,1066.710162,11,8,983.8089451,10.52083333,7.291666667
31,14,02-01-2011,Delhi - BRPL,2011,1,2,1006.637362,10.5,7.5,983.8089451,10.52083333,7.291666667
32,15,02-01-2011,Delhi - BRPL,2011,1,2,973.3212615,10,7,983.8089451,10.52083333,7.291666667
33,16,02-01-2011,Delhi - BRPL,2011,1,2,985.5423615,10,6.5,983.8089451,10.52083333,7.291666667
34,17,02-01-2011,Delhi - BRPL,2011,1,2,1098.487562,10,6,983.8089451,10.52083333,7.291666667
35,18,02-01-2011,Delhi - BRPL,2011,1,2,1230.555062,10,6,983.8089451,10.52083333,7.291666667
36,19,02-01-2011,Delhi - BRPL,2011,1,2,1235.620462,10,6,983.8089451,10.52083333,7.291666667
37,2,02-01-2011,Delhi - BRPL,2011,1,2,580.8709615,10,8.5,983.8089451,10.52083333,7.291666667
38,20,02-01-2011,Delhi - BRPL,2011,1,2,1198.660062,10,6,983.8089451,10.52083333,7.291666667
39,21,02-01-2011,Delhi - BRPL,2011,1,2,1121.108862,10,6,983.8089451,10.52083333,7.291666667
40,22,02-01-2011,Delhi - BRPL,2011,1,2,967.6320615,10,6,983.8089451,10.52083333,7.291666667
41,23,02-01-2011,Delhi - BRPL,2011,1,2,788.3593615,9,6,983.8089451,10.52083333,7.291666667
42,3,02-01-2011,Delhi - BRPL,2011,1,2,575.1023615,10,8,983.8089451,10.52083333,7.291666667
43,4,02-01-2011,Delhi - BRPL,2011,1,2,594.8773615,10.5,8,983.8089451,10.52083333,7.291666667
44,5,02-01-2011,Delhi - BRPL,2011,1,2,681.6570615,11,7.5,983.8089451,10.52083333,7.291666667
45,6,02-01-2011,Delhi - BRPL,2011,1,2,852.9673615,11,7,983.8089451,10.52083333,7.291666667
46,7,02-01-2011,Delhi - BRPL,2011,1,2,1061.078662,12.5,8,983.8089451,10.52083333,7.291666667
47,8,02-01-2011,Delhi - BRPL,2011,1,2,1221.055462,13,7.5,983.8089451,10.52083333,7.291666667
48,9,02-01-2011,Delhi - BRPL,2011,1,2,1282.010862,12,7,983.8089451,10.52083333,7.291666667
49,0,03-01-2011,Delhi - BRPL,2011,1,3,653.1456,9,6,1068.210267,10.1875,6.583333333
50,1,03-01-2011,Delhi - BRPL,2011,1,3,588.8668,9,5.5,1068.210267,10.1875,6.583333333
51,10,03-01-2011,Delhi - BRPL,2011,1,3,1445.8586,13.5,6,1068.210267,10.1875,6.583333333
52,11,03-01-2011,Delhi - BRPL,2011,1,3,1373.9287,13.5,6,1068.210267,10.1875,6.583333333
53,12,03-01-2011,Delhi - BRPL,2011,1,3,1272.1622,13,7,1068.210267,10.1875,6.583333333
54,13,03-01-2011,Delhi - BRPL,2011,1,3,1137.9548,11,8,1068.210267,10.1875,6.583333333
55,14,03-01-2011,Delhi - BRPL,2011,1,3,1104.357,11,8,1068.210267,10.1875,6.583333333
56,15,03-01-2011,Delhi - BRPL,2011,1,3,1092.6334,10,8,1068.210267,10.1875,6.583333333
57,16,03-01-2011,Delhi - BRPL,2011,1,3,1105.4921,10,8,1068.210267,10.1875,6.583333333
58,17,03-01-2011,Delhi - BRPL,2011,1,3,1210.5772,9,8,1068.210267,10.1875,6.583333333
