01-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
01-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
01-01-2011,Punjab,44.86,10.43,,55.29,42.04,42.26,0.22,97.55,0.00
01-01-2011,Haryana,29.47,0.60,,30.07,62.68,61.61,-1.06,91.68,0.00
01-01-2011,Rajasthan,117.88,4.12,3.57,125.58,61.55,60.30,-1.26,185.87,0.24
01-01-2011,Delhi,17.38,,,17.38,42.25,41.43,-0.82,58.81,0.00
01-01-2011,UP,117.79,3.52,14.40,135.70,89.66,90.00,0.34,225.71,43.10
01-01-2011,Uttarakhand,,9.04,,9.04,21.67,23.02,1.35,32.06,0.60
01-01-2011,HP,,6.06,,6.06,17.23,17.54,0.31,23.60,0.00
01-01-2011,J & K,,7.80,0.00,7.80,23.95,21.53,-2.42,29.32,1.70
01-01-2011,Chandigarh,,,,0.00,3.27,3.27,0.00,3.27,0.00
01-01-2011,,,,,,,,,,
01-01-2011,Total,327.38,41.56,17.97,386.92,364.31,360.96,-3.35,747.87,45.64
02-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
02-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
02-01-2011,Punjab,44.86,10.43,,55.29,42.04,42.26,0.22,97.55,0.00
02-01-2011,Haryana,29.47,0.60,,30.07,62.68,61.61,-1.06,91.68,0.00
02-01-2011,Rajasthan,117.88,4.12,3.57,125.58,61.55,60.30,-1.26,185.87,0.24
02-01-2011,Delhi,17.38,,,17.38,42.25,41.43,-0.82,58.81,0.00
02-01-2011,UP,117.79,3.52,14.40,135.70,89.66,90.00,0.34,225.71,43.10
02-01-2011,Uttarakhand,,9.04,,9.04,21.67,23.02,1.35,32.06,0.60
02-01-2011,HP,,6.06,,6.06,17.23,17.54,0.31,23.60,0.00
02-01-2011,J & K,,7.80,0.00,7.80,23.95,21.53,-2.42,29.32,1.70
02-01-2011,Chandigarh,,,,0.00,3.27,3.27,0.00,3.27,0.00
02-01-2011,,,,,,,,,,
02-01-2011,Total,327.38,41.56,17.97,386.92,364.31,360.96,-3.35,747.87,45.64
03-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
03-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
03-01-2011,Punjab,44.86,10.43,,55.29,42.04,42.26,0.22,97.55,0.00
03-01-2011,Haryana,29.47,0.60,,30.07,62.68,61.61,-1.06,91.68,0.00
03-01-2011,Rajasthan,117.88,4.12,3.57,125.58,61.55,60.30,-1.26,185.87,0.24
03-01-2011,Delhi,17.38,,,17.38,42.25,41.43,-0.82,58.81,0.00
03-01-2011,UP,117.79,3.52,14.40,135.70,89.66,90.00,0.34,225.71,43.10
03-01-2011,Uttarakhand,,9.04,,9.04,21.67,23.02,1.35,32.06,0.60
03-01-2011,HP,,6.06,,6.06,17.23,17.54,0.31,23.60,0.00
03-01-2011,J & K,,7.80,0.00,7.80,23.95,21.53,-2.42,29.32,1.70
03-01-2011,Chandigarh,,,,0.00,3.27,3.27,0.00,3.27,0.00
03-01-2011,,,,,,,,,,
03-01-2011,Total,327.38,41.56,17.97,386.92,364.31,360.96,-3.35,747.87,45.64
