"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,3,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,183,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,42,2,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,86,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,54,3,"*","**","Coal Supply Affected"
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,213,31,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",420,30,13,218,17,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,519,26,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,136,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,20,1,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,144,7,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,240,38,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,316,12,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,92,33,,,
"15","RAIL","OBRA TPS",1372,20,13.9,223,16,,,
"16","RAIL","PANKI TPS",210,30,3.5,82,24,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,287,31,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,91,3,"*","**","Less Receipt"
"19","PITHEAD","RIHAND STPS",2000,15,32.1,713,22,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,620,19,,,
"21","RAIL","TANDA TPS",440,25,7.8,217,28,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,461,26,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,43,5,"*","Data not received",
"TOTAL OF N.R.",21842,24,331.9,5005,15,6,5,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,118,14,,,
"25","PITHEAD","KORBA-II",200,15,8.7,92,11,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,464,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,576,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,599,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,523,60,,,
"30","RAIL","BHILAI TPS",500,25,7.8,158,20,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,87,6,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,63,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,19,5,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,122,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",60,30,6.4,94,15,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,168,32,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,26,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,130,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,734,14,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,249,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,464,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,32,2,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,235,17,,,
"44","RAIL","NASIK TPS",880,25,13.6,222,16,,,
"45","RAIL","PARLI TPS",670,25,16.7,90,5,"*","Less Receipt",
"46","RAIL","PARAS TPS",55,25,7.5,128,17,,,
"47","RAIL","DAHANU TPS",500,25,9.2,33,4,"*","Less Receipt - SECL",
"48","RAIL","WARDHA WARORA",405,20,6.6,30,4,"*","Supply not started",
"TOTAL OF W.R.",23122.5,21,387.4,5455,14,9,2,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,145,6,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",720,20,18.9,395,21,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,5,5,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,137,8,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,498,13,,,
"54","RAIL","SIMHADRI",1000,25,23.1,111,5,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,479,19,,,
"57","RAIL","BELLARY TPS",500,20,8.7,68,8,,,
"TAMIL NADU",,,,,,,,,,
