,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of APR 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,226.98,2.07,1.63,1.59,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,210.44,2.01,1.69,1.54,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,338.30,3.18,2.58,2.57,0.00,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,450.88,3.98,3.39,3.19,0.00,0.00,0.00
,Sub Total (NR),2344.06,1226.60,11.24,9.29,8.89,0.00,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,314.49,3.16,3.04,2.15,0.00,0.00,2.09
 6,KAWAS CCPP,656.20 GUJARAT,277.95,3.15,1.96,1.96,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,193.20,3.55,2.53,2.23,0.00,0.00,28.72
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,403.60,3.55,2.53,2.23,0.00,0.00,28.72
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,422.00,3.56,2.54,2.22,0.00,0.00,28.71
,Sub Total (WR),3533.59,1611.24,16.97,12.60,10.79,0.00,0.00,88.24
10,KATHALGURI CCPP,291.00 ASSAM,161.94,1.40,1.40,1.52,0.00,0.00,10.46
11,AGARTALA GT,84.00 TRIPURA,55.10,0.58,0.75,0.75,0.00,0.00,0.00
,Sub Total (NER),375.00,217.04,1.98,2.15,2.27,0.00,0.00,10.46
,Total (CS),6252.65,3054.88,30.19,24.04,21.95,0.00,0.00,98.70
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,93.08,1.30,1.34,0.85,0.00,0.00,0.00
13,PRAGATI CCGT-III $,500.00 DELHI,4.76,2.40,0.00,0.05,0.00,0.00,0.00
14,PRAGATI CCPP,330.40 DELHI,162.34,1.59,1.51,1.29,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,212.67,1.58,1.51,1.42,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,36.72,1.18,0.95,0.66,0.00,12.34,0.00
,Sub Total (NR),1544.20,509.57,8.05,5.31,4.27,0.00,12.34,0.00
17,DHUVARAN CCPP,218.62 GUJARAT,117.43,1.05,0.80,0.80,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,54.17,0.75,0.53,0.42,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,282.43,2.49,1.77,1.77,0.00,0.00,0.00
20,URAN CCPP,672.00 MAHARASHTRA,446.64,3.23,4.70,3.43,0.00,0.00,0.00
,Sub Total (WR),1564.72,900.67,7.52,7.80,6.42,0.00,0.00,0.00
21,KARAIKAL CCPP,32.50 PUDUCHERRY,22.20,0.16,0.19,0.19,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,60.59,0.51,0.39,0.39,0.00,0.00,16.46
23,KUTTALAM CCPP,100.00 TAMIL NADU,0.00,0.48,0.45,0.00,0.00,0.00,0.00 Plant sis under long planned shut
,down from 18.7.2010

24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Plant is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,61.90,0.89,0.44,0.41,0.00,0.00,0.00 Unit II is under shut down due to
,problem in gas turbine.
,Sub Total (SR),435.70,144.69,2.04,1.47,0.99,0.00,0.00,16.46
26,LAKWA GT,120.00 ASSAM,62.53,0.84,0.90,0.87,0.00,0.00,2.02
27,NAMRUP CCPP,95.00 ASSAM,48.71,0.43,0.50,0.50,0.00,0.00,0.15
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.16,0.18,0.00,0.00,0.00
29,BARAMURA GT #,58.50 TRIPURA,27.13,0.41,0.40,0.39,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,32.41,0.63,0.58,0.55,0.00,0.00,0.00
,Sub Total (NER),387.50,170.78,2.45,2.54,2.49,0.00,0.00,2.17
,Total (SS),3932.12,1725.71,20.06,17.12,14.17,0.00,12.34,18.63
PVT SECTOR
,31,VATWA CCPP,100.00 GUJARAT,37.85,0.48,0.31,0.27,0.00,0.00,36.00
 32,TROMBAY CCPP,180.00 MAHARASHTRA,132.23,0.86,0.92,0.92,0.00,0.00,0.20
,Sub Total (WR),280.00,170.08,1.34,1.23,1.19,0.00,0.00,36.20
,Total (PVT S),280.00,170.08,1.34,1.23,1.19,0.00,0.00,36.20
PVT IPP SECTOR
 33,RITHALA CCPP **,71.50 DELHI,23.41,0.50,0.40,0.32,0.00,0.00,7.00 Both the units (2x35.75 MW GT)
,are under trial run.
,Sub Total (NR),71.50,23.41,0.50,0.40,0.32,0.00,0.00,7.00
 34,BARODA CCPP,160.00 GUJARAT,64.05,0.77,0.44,0.49,0.00,0.00,20.98
 35,ESSAR CCPP,515.00 GUJARAT,61.80,2.47,1.51,1.51,0.00,0.00,0.00 allocation of gas is for 300 MW
,capacity only.
 36,PEGUTHAN CCPP,655.00 GUJARAT,265.72,3.14,1.88,1.80,0.00,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,768.81,5.51,4.65,4.79,0.00,0.00,0.00
,Sub Total (WR),2477.50,1160.38,11.89,8.48,8.59,0.00,0.00,20.98
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,306.61,2.23,2.38,2.30,0.00,0.00,10.36 In addition to RIL gas station has
,also used RLNG.
 39,GMR Energy Ltd -,220.00 ANDHRA PRADESH,105.07,1.06,0.69,0.69,0.00,0.00,0.00
,Kakinada
 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,136.00,1.00,0.86,0.86,3414.36,0.00,5.98
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,287.12,2.19,1.93,1.79,0.00,0.00,6.96
 42,KONASEEMA CCPP &,445.00 ANDHRA PRADESH,217.37,2.14,2.14,1.53,0.00,0.00,0.00
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,199.12,1.76,1.46,1.33,0.00,0.00,0.00
,CCPP .
 44,KONDAPALLI CCPP***,350.00 ANDHRA PRADESH,158.72,1.68,1.75,1.18,0.00,0.00,94.92
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,126.14,1.06,0.85,0.85,0.00,0.00,30.94
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,254.48,1.78,1.47,1.47,0.00,0.00,4.72
 47,KARUPPUR CCPP,119.80 TAMIL NADU,38.60,0.58,0.50,0.28,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,191.70,1.59,0.74,0.74,16397.30,6.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,31.59,0.25,0.26,0.25,0.00,0.00,0.56
,Sub Total (SR),3601.50,2052.52,17.32,15.03,13.27,19811.66,6.00,154.44
 50,DLF ASSAM GT,24.50 ASSAM,4.07,0.12,0.17,0.06,0.00,0.00,10.09
,Sub Total (NER),24.50,4.07,0.12,0.17,0.06,0.00,0.00,10.09
,Total (PVT IPP S),6175.00,3240.38,29.83,24.08,22.24,19811.66,6.00,192.51
,GRAND TOTAL,16639.77,8191.05,81.42,66.47,59.55,19811.66,18.34,346.04
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas 9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG.
$ Pragati III GT-1 (250 MW) commissioned on 24.10.2010 and GT-2 (250 MW) commissioned on 17.2.2011.
# Baramura GT (21 MW) commissioned on 3.8.2010.
& Konaseema CCPP (ST- 165 MW) commissinoed on 30.6. 2010.
** Rithala CCPP GT-1 (35.75 MW) commd. on 9.12.2010 and GT-2 (35.75 MW) commd. on 4.10.2010.
*** Kondapalli CCPP ST(133 MW) commissiond on 18.07.2010.

MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

