,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of AUG 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen $,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,246.42,2.07,1.86,1.69,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,229.16,2.01,1.84,1.68,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,356.93,3.18,2.81,2.70,82.25,0.00,0.00 NTPC is allowed intra-regional
,transfer of gas.
 4,DADRI CCPP,829.78 UTTAR PRADESH,447.56,3.98,3.26,3.04,0.00,0.00,0.00
,Sub Total (NR),2344.06,1280.07,11.24,9.77,9.11,82.25,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,262.82,3.16,3.09,1.77,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,312.55,3.15,2.12,2.12,0.00,9.81,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,371.47,3.55,1.50,1.36,0.00,0.00,1.64
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,371.47,3.55,2.66,2.42,0.00,0.00,2.92
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,371.48,3.56,3.21,2.93,0.00,0.00,8.09
,Sub Total (WR),3533.59,1689.78,16.97,12.58,10.60,0.00,9.81,12.65
10,KATHALGURI CCPP,291.00 ASSAM,137.06,1.40,1.40,1.22,0.00,0.00,10.29
11,AGARTALA GT,84.00 TRIPURA,55.48,0.58,0.73,0.73,0.00,0.00,0.00
,Sub Total (NER),375.00,192.55,1.98,2.13,1.95,0.00,0.00,10.29
