,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of DEC 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen@@,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,297.64,2.07,1.98,1.97,414.89,45.00,1.15
 2,ANTA CCPP,419.33 RAJASTHAN,79.68,2.01,0.86,0.79,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,406.74,3.18,3.10,3.04,27.69,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,488.51,3.98,3.39,3.39,0.00,0.00,0.00
,Sub Total (NR),2344.06,1272.57,11.24,9.33,9.19,442.58,45.00,1.15
 5,GANDHAR CCPP,657.39 GUJARAT,284.02,3.16,3.22,1.91,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,303.47,3.15,2.05,2.05,0.00,11.62,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,369.47,3.55,2.29,2.29,0.00,0.00,31.19
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,369.32,3.55,2.29,2.29,0.00,0.00,31.19
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,368.31,3.56,2.29,2.29,0.00,0.00,31.19
,Sub Total (WR),3533.59,1694.60,16.97,12.14,10.83,0.00,11.62,93.57
 10,KATHALGURI CCPP,291.00 ASSAM,161.26,1.40,1.40,1.48,0.00,0.00,1.71
 11,AGARTALA GT,84.00 TRIPURA,54.52,0.58,0.75,0.72,0.00,0.00,0.00
,Sub Total (NER),375.00,215.78,1.98,2.15,2.20,0.00,0.00,1.71
,Total (CS),6252.65,3182.94,30.19,23.62,22.22,442.58,56.62,96.43
STATE SECTOR
 12,I.P.CCPP,270.00 DELHI,167.63,1.30,1.50,1.41,0.00,0.00,0.00
 13,PRAGATI CCGT-III**,250.00 DELHI,0.00,1.20,0.00,0.00,0.00,0.00,0.00
