,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of DEC 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)

CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,318.73,2.07,2.24,2.16,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,196.84,2.01,1.51,1.42,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,414.20,3.18,3.22,3.15,0.00,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,550.46,3.98,3.62,3.66,0.00,0.00,0.00
,Sub Total (NR),2344.06,1480.24,11.24,10.59,10.39,0.00,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,273.50,3.16,3.26,1.81,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,403.72,3.15,2.68,2.68,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,286.30,3.55,2.75,1.73,0.00,0.00,150.00
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,286.30,3.55,2.75,2.80,0.00,0.00,113.74
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,286.33,3.56,2.75,1.01,0.00,0.00,250.00
,Sub Total (WR),3533.59,1536.14,16.97,14.19,10.03,0.00,0.00,513.74
10,KATHALGURI CCPP,291.00 ASSAM,142.10,1.40,1.40,1.30,0.00,0.00,27.43
11,AGARTALA GT,84.00 TRIPURA,57.08,0.58,0.76,0.76,0.00,0.00,0.00
,Sub Total (NER),375.00,199.19,1.98,2.16,2.06,0.00,0.00,27.43
,Total (CS),6252.65,3215.57,30.19,26.94,22.48,0.00,0.00,541.17
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,138.91,1.30,1.46,1.17,0.00,0.00,0.00
13,PRAGATI CCGT-III,500.00 DELHI,39.24,2.40,0.35,0.35,0.00,0.00,0.00
14,PRAGATI CCPP,330.40 DELHI,231.84,1.59,1.70,1.55,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,180.89,1.58,1.42,1.27,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,49.92,1.18,0.95,0.88,0.00,0.62,0.00
,Sub Total (NR),1544.20,640.80,8.05,5.88,5.22,0.00,0.62,0.00
17,DHUVARAN CCPP,218.62 GUJARAT,71.85,1.05,0.77,0.48,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,84.97,0.75,0.63,0.63,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,291.63,2.49,1.86,1.86,0.00,0.00,0.00
20,URAN CCPP,672.00 MAHARASHTRA,413.52,3.23,4.70,3.14,0.00,0.00,0.00
,Sub Total (WR),1564.72,861.97,7.52,7.96,6.11,0.00,0.00,0.00
21,KARAIKAL CCPP,32.50 PUDUCHERRY,7.30,0.16,0.18,0.18,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,69.30,0.51,0.42,0.42,0.00,0.00,10.39
23,KUTTALAM CCPP,100.00 TAMIL NADU,56.58,0.48,0.36,0.36,0.00,0.00,0.00
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Plant is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,86.30,0.89,0.84,0.79,0.00,0.00,0.00
,Sub Total (SR),435.70,219.48,2.04,1.80,1.75,0.00,0.00,10.39
26,LAKWA GT,120.00 ASSAM,60.91,0.84,0.90,0.79,0.00,0.00,5.39
27,NAMRUP CCPP,95.00 ASSAM,43.84,0.43,0.57,0.53,0.00,0.00,0.72
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.09,0.08,0.00,0.00,0.00
29,BARAMURA GT,58.50 TRIPURA,31.03,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,35.41,0.63,0.58,0.49,0.00,0.00,0.00
,Sub Total (NER),387.50,171.20,2.45,2.54,2.29,0.00,0.00,6.11
,Total (SS),3932.12,1893.44,20.06,18.18,15.37,0.00,0.62,16.50
PVT SECTOR
,31,VATWA CCPP,100.00 GUJARAT,35.22,0.48,0.37,0.25,0.00,0.00,38.92
 32,TROMBAY CCPP,180.00 MAHARASHTRA,132.14,0.86,0.90,0.90,0.00,0.00,3.84
,Sub Total (WR),280.00,167.36,1.34,1.27,1.15,0.00,0.00,42.76
,Total (PVT S),280.00,167.36,1.34,1.27,1.15,0.00,0.00,42.76
PVT IPP SECTOR
 33,RITHALA CCPP #,108.00 DELHI,2.55,0.52,0.40,0.04,0.00,0.00,0.00 GT-1 under Planned maintenance
,from 01.12.11 to 21.12.11

,Sub Total (NR),108.00,2.55,0.52,0.40,0.04,0.00,0.00,0.00
 34,BARODA CCPP,160.00 GUJARAT,88.02,0.77,0.48,0.63,0.00,0.00,29.97 Gas consumption includes spot
,Gas also.
 35,ESSAR CCPP,515.00 GUJARAT,1.13,2.47,1.15,1.15,0.00,0.00,0.00 Allocation of gas is for 300 MW
,capacity only. Essar has not
,supplied energy to Grid on net
,basis.
 36,PEGUTHAN CCPP,655.00 GUJARAT,326.76,3.14,2.18,2.11,0.00,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,498.89,5.51,4.65,3.04,0.00,0.00,157.84
,Sub Total (WR),2477.50,914.80,11.89,8.46,6.93,0.00,0.00,187.81
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,179.11,2.23,1.86,1.32,0.00,0.00,67.73
 39,GMR Energy Ltd -,220.00 ANDHRA PRADESH,126.17,1.06,0.60,0.60,0.00,0.00,0.00
,Kakinada
 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,107.32,1.00,0.73,0.73,64.86,0.00,43.73
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,215.40,2.19,1.93,1.48,0.00,0.00,78.31
 42,KONASEEMA CCPP,445.00 ANDHRA PRADESH,161.33,2.14,1.78,1.18,0.00,0.00,93.78
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,159.45,1.76,1.46,1.09,0.00,0.00,0.00
 44,CCPP .
,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,169.53,1.68,1.75,1.18,0.00,0.00,50.26
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,111.75,1.06,0.76,0.76,0.00,0.00,45.93
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,155.37,1.78,1.48,0.97,0.00,0.00,67.38
 47,KARUPPUR CCPP,119.80 TAMIL NADU,64.61,0.58,0.48,0.50,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,185.13,1.59,0.44,0.44,22625.68,6.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,31.47,0.25,0.26,0.25,0.00,0.00,1.14
,Sub Total (SR),3601.50,1666.65,17.32,13.53,10.50,22690.54,6.00,448.26
 50,DLF ASSAM GT,24.50 ASSAM,5.00,0.12,0.17,0.06,0.00,0.00,10.51
,Sub Total (NER),24.50,5.00,0.12,0.17,0.06,0.00,0.00,10.51
,Total (PVT IPP S),6211.50,2589.00,29.85,22.56,17.53,22690.54,6.00,646.58
,GRAND TOTAL,16676.27,7865.36,81.44,68.95,56.53,22690.54,6.62,1247.01
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
# Rithala CCPP ST (36.5 MW) has been taken on commercial operation since 4.9.2011.
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

