,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of JAN 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity $$,in the,Gen ##,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD) Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,278.88,2.07,1.89,1.88,149.55,14.00,20.08
 2,ANTA CCPP,419.33 RAJASTHAN,247.83,2.01,1.73,1.72,637.58,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,418.31,3.18,3.12,3.08,1175.50,0.00,0.40
 4,DADRI CCPP,829.78 UTTAR PRADESH,514.76,3.98,3.43,3.43,0.00,3820.44,0.00
,Sub Total (NR),2344.06,1459.78,11.24,10.17,10.11,1962.63,3834.44,20.48
 5,GANDHAR CCPP,657.39 GUJARAT,284.57,3.16,2.32,1.90,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,341.62,3.15,2.32,2.32,278.52,9.76,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,340.75,3.55,2.31,2.31,0.00,0.00,29.94
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,340.39,3.55,2.31,2.31,0.00,0.00,29.94
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,340.38,3.56,2.31,2.32,0.00,0.00,29.94
,Sub Total (WR),3533.59,1647.71,16.97,11.57,11.16,278.52,9.76,89.82
10,KATHALGURI CCPP,291.00 ASSAM,197.71,1.40,1.40,1.73,0.00,0.00,0.77
11,AGARTALA GT,84.00 TRIPURA,53.80,0.58,0.75,0.70,0.00,0.00,0.00
,Sub Total (NER),375.00,251.51,1.98,2.15,2.43,0.00,0.00,0.77
,Total (CS),6252.65,3359.00,30.19,23.89,23.70,2241.15,3844.2,111.07
