,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of JAN 2012
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,292.72,2.07,2.16,1.99,47.97,10.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,237.19,2.01,1.92,1.76,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,279.61,3.18,2.35,2.13,0.00,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,463.89,3.98,3.44,3.13,0.00,0.00,0.00
,Sub Total (NR),2344.06,1273.41,11.24,9.87,9.01,47.97,10.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,397.09,3.16,3.20,2.63,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,213.78,3.15,1.44,1.44,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,281.27,3.55,2.74,1.95,0.00,0.00,56.87
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,370.89,3.55,2.74,2.57,0.00,0.00,56.87
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,84.69,3.56,2.74,0.59,0.00,0.00,400.00
,Sub Total (WR),3533.59,1347.73,16.97,12.86,9.18,0.00,0.00,513.74
10,KATHALGURI CCPP,291.00 ASSAM,172.47,1.40,1.40,1.62,0.00,0.00,5.51
11,AGARTALA GT,84.00 TRIPURA,59.15,0.58,0.78,0.78,0.00,0.00,0.00
,Sub Total (NER),375.00,231.62,1.98,2.18,2.40,0.00,0.00,5.51
,Total (CS),6252.65,2852.76,30.19,24.91,20.59,47.97,10.00,519.25
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,119.64,1.30,1.33,0.98,0.00,0.00,0.00
13,PRAGATI CCGT-III,500.00 DELHI,45.81,2.40,0.93,0.56,0.00,0.00,88.69
14,PRAGATI CCPP,330.40 DELHI,229.34,1.59,1.70,1.56,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,172.92,1.58,1.44,1.23,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,38.79,1.18,0.95,0.70,0.00,0.82,0.00
,Sub Total (NR),1544.20,606.49,8.05,6.35,5.03,0.00,0.82,88.69
17,DHUVARAN CCPP,218.62 GUJARAT,83.63,1.05,0.53,0.53,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,71.27,0.75,0.61,0.53,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,208.23,2.49,1.29,1.63,0.00,0.00,5.85
20,URAN CCPP,672.00 MAHARASHTRA,423.04,3.23,4.70,3.18,0.00,0.00,0.00
,Sub Total (WR),1564.72,786.16,7.52,7.13,5.87,0.00,0.00,5.85
21,KARAIKAL CCPP,32.50 PUDUCHERRY,22.86,0.16,0.19,0.19,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,63.78,0.51,0.39,0.39,0.00,0.00,15.82
23,KUTTALAM CCPP,100.00 TAMIL NADU,53.00,0.48,0.35,0.35,0.00,0.00,0.00
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Plant is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,82.83,0.89,0.78,0.75,0.00,0.00,0.00
,Sub Total (SR),435.70,222.47,2.04,1.71,1.68,0.00,0.00,15.82
26,LAKWA GT,120.00 ASSAM,69.11,0.84,1.05,0.91,0.00,0.00,1.21
27,NAMRUP CCPP,95.00 ASSAM,52.47,0.43,0.66,0.73,0.00,0.00,0.16
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.00,0.00,0.00,0.00,0.00
29,BARAMURA GT,58.50 TRIPURA,31.16,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,40.92,0.63,0.58,0.50,0.00,0.00,0.00
,Sub Total (NER),387.50,193.67,2.45,2.69,2.54,0.00,0.00,1.37
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
,Total (SS),3932.12,1808.80,20.06,17.88,15.12,0.00,0.82,111.73
PVT SECTOR
 31,VATWA CCPP,100.00 GUJARAT,33.92,0.48,0.37,0.24,0.00,0.00,42.45
 32,TROMBAY CCPP,180.00 MAHARASHTRA,137.15,0.86,0.91,0.91,0.00,0.00,1.44
,Sub Total (WR),280.00,171.07,1.34,1.28,1.15,0.00,0.00,43.89
,Total (PVT S),280.00,171.07,1.34,1.28,1.15,0.00,0.00,43.89
PVT IPP SECTOR
 33,RITHALA CCPP #,108.00 DELHI,13.16,0.52,0.40,0.19,0.00,0.00,0.00
,Sub Total (NR),108.00,13.16,0.52,0.40,0.19,0.00,0.00,0.00
 34,BARODA CCPP,160.00 GUJARAT,47.72,0.77,0.30,0.34,0.00,0.00,63.27 Gas consumption includes spot Gas
,also.
 35,ESSAR CCPP,515.00 GUJARAT,0.26,2.47,0.95,0.95,0.00,0.00,0.00 Allocation of gas is for 300 MW
,capacity only.
 36,PEGUTHAN CCPP,655.00 GUJARAT,209.12,3.14,1.46,1.40,39.78,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,492.18,5.51,4.65,3.01,0.00,0.00,129.33
,Sub Total (WR),2477.50,749.29,11.89,7.36,5.70,39.78,0.00,192.60
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,179.04,2.23,1.86,1.28,0.00,0.00,153.58
 39,GMR Energy Ltd - Kakinada,220.00 ANDHRA PRADESH,126.17,1.06,0.53,0.53,0.00,0.00,0.00

 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,106.83,1.00,0.73,0.73,0.00,0.00,43.73
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,205.01,2.19,1.86,1.41,0.00,0.00,92.15
 42,KONASEEMA CCPP,445.00 ANDHRA PRADESH,139.93,2.14,1.78,1.07,0.00,0.00,109.20
 43,KONDAPALLI EXTN CCPP,366.00 ANDHRA PRADESH,141.06,1.76,1.46,0.95,0.00,0.00,0.00
 44,.
,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,213.37,1.68,1.75,1.44,0.00,0.00,60.25
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,96.83,1.06,0.72,0.72,0.00,0.00,57.94
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,148.27,1.78,0.92,0.92,0.00,0.00,92.46
 47,KARUPPUR CCPP,119.80 TAMIL NADU,62.58,0.58,0.48,0.39,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,58.91,1.59,0.12,0.12,125129.73,37.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,32.27,0.25,0.25,0.25,0.00,0.00,0.71
,Sub Total (SR),3601.50,1510.27,17.32,12.46,9.81,125129.73,37.00,610.02
 50,DLF ASSAM GT,24.50 ASSAM,4.86,0.12,0.17,0.05,0.00,0.00,4.75
,Sub Total (NER),24.50,4.86,0.12,0.17,0.05,0.00,0.00,4.75
,Total (PVT IPP S),6211.50,2277.58,29.85,20.39,15.75,125169.51,37.00,807.37
,GRAND TOTAL,16676.27,7110.20,81.44,64.46,52.61,125217.48,47.82,1482.24
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
# Rithala CCPP ST (36.5 MW) has been taken on commercial operation since 4.9.2011.
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

