,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY

,For the month of JUL 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD) Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,271.83,2.07,2.04,1.86,0,0,0
 2,ANTA CCPP,419.33 RAJASTHAN,237.54,2.01,1.9,1.74,0,0,0
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,351.75,3.18,2.74,2.63,23.76,0,0 NTPC is allowed intra-regional
,transfer of gas.
 4,DADRI CCPP,829.78 UTTAR PRADESH,347.66,3.98,2.55,2.38,0,0.81,0
,Sub Total (NR),2344.06,1208.78,11.24,9.23,8.61,23.76,0.81,0
 5,GANDHAR CCPP,657.39 GUJARAT,321.8,3.16,3.25,2.15,0,0,0
 6,KAWAS CCPP,656.2 GUJARAT,287.52,3.15,1.94,1.94,20.69,13.07,0
 7,RATNAGIRI CCPP I,740 MAHARASHTRA,230.57,3.55,1.5,1.46,0,0,0.9
 8,RATNAGIRI CCPP II,740 MAHARASHTRA,471.11,3.55,2.95,2.9,0,0,0
 9,RATNAGIRI CCPP III,740 MAHARASHTRA,477.51,3.56,2.95,2.94,0,0,0
,Sub Total (WR),3533.59,1788.51,16.97,12.59,11.39,20.69,13.07,0.9
 10,KATHALGURI CCPP,291 ASSAM,145.28,1.4,1.4,1.29,0,0,2.34
 11,AGARTALA GT,84 TRIPURA,48.14,0.58,0.64,0.64,0,0,0
,Sub Total (NER),375,193.42,1.98,2.04,1.93,0,0,2.34
,Total (CS),6252.65,3190.71,30.19,23.86,21.93,44.45,13.88,3.24
STATE SECTOR
 12,I.P.CCPP,270 DELHI,101.41,1.3,1.22,0.85,0,0,0
