,MONTHLY REPORT ON FUEL SUPPLY FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of JUN 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen $,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)

CENTRAL SECTOR
,1,FARIDABAD CCPP,431.59 HARYANA,259.34,2.07,1.86,1.81,0.00,0.00,0.00
,2,ANTA CCPP,419.33 RAJASTHAN,191.80,2.01,1.34,1.37,0.00,0.00,0.00
,3,AURAIYA CCPP,663.36 UTTAR PRADESH,364.59,3.18,2.83,2.80,95.62,0.00,0.06
,4,DADRI CCPP,829.78 UTTAR PRADESH,484.38,3.98,2.94,1.77,0.00,0.00,0.00
,Sub Total (NR),2344.06,1300.11,11.24,8.97,7.75,95.62,0.00,0.06
,5,GANDHAR CCPP,657.39 GUJARAT,392.04,3.16,3.17,2.72,0.00,0.00,0.00
,6,KAWAS CCPP,656.20 GUJARAT,339.71,3.15,2.40,2.40,15.11,2.49,0.00
,7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,248.10,3.55,2.03,2.02,0.00,0.00,0.00
,8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,252.41,3.55,2.02,2.02,0.00,0.00,0.00
,9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,447.19,3.56,2.02,2.02,0.00,0.00,0.00
,Sub Total (WR),3533.59,1679.45,16.97,11.64,11.18,15.11,2.49,0.00
 10,KATHALGURI CCPP,291.00 ASSAM,122.25,1.40,1.40,1.30,0.00,0.00,16.07
 11,AGARTALA GT,84.00 TRIPURA,54.99,0.58,0.75,0.76,0.00,0.00,0.00
,Sub Total (NER),375.00,177.24,1.98,2.15,2.06,0.00,0.00,16.07
,Total (CS),6252.65,3156.80,30.19,22.76,20.99,110.73,2.49,16.13
STATE SECTOR
 12,I.P.CCPP,270.00 DELHI,136.10,1.30,1.41,1.27,0.00,0.00,0.00
 13,PRAGATI CCPP,330.40 DELHI,209.86,1.59,1.57,1.52,0.00,0.00,0.00
