,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAR 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD) (MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,285.39,2.07,1.95,1.90,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,225.33,2.01,1.78,1.59,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,373.85,3.18,2.77,2.74,456.25,0.00,0.05
 4,DADRI CCPP,829.78 UTTAR PRADESH,465.92,3.98,3.20,3.20,0.00,0.00,0.00
,Sub Total (NR),2344.06,1350.49,11.24,9.70,9.43,456.25,0.00,0.05
 5,GANDHAR CCPP,657.39 GUJARAT,291.49,3.16,3.17,1.91,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,304.85,3.15,3.07,2.07,29.47,1.06,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,313.09,3.55,2.53,2.10,0.00,0.00,34.09
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,365.37,3.55,2.53,2.20,0.00,0.00,34.09
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,312.44,3.56,2.54,2.10,0.00,0.00,34.09
,Sub Total (WR),3533.59,1587.24,16.97,13.84,10.38,29.47,1.06,102.27
10,KATHALGURI CCPP,291.00 ASSAM,185.31,1.40,1.40,1.60,0.00,0.00,5.55
11,AGARTALA GT,84.00 TRIPURA,55.71,0.58,0.74,0.74,0.00,0.00,0.00
,Sub Total (NER),375.00,241.02,1.98,2.14,2.34,0.00,0.00,5.55
,Total (CS),6252.65,3178.75,30.19,25.68,22.15,485.72,1.06,107.87
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,114.36,1.30,1.27,0.99,0.00,0.00,0.00
13,PRAGATI CCGT-III $,500.00 DELHI,3.60,2.40,0.00,0.08,0.00,0.00,0.00 Use RLNG for commissioning and
,testing.
14,PRAGATI CCPP,330.40 DELHI,59.91,1.59,0.79,0.61,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,209.80,1.58,1.49,1.38,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,30.29,1.18,0.95,0.48,0.00,2.77,0.00
,Sub Total (NR),1544.20,417.96,8.05,4.50,3.54,0.00,2.77,0.00
17,DHUVARAN CCPP,218.62 GUJARAT,114.79,1.05,0.74,0.76,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,81.23,0.75,0.75,0.60,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,261.92,2.49,1.58,1.58,0.00,0.00,0.00
20,URAN CCPP,672.00 MAHARASHTRA,441.35,3.23,4.70,3.30,0.00,0.00,0.00
,Sub Total (WR),1564.72,899.29,7.52,7.77,6.24,0.00,0.00,0.00
21,KARAIKAL CCPP,32.50 PUDUCHERRY,12.77,0.16,0.11,0.11,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,63.33,0.51,0.39,0.39,0.00,0.00,16.28
23,KUTTALAM CCPP,100.00 TAMIL NADU,0.00,0.48,0.45,0.00,0.00,0.00,0.00 Plant is under long planned shut
,down from 18.7.2010.
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Power station is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,65.13,0.89,0.44,0.43,0.00,0.00,0.00 Unit II is under shut down due to
,problem in gas turbine.
,Sub Total (SR),435.70,141.23,2.04,1.39,0.93,0.00,0.00,16.28
26,LAKWA GT,120.00 ASSAM,66.61,0.84,0.90,0.89,0.00,0.00,0.81
27,NAMRUP CCPP,95.00 ASSAM,52.33,0.43,0.55,0.55,0.00,0.00,0.79
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.16,0.16,0.00,0.00,0.00
29,BARAMURA GT #,58.50 TRIPURA,30.17,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,37.53,0.63,0.60,0.65,0.00,0.00,0.00
,Sub Total (NER),387.50,186.64,2.45,2.61,2.65,0.00,0.00,1.60
,Total (SS),3932.12,1645.12,20.06,16.27,13.36,0.00,2.77,17.88
PVT SECTOR
,31,VATWA CCPP,100.00 GUJARAT,37.85,0.48,0.37,0.27,0.00,0.00,36.90
 32,TROMBAY CCPP,180.00 MAHARASHTRA,139.73,0.86,0.96,0.96,0.00,0.00,13.04
,Sub Total (WR),280.00,177.58,1.34,1.33,1.23,0.00,0.00,49.94
,Total (PVT S),280.00,177.58,1.34,1.33,1.23,0.00,0.00,49.94
PVT IPP SECTOR
 33,RITHALA CCPP **,71.50 DELHI,20.24,0.50,0.40,0.25,0.00,0.00,19.00 Both the units(2x35.75 MW GT) are
,under trial run.
,Sub Total (NR),71.50,20.24,0.50,0.40,0.25,0.00,0.00,19.00
 34,BARODA CCPP,160.00 GUJARAT,26.30,0.77,0.26,0.20,0.00,0.00,0.59
 35,ESSAR CCPP,515.00 GUJARAT,76.01,2.47,1.49,1.58,0.00,0.00,0.00 Allocation of gas is for 300 MW
,capacity only.
 36,PEGUTHAN CCPP,655.00 GUJARAT,247.80,3.14,1.70,1.64,0.00,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,693.43,5.51,4.65,4.20,0.00,0.00,0.00
,Sub Total (WR),2477.50,1043.54,11.89,8.10,7.62,0.00,0.00,0.59
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,267.88,2.23,1.74,1.70,0.00,0.00,59.89
 39,GMR Energy Ltd -,220.00 ANDHRA PRADESH,114.01,1.06,0.71,0.71,0.00,0.00,0.00
,Kakinada
 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,110.91,1.00,0.75,0.75,352.62,0.00,38.27
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,253.05,2.19,1.86,1.63,0.00,0.00,32.76 Generation loss is due to restriction
,in gas supply by RIL.
 42,KONASEEMA CCPP &,445.00 ANDHRA PRADESH,198.72,2.14,2.14,1.48,0.00,0.00,0.00
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,198.40,1.76,1.46,1.29,0.00,0.00,0.00
,CCPP .
 44,KONDAPALLI CCPP ***,350.00 ANDHRA PRADESH,157.14,1.68,1.75,1.15,0.00,0.00,83.56 Generation loss is due to short
,supply of gas by GAIL.
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,116.17,1.06,0.80,0.80,0.00,0.00,42.84
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,227.75,1.78,1.48,1.28,0.00,0.00,15.18
 47,KARUPPUR CCPP,119.80 TAMIL NADU,51.83,0.58,0.48,0.35,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,215.73,1.59,0.99,0.84,17572.97,3.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,31.08,0.25,0.27,0.25,0.00,0.00,1.79
,Sub Total (SR),3601.50,1942.67,17.32,14.43,12.23,17925.59,3.00,274.29
 50,DLF ASSAM GT,24.50 ASSAM,5.11,0.12,0.17,0.06,0.00,0.00,10.38
,Sub Total (NER),24.50,5.11,0.12,0.17,0.06,0.00,0.00,10.38
,Total (PVT IPP S),6175.00,3011.56,29.83,23.10,20.16,17925.59,3.00,304.26
,GRAND TOTAL,16639.77,8013.01,81.42,66.38,56.90,18411.31,6.83,479.95
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas 9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG.
$ Pragati III GT-1 (250 MW) commissioned on 24.10.2010 and GT-2 (250 MW) commissioned on 17.2.2011.
# Baramura GT (21 MW) commissioned on 3.8.2010.
& Konaseema CCPP (ST- 165 MW) commissinoed on 30.6. 2010.
** Rithala CCPP GT-1 (35.75 MW) commd. on 9.12.2010 and GT-2 (35.75 MW) commd. on 4.10.2010.
*** Kondapalli CCPP ST(133 MW) commissiond on 18.07.2010.

MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

