,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAR 2012
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,300.85,2.07,2.3,2.05,0,0,0
 2,ANTA CCPP,419.33 RAJASTHAN,242.53,2.01,1.87,1.75,28.38,0,0
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,236.26,3.18,2.07,1.7,0,0,0
 4,DADRI CCPP,829.78 UTTAR PRADESH,485.57,3.98,3.56,3.24,0,0,0
,Sub Total (NR),2344.06,1265.21,11.24,9.8,8.74,28.38,0,0
 5,GANDHAR CCPP,657.39 GUJARAT,318.4,3.16,3.06,2.06,0,0,0
 6,KAWAS CCPP,656.2 GUJARAT,426.97,3.15,2.83,2.83,0,0,0
 7,RATNAGIRI CCPP I,740 MAHARASHTRA,419.24,3.55,2.71,2.61,0,0,70
 8,RATNAGIRI CCPP II,740 MAHARASHTRA,340.84,3.55,2.71,2.12,0,0,100.92
 9,RATNAGIRI CCPP III,740 MAHARASHTRA,22.76,3.55,2.71,0.14,0,0,500
,Sub Total (WR),3533.59,1528.21,16.96,14.02,9.76,0,0,670.92
 10,KATHALGURI CCPP,291 ASSAM,144.65,1.4,1.4,1.38,0,0,20.92
 11,AGARTALA GT,84 TRIPURA,57.53,0.58,0.77,0.77,0,0,0
,Sub Total (NER),375,202.18,1.98,2.17,2.15,0,0,20.92
,Total (CS),6252.65,2995.6,30.18,25.99,20.65,28.38,0,691.84
STATE SECTOR
 12,I.P.CCPP,270 DELHI,64.53,1.3,1.49,0.52,0,0,0
 13,PRAGATI CCGT-III,750 DELHI,52.98,2.4,1.07,0.45,0,0,7.64
