,MONTHLY REPORT ON FUEL SUPPLY FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAY 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed +,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naphtha,HSD,(MUs)

CENTRAL SECTOR
,1,FARIDABAD CCPP,431.59 HARYANA,231.19,2.07,1.59,1.54,28.90,5.00,0.00
,2,ANTA CCPP,419.33 RAJASTHAN,264.30,2.01,1.95,1.83,8.51,0.00,0.00
,3,AURAIYA CCPP,663.36 UTTAR PRADESH,403.27,3.18,3.02,2.95,24.05,0.00,0.02
,4,DADRI CCPP,829.78 UTTAR PRADESH,531.98,3.98,3.62,3.56,0.00,0.00,0.00
,Sub Total (NR),2344.06,1430.74,11.24,10.18,9.88,61.46,5.00,0.02
,5,GANDHAR CCPP,657.39 GUJARAT,413.93,3.12,3.00,2.78,0.00,0.00,0.00
,6,KAWAS CCPP,656.20 GUJARAT,387.87,3.15,2.61,2.61,12.73,13.83,0.00
,7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,408.93,3.55,2.23,2.39,0.00,0.00,0.00
,8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,217.70,3.55,2.20,2.13,0.00,0.00,0.00
,9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,441.66,3.56,2.20,2.13,0.00,0.00,0.00
,Sub Total (WR),3533.59,1870.09,16.93,12.24,12.04,12.73,13.83,0.00
 10,KATHALGURI CCPP,291.00 ASSAM,119.90,1.40,1.40,1.24,0.00,0.00,15.33
 11,AGARTALA GT,84.00 TRIPURA,56.48,0.58,0.75,0.75,0.00,0.00,0.00
,Sub Total (NER),375.00,176.38,1.98,2.15,1.99,0.00,0.00,15.33
,Total (CS),6252.65,3477.21,30.15,24.57,23.91,74.19,18.83,15.35
STATE SECTOR
 12,I.P.CCPP,270.00 DELHI,127.45,1.30,1.26,1.16,0.00,0.00,0.00
 13,PRAGATI CCPP,330.40 DELHI,216.21,1.59,1.65,1.49,0.00,0.00,0.00
