,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAY 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,111.77,2.07,1.12,0.97,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,198.43,2.01,1.64,1.43,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,293.93,3.18,2.32,2.18,456.25,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,434.33,3.98,3.29,2.91,0.00,0.00,0.00
,Sub Total (NR),2344.06,1038.46,11.24,8.37,7.49,456.25,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,307.64,3.16,3.01,2.03,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,256.84,3.15,1.75,1.75,91.93,12.22,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,138.09,3.55,2.48,0.87,0.00,0.00,25.00
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,449.59,3.55,2.48,2.83,0.00,0.00,8.68
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,451.05,3.56,2.48,2.84,0.00,0.00,7.00
,Sub Total (WR),3533.59,1603.21,16.97,12.20,10.32,91.93,12.22,40.68
10,KATHALGURI CCPP,291.00 ASSAM,161.09,1.40,1.40,1.47,0.00,0.00,15.82
11,AGARTALA GT,84.00 TRIPURA,56.13,0.58,0.75,0.75,0.00,0.00,0.00
,Sub Total (NER),375.00,217.22,1.98,2.15,2.22,0.00,0.00,15.82
,Total (CS),6252.65,2858.89,30.19,22.72,20.03,548.18,12.22,56.50
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,118.34,1.30,1.30,1.00,0.00,0.00,0.00
13,PRAGATI CCGT-III,500.00 DELHI,0.00,2.40,0.00,0.00,0.00,0.00,0.00
14,PRAGATI CCPP,330.40 DELHI,208.99,1.59,1.57,1.41,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,203.92,1.58,1.46,1.34,0.00,0.00,2.72
16,RAMGARH CCPP,113.80 RAJASTHAN,47.37,1.18,0.95,0.86,0.00,0.23,0.00
,Sub Total (NR),1544.20,578.62,8.05,5.28,4.61,0.00,0.23,2.72
17,DHUVARAN CCPP,218.62 GUJARAT,110.46,1.05,0.80,0.73,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,66.71,0.75,0.69,0.50,0.00,0.00,0.52
19,UTRAN CCPP,518.00 GUJARAT,257.86,2.49,1.53,1.53,0.00,0.00,0.00
20,URAN CCPP,672.00 MAHARASHTRA,470.55,3.23,4.70,3.46,0.00,0.00,0.00
,Sub Total (WR),1564.72,905.58,7.52,7.72,6.22,0.00,0.00,0.52
21,KARAIKAL CCPP,32.50 PUDUCHERRY,22.51,0.16,0.19,0.19,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,58.93,0.51,0.38,0.38,0.00,0.00,20.68
23,KUTTALAM CCPP,100.00 TAMIL NADU,4.79,0.48,0.45,0.05,0.00,0.00,0.00
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,VALUTHUR CCPP,186.20 TAMIL NADU,71.69,0.89,0.63,0.51,0.00,0.00,0.00
,Sub Total (SR),435.70,157.92,2.04,1.65,1.13,0.00,0.00,20.68
26,LAKWA GT,120.00 ASSAM,63.30,0.84,0.90,0.85,0.00,0.00,3.28
27,NAMRUP CCPP,95.00 ASSAM,50.89,0.43,0.66,0.71,0.00,0.00,0.00
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.00,0.00,0.00,0.00,0.00
29,BARAMURA GT,58.50 TRIPURA,29.88,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,33.26,0.63,0.58,0.50,0.00,0.00,0.00
,Sub Total (NER),387.50,177.33,2.45,2.54,2.46,0.00,0.00,3.28
,Total (SS),3932.12,1819.45,20.06,17.19,14.42,0.00,0.23,27.20
PVT SECTOR
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
 31,VATWA CCPP,100.00 GUJARAT,37.01,0.48,0.37,0.27,0.00,0.00,36.65
 32,TROMBAY CCPP,180.00 MAHARASHTRA,137.33,0.86,0.92,0.92,0.00,0.00,0.52
,Sub Total (WR),280.00,174.34,1.34,1.29,1.19,0.00,0.00,37.17
,Total (PVT S),280.00,174.34,1.34,1.29,1.19,0.00,0.00,37.17
PVT IPP SECTOR
 33,RITHALA CCPP,71.50 DELHI,24.86,0.50,0.40,0.33,0.00,0.00,0.00
,Sub Total (NR),71.50,24.86,0.50,0.40,0.33,0.00,0.00,0.00
 34,BARODA CCPP,160.00 GUJARAT,69.85,0.77,0.47,0.52,0.00,0.00,34.80
 35,ESSAR CCPP,515.00 GUJARAT,0.00,2.47,1.26,1.26,0.00,0.00,0.00

 36,PEGUTHAN CCPP,655.00 GUJARAT,241.36,3.14,1.69,1.62,0.00,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,736.20,5.51,4.65,4.42,0.00,0.00,48.45
,Sub Total (WR),2477.50,1047.41,11.89,8.07,7.82,0.00,0.00,83.25
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,322.82,2.23,2.38,2.34,0.00,0.00,6.48

 39,GMR Energy Ltd -,220.00 ANDHRA PRADESH,117.73,1.06,0.75,0.75,0.00,0.00,0.00
,Kakinada
 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,136.65,1.00,0.92,0.92,0.00,0.00,5.30
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,300.67,2.19,1.86,1.92,0.00,0.00,2.80
 42,KONASEEMA CCPP,445.00 ANDHRA PRADESH,236.62,2.14,1.75,1.63,0.00,0.00,0.00
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,218.32,1.76,1.46,1.40,0.00,0.00,0.00
,CCPP .
 44,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,203.47,1.68,1.75,1.41,0.00,0.00,68.83
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,137.18,1.06,0.89,0.89,0.00,0.00,21.22
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,269.24,1.78,1.47,1.50,0.00,0.00,15.76
 47,KARUPPUR CCPP,119.80 TAMIL NADU,82.69,0.58,0.48,0.53,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,159.69,1.59,0.58,0.58,13650.00,7.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,31.77,0.25,0.25,0.25,0.00,0.00,0.42
,Sub Total (SR),3601.50,2216.85,17.32,14.54,14.12,13650.00,7.00,120.81
 50,DLF ASSAM GT,24.50 ASSAM,5.13,0.12,0.17,0.06,0.00,0.00,10.46
,Sub Total (NER),24.50,5.13,0.12,0.17,0.06,0.00,0.00,10.46
,Total (PVT IPP S),6175.00,3294.25,29.83,23.18,22.33,13650.00,7.00,214.52
,GRAND TOTAL,16639.77,8146.93,81.42,64.38,57.97,14198.18,19.45,335.39
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel
h of MAY 2011
,Remarks




,Plant is not in operation.
,Remarks




allocation of gas is for 300 MW
capacity only.




In addition to RIL gas,station has
also used RLNG.

