,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of MAY 2012
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,275.84,2.07,2.01,1.83,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,223.03,2.01,1.78,1.56,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,315.45,3.18,2.64,2.27,54.22,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,469.60,3.98,3.53,3.19,0.00,0.00,0.00
,Sub Total (NR),2344.06,1283.92,11.24,9.96,8.85,54.22,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,376.07,3.16,3.17,2.47,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,298.72,3.15,2.03,2.03,0.00,3.98,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,0.00,3.55,0.00,0.00,0.00,0.00,0.00
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,409.52,3.55,4.25,2.36,0.00,0.00,100.00
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,336.54,3.56,4.25,2.36,0.00,0.00,111.12
,Sub Total (WR),3533.59,1420.85,16.97,13.70,9.22,0.00,3.98,211.12
10,KATHALGURI CCPP,291.00 ASSAM,146.92,1.40,1.43,1.43,0.00,0.00,16.36
11,AGARTALA GT,84.00 TRIPURA,56.72,0.58,0.78,0.78,0.00,0.00,0.00
,Sub Total (NER),375.00,203.64,1.98,2.21,2.21,0.00,0.00,16.36
,Total (CS),6252.65,2908.41,30.19,25.87,20.28,54.22,3.98,227.48
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,158.46,1.30,1.48,1.32,0.00,0.00,0.00
13,PRAGATI CCGT-III,750.00 DELHI,137.76,3.60,1.30,0.94,0.00,0.00,11.45
14,PRAGATI CCPP,330.40 DELHI,214.30,1.59,1.53,1.34,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,83.20,1.58,1.20,0.78,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,24.50,1.18,0.95,0.52,0.00,15.74,0.00
,Sub Total (NR),1794.20,618.22,9.25,6.46,4.90,0.00,15.74,11.45
17,DHUVARAN CCPP,218.62 GUJARAT,66.17,1.05,0.84,0.84,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,73.92,0.75,0.53,0.54,0.00,0.00,0.00
19,HAZIRA CCPP EXT,351.00 GUJARAT,0.00,1.68,0.00,0.00,0.00,0.00,0.00


20,UTRAN CCPP,518.00 GUJARAT,90.48,2.49,0.59,0.59,0.00,0.00,0.00
21,URAN CCPP,672.00 MAHARASHTRA,353.14,3.23,4.70,2.71,0.00,0.00,80.27
,Sub Total (WR),1915.72,583.71,9.20,6.66,4.68,0.00,0.00,80.27
22,KARAIKAL CCPP,32.50 PUDUCHERRY,22.43,0.16,0.19,0.19,0.00,0.00,0.00
23,KOVIKALPAL CCPP,107.00 TAMIL NADU,64.81,0.51,0.39,0.39,0.00,0.00,15.42
24,KUTTALAM CCPP,100.00 TAMIL NADU,0.00,0.48,0.00,0.00,0.00,0.00,0.00
25,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,VALUTHUR CCPP,186.20 TAMIL NADU,102.98,0.89,0.74,0.74,0.00,0.00,0.00
,Sub Total (SR),435.70,190.22,2.04,1.32,1.32,0.00,0.00,15.42
27,LAKWA GT,157.20 ASSAM,74.02,1.10,1.05,0.76,0.00,0.00,0.00
28,NAMRUP CCPP,95.00 ASSAM,42.32,0.43,0.66,0.62,0.00,0.00,5.35
29,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.00,0.00,0.00,0.00,0.00
30,BARAMURA GT,58.50 TRIPURA,30.47,0.41,0.41,0.40,0.00,0.00,0.00
31,ROKHIA GT,90.00 TRIPURA,30.36,0.63,0.58,0.49,0.00,0.00,0.00
,Sub Total (NER),424.70,177.17,2.71,2.70,2.27,0.00,0.00,5.35
,Total (SS),4570.32,1569.32,23.20,17.14,13.17,0.00,15.74,112.49
PVT SECTOR
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
 32,VATWA CCPP,100.00 GUJARAT,21.94,0.48,0.26,0.18,0.00,0.00,52.46
 33,TROMBAY CCPP,180.00 MAHARASHTRA,139.62,0.86,0.76,0.76,0.00,0.00,0.00
,Sub Total (WR),280.00,161.56,1.34,1.02,0.94,0.00,0.00,52.46
,Total (PVT S),280.00,161.56,1.34,1.02,0.94,0.00,0.00,52.46
PVT IPP SECTOR
 34,RITHALA CCPP,108.00 DELHI,21.66,0.52,0.40,0.20,0.00,0.00,34.64
,Sub Total (NR),108.00,21.66,0.52,0.40,0.20,0.00,0.00,34.64
 35,BARODA CCPP,160.00 GUJARAT,32.86,0.77,0.25,0.25,0.00,0.00,84.15

 36,ESSAR CCPP,515.00 GUJARAT,0.00,2.47,0.96,0.96,0.00,0.00,0.00

 37,PEGUTHAN CCPP,655.00 GUJARAT,176.19,3.14,1.84,1.21,0.00,0.00,0.00
 38,SUGEN CCPP,1147.50 GUJARAT,518.82,5.51,4.65,3.10,0.00,0.00,203.71
,Sub Total (WR),2477.50,727.87,11.89,7.70,5.52,0.00,0.00,287.86
 39,GAUTAMI CCPP,464.00 ANDHRA PRADESH,147.04,2.23,1.86,0.98,0.00,0.00,191.37
 40,GMR Energy Ltd -,220.00 ANDHRA PRADESH,63.03,1.06,0.44,0.45,0.00,0.00,0.00
,Kakinada
 41,GODAVARI CCPP,208.00 ANDHRA PRADESH,95.98,1.00,0.67,0.67,0.00,0.00,40.99
 42,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,228.01,2.19,1.93,1.56,0.00,0.00,59.27
 43,KONASEEMA CCPP,445.00 ANDHRA PRADESH,162.48,2.14,1.78,1.09,0.00,0.00,100.16
 44,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,101.79,1.76,1.46,0.78,0.00,0.00,0.00
,CCPP .
 45,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,200.67,1.68,1.75,1.33,0.00,0.00,66.60
 46,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,95.19,1.06,0.69,0.69,0.00,0.00,63.21
 47,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,187.41,1.78,1.48,0.87,0.00,0.00,54.39
 48,VIJESWARAN CCPP $,272.00 ANDHRA PRADESH,117.05,1.31,0.87,0.87,0.00,0.00,65.51
 49,KARUPPUR CCPP,119.80 TAMIL NADU,79.32,0.58,0.48,0.51,0.00,0.00,0.00
 50,P.NALLUR CCPP,330.50 TAMIL NADU,93.22,1.59,0.20,0.20,13535.14,35.00,0.00
 51,VALANTARVY CCPP,52.80 TAMIL NADU,31.10,0.25,0.25,0.24,0.00,0.00,0.87
,Sub Total (SR),3873.50,1602.29,18.63,13.86,10.24,13535.14,35.00,642.37
 52,DLF ASSAM GT,24.50 ASSAM,4.30,0.12,0.17,0.05,0.00,0.00,10.58
,Sub Total (NER),24.50,4.30,0.12,0.17,0.05,0.00,0.00,10.58
,Total (PVT IPP S),6483.50,2356.12,31.16,22.13,16.01,13535.14,35.00,975.45
,GRAND TOTAL,17586.47,6995.41,85.89,66.16,50.40,13589.36,54.72,1367.88
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
$ Vijeshwaram CCPP of 272 MW installed capacity has been included as an IPP in the state of Andhra Pradesh.

MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel
h of MAY 2012
,Remarks




,Shutdown by BHEL for performance
,guarantee test from 26.4.2012




,Power station not in operation.
,Remarks




Gas consumption includes spot gas
also.
Allocation of gas is for 300 MW
capacity only.

