,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of NOV 2010
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,279.47,2.07,2.04,1.94,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,121.48,2.01,1.33,0.99,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,276.03,3.18,2.62,2.11,13.93,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,373.55,3.98,3.21,2.69,0.00,0.00,0.00
,Sub Total (NR),2344.06,1050.53,11.24,9.20,7.73,13.93,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,225.32,3.16,2.86,1.57,0.00,0.00,0.00
 6,KAWAS CCPP,656.2 GUJARAT,217.25,3.15,1.53,1.53,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740 MAHARASHTRA,410.35,3.55,2.34,2.34,0.00,0.00,0.00
 8,RATNAGIRI CCPP II,740 MAHARASHTRA,226.48,3.55,2.34,2.34,0.00,0.00,0.00
 9,RATNAGIRI CCPP III,740 MAHARASHTRA,454.58,3.56,2.34,2.34,0.00,0.00,0.00
,Sub Total (WR),3533.59,1533.98,16.97,11.41,10.12,0.00,0.00,0.00
10,KATHALGURI CCPP,291 ASSAM,154.53,1.40,1.40,1.51,0.00,0.00,18.81
11,AGARTALA GT,84 TRIPURA,55.60,0.58,0.75,0.75,0.00,0.00,0.00
,Sub Total (NER),375,210.13,1.98,2.15,2.26,0.00,0.00,18.81
,Total (CS),6252.65,2794.64,30.19,22.76,20.11,13.93,0.00,18.81
STATE SECTOR
