,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of NOV 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,270.37,2.07,2.05,1.90,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,236.94,2.01,1.93,1.74,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,340.62,3.18,2.75,2.62,30.69,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,418.37,3.98,3.07,2.91,0.00,0.00,0.00
,Sub Total (NR),2344.06,1266.30,11.24,9.80,9.17,30.69,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,388.26,3.16,3.25,2.67,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,215.30,3.15,1.47,1.47,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,236.84,3.55,2.53,1.53,0.00,0.00,121.98
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,325.58,3.55,2.53,2.10,0.00,0.00,121.98
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,395.65,3.56,2.54,2.56,0.00,0.00,121.98
,Sub Total (WR),3533.59,1561.63,16.97,12.32,10.33,0.00,0.00,365.94
10,KATHALGURI CCPP,291.00 ASSAM,140.48,1.40,1.40,1.34,0.00,0.00,23.33
11,AGARTALA GT,84.00 TRIPURA,55.79,0.58,0.76,0.76,0.00,0.00,0.00
,Sub Total (NER),375.00,196.27,1.98,2.16,2.10,0.00,0.00,23.33
,Total (CS),6252.65,3024.20,30.19,24.28,21.60,30.69,0.00,389.27
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,124.23,1.30,1.25,1.09,0.00,0.00,0.00
13,PRAGATI CCGT-III,500.00 DELHI,64.07,2.40,1.56,0.69,0.00,0.00,0.00
14,PRAGATI CCPP,330.40 DELHI,220.54,1.59,1.70,1.56,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,203.93,1.58,1.55,1.42,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,50.06,1.18,0.95,0.92,0.00,1.01,0.00
,Sub Total (NR),1544.20,662.83,8.05,7.01,5.68,0.00,1.01,0.00
17,DHUVARAN CCPP,218.62 GUJARAT,67.15,1.05,0.77,0.45,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,82.56,0.75,0.65,0.63,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,302.40,2.49,1.95,1.95,0.00,0.00,5.19
20,URAN CCPP,672.00 MAHARASHTRA,431.94,3.23,4.70,3.40,0.00,0.00,0.00
,Sub Total (WR),1564.72,884.05,7.52,8.07,6.43,0.00,0.00,5.19
21,KARAIKAL CCPP,32.50 PUDUCHERRY,20.27,0.16,0.18,0.18,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,67.30,0.51,0.42,0.42,0.00,0.00,9.74
23,KUTTALAM CCPP,100.00 TAMIL NADU,10.37,0.48,0.36,0.08,0.00,0.00,0.00 Refurbishment of GT rotor work is
,completed on 24-11-2011 ans STG
,rotor on 26.11.2011.
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Plant is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,100.38,0.89,0.77,0.71,0.00,0.00,0.00
,Sub Total (SR),435.70,198.32,2.04,1.73,1.39,0.00,0.00,9.74
26,LAKWA GT,120.00 ASSAM,55.00,0.84,0.90,0.83,0.00,0.00,12.00
27,NAMRUP CCPP,95.00 ASSAM,43.86,0.43,0.50,0.64,0.00,0.00,0.00
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.16,0.00,0.00,0.00,6.81
29,BARAMURA GT,58.50 TRIPURA,30.02,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,34.33,0.63,0.58,0.50,0.00,0.00,0.00
,Sub Total (NER),387.50,163.21,2.45,2.54,2.37,0.00,0.00,18.81
,Total (SS),3932.12,1908.41,20.06,19.35,15.87,0.00,1.01,33.74
PVT SECTOR
,31,VATWA CCPP,100.00 GUJARAT,35.73,0.48,0.37,0.26,0.00,0.00,27.97
 32,TROMBAY CCPP,180.00 MAHARASHTRA,129.81,0.86,0.92,0.92,0.00,0.00,3.36
,Sub Total (WR),280.00,165.54,1.34,1.29,1.18,0.00,0.00,31.33
,Total (PVT S),280.00,165.54,1.34,1.29,1.18,0.00,0.00,31.33
PVT IPP SECTOR
 33,RITHALA CCPP #,108.00 DELHI,16.99,0.52,0.40,0.24,0.00,0.00,0.00
,Sub Total (NR),108.00,16.99,0.52,0.40,0.24,0.00,0.00,0.00
 34,BARODA CCPP,160.00 GUJARAT,69.56,0.77,0.43,0.53,0.00,0.00,4.44 Gas consumption includes Spot
,Gas also.
 35,ESSAR CCPP,515.00 GUJARAT,2.39,2.47,1.26,1.26,0.00,0.00,0.00 Allocation of gas is for 300 MW
,capacity only. Esser has not
,supplied energy to Grid on net
,basis.
 36,PEGUTHAN CCPP,655.00 GUJARAT,330.37,3.14,2.29,2.22,2197.85,0.00,0.00
 37,SUGEN CCPP,1147.50 GUJARAT,529.82,5.51,4.65,3.32,0.00,0.00,78.36
,Sub Total (WR),2477.50,932.14,11.89,8.63,7.33,2197.85,0.00,82.80
 38,GAUTAMI CCPP,464.00 ANDHRA PRADESH,213.89,2.23,1.86,1.55,0.00,0.00,102.83
 39,GMR Energy Ltd -,220.00 ANDHRA PRADESH,99.47,1.06,0.88,0.67,0.00,0.00,0.00
,Kakinada
 40,GODAVARI CCPP,208.00 ANDHRA PRADESH,93.50,1.00,0.65,0.65,0.00,0.00,51.80
 41,JEGURUPADU CCPP,455.40 ANDHRA PRADESH,227.63,2.19,1.89,1.55,0.00,0.00,65.22
 42,KONASEEMA CCPP,445.00 ANDHRA PRADESH,192.24,2.14,1.78,1.38,0.00,0.00,61.92
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,180.71,1.76,1.46,1.23,0.00,0.00,0.00
,CCPP .
 44,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,213.51,1.68,1.75,1.48,0.00,0.00,44.43
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,95.61,1.06,0.66,0.66,0.00,0.00,41.67
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,179.61,1.78,1.48,1.11,0.00,0.00,46.59
 47,KARUPPUR CCPP,119.80 TAMIL NADU,77.61,0.58,0.50,0.50,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,123.53,1.59,0.32,0.32,15908.11,2.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,31.08,0.25,0.26,0.25,0.00,0.00,1.20
,Sub Total (SR),3601.50,1728.39,17.32,13.49,11.35,15908.11,2.00,415.66
 50,DLF ASSAM GT,24.50 ASSAM,5.11,0.12,0.17,0.06,0.00,0.00,10.26
,Sub Total (NER),24.50,5.11,0.12,0.17,0.06,0.00,0.00,10.26
,Total (PVT IPP S),6211.50,2682.63,29.85,22.69,18.98,18105.96,2.00,508.72
,GRAND TOTAL,16676.27,7780.78,81.44,67.61,57.63,18136.65,3.01,963.06
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
# Rithala CCPP ST (36.5 MW) has been taken on commercial operation since 4.9.2011

MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

