,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of OCT 2010
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss,Remarks
No,Power Station,Capacity,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),due
,@,State,(MUs),at 90% PLF,(MMSCMD),Consumed+,to short
,(MW),(MMSCMD),(MMSCMD),Naptha,HSD,supply
,of Gas as
,reported
,(MUs)

CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,298.30,2.07,2.01,1.98,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,216.84,2.01,1.62,1.51,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,349.22,3.18,2.64,2.50,0.00,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,434.29,3.98,3.00,3.03,0.00,0.00,0.00
,Sub Total (NR),2344.06,1298.65,11.24,9.27,9.02,0.00,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,389.07,3.16,3.19,2.59,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,381.85,3.15,2.59,2.59,0.00,0.00,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,427.55,3.55,2.81,2.81,0.00,0.00,0.00
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,231.85,3.55,1.40,1.40,0.00,0.00,0.00
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,471.60,3.56,2.81,2.81,0.00,0.00,0.00
,Sub Total (WR),3533.59,1901.92,16.97,12.80,12.20,0.00,0.00,0.00
10,KATHALGURI CCPP,291.00 ASSAM,169.04,1.40,1.40,1.55,0.00,0.00,10.16
11,AGARTALA GT,84.00 TRIPURA,53.72,0.58,0.75,0.71,0.00,0.00,0.00
,Sub Total (NER),375.00,222.76,1.98,2.15,2.26,0.00,0.00,10.16
,Total (CS),6252.65,3423.33,30.19,24.22,23.48,0.00,0.00,10.16
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,138.63,1.30,1.48,1.17,0.00,0.00,0.00
13,PRAGATI CCGT-III **,250.00 DELHI,0.00,1.20,0.93,0.11,0.00,0.00,0.00 unit commissioned on 24.10.2010.

14,PRAGATI CCPP,330.40 DELHI,176.93,1.59,1.89,1.05,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,115.98,1.58,0.93,0.81,0.00,0.00,54.84
16,RAMGARH CCPP,113.80 RAJASTHAN,32.75,1.18,0.95,0.53,0.00,0.86,0.00
,Sub Total (NR),1294.20,464.29,6.85,6.18,3.67,0.00,0.86,54.84
17,DHUVARAN CCPP,218.62 GUJARAT,114.32,1.05,0.75,0.75,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,84.48,0.75,0.80,0.61,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,331.93,2.49,1.98,1.98,0.00,0.00,0.28
20,URAN CCPP,912.00 MAHARASHTRA,462.82,4.38,4.90,3.35,0.00,0.00,146.97
,Sub Total (WR),1804.72,993.55,8.67,8.43,6.69,0.00,0.00,147.25
21,KARAIKAL CCPP,32.50 PUDUCHERRY,22.84,0.16,0.19,0.19,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,61.00,0.51,0.37,0.37,0.00,0.00,18.60 M/S GAIL supplies lesser quantity of gas.
,Hence unable to utilize the plant upto the
,rated capacity
,23,KUTTALAM CCPP,100.00 TAMIL NADU,0.00,0.48,0.00,0.00,0.00,0.00,0.00 plant is under long planned shut down from
,18.07.2010
 24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Power plant is not in operation
 25,VALUTHUR CCPP,186.20 TAMIL NADU,67.99,0.89,0.45,0.44,0.00,0.00,0.00 #2 under s/d due to problem in gas turbine
,Sub Total (SR),435.70,151.83,2.04,1.01,1.00,0.00,0.00,18.60
 26,LAKWA GT,120.00 ASSAM,65.65,0.84,0.90,0.86,0.00,0.00,2.48 Generation affected due to planned shut
,sown of #4 for maintenance works and also
,for insufficient fuel supply
 27,NAMRUP CCPP,95.00 ASSAM,43.38,0.43,0.66,0.55,0.00,0.00,0.35
 28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.00,0.00,0.00,0.00,0.00
