,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of OCT 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requireme,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),nt,(MMSCMD),Consumed+,of Gas as
,at 90% PLF,(MMSCMD),Naptha,HSD,reported (MUs)
CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,291.76,2.07,2.03,1.94,24.41,5,0
 2,ANTA CCPP,419.33 RAJASTHAN,262.34,2.01,1.97,1.87,0,0,0
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,420.23,3.18,3.23,3.08,48.89,0,0
 4,DADRI CCPP,829.78 UTTAR PRADESH,538.84,3.98,3.62,3.55,0,0,0
,Sub Total (NR),2344.06,1513.17,11.24,10.85,10.44,73.3,5,0
 5,GANDHAR CCPP,657.39 GUJARAT,207.4,3.16,2.42,1.62,0,0,0
 6,KAWAS CCPP,656.2 GUJARAT,381.01,3.15,2.52,2.52,0,4.88,0
 7,RATNAGIRI CCPP I,740 MAHARASHTRA,265.3,3.55,2.53,1.65,0,0,55
 8,RATNAGIRI CCPP II,740 MAHARASHTRA,432.59,3.55,2.53,2.69,0,0,30
 9,RATNAGIRI CCPP III,740 MAHARASHTRA,398.66,3.56,2.54,2.47,0,0,44.98
,Sub Total (WR),3533.59,1684.96,16.97,12.54,10.95,0,4.88,129.98
10,KATHALGURI CCPP,291 ASSAM,137.98,1.4,1.4,1.3,0,0,25.1
11,AGARTALA GT,84 TRIPURA,57.82,0.58,0.76,0.76,0,0,0
,Sub Total (NER),375,195.8,1.98,2.16,2.06,0,0,25.1
,Total (CS),6252.65,3393.93,30.19,25.55,23.45,73.3,9.88,155.08
STATE SECTOR
12,I.P.CCPP,270 DELHI,119.46,1.3,1.28,1.05,0,0,0
13,PRAGATI CCGT-III,500 DELHI,36.02,2.4,0.46,0.46,0,0,0
14,PRAGATI CCPP,330.4 DELHI,229.7,1.59,1.65,1.54,0,0,0
15,DHOLPUR CCPP,330 RAJASTHAN,189.03,1.58,1.59,1.43,0,0,0.95
16,RAMGARH CCPP,113.8 RAJASTHAN,49.04,1.18,0.95,0.92,0,0,0
,Sub Total (NR),1544.2,623.25,8.05,5.93,5.4,0,0,0.95
17,DHUVARAN CCPP,218.62 GUJARAT,69.62,1.05,0.8,0.45,0,0,0
18,HAZIRA CCPP,156.1 GUJARAT,90.67,0.75,0.68,0.66,0,0,0
19,UTRAN CCPP,518 GUJARAT,308.63,2.49,1.86,1.86,0,0,0
20,URAN CCPP,672 MAHARASHTRA,450.02,3.23,4.7,3.42,0,0,0
,Sub Total (WR),1564.72,918.94,7.52,8.04,6.39,0,0,0
21,KARAIKAL CCPP,32.5 PUDUCHERRY,22.33,0.16,0.19,0.19,0,0,0
22,KOVIKALPAL CCPP,107 TAMIL NADU,67.38,0.51,0.41,0.41,0,0,12.23
23,KUTTALAM CCPP,100 TAMIL NADU,22.48,0.48,0.34,0.14,0,0,0 Refurbishment of GT rotor work is
,under progress.
24,NARIMANAM GPS,10 TAMIL NADU,0,0,0,0,0,0,0 Plant is not in operation.
