,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of SEP 2010
S. No,Name of,Installed,Located,Gas * Requirement,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen,at 90% PLF,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),(MMSCMD),(MMSCMD),(MMSCMD),of Gas as reported (MUs)
,Naptha,HSD
CENTRAL SECTOR
,1,FARIDABAD CCPP,431.59 HARYANA,242.11,2.07,1.76,1.71,86.84,5.00,0.00
,2,ANTA CCPP,419.33 RAJASTHAN,197.98,2.01,1.54,1.44,0.00,0.00,0.00
,3,AURAIYA CCPP,663.36 UTTAR PRADESH,249.17,3.18,1.99,1.88,0.09,0.00,0.02
,4,DADRI CCPP,829.78 UTTAR PRADESH,306.04,3.98,2.37,2.22,0.00,0.00,0.00
,Sub Total (NR),2344.06,995.31,11.24,7.66,7.25,86.93,5.00,0.02
,5,GANDHAR CCPP,657.39 GUJARAT,282.82,3.16,3.05,1.98,0.00,0.00,0.00
,6,KAWAS CCPP,656.2 GUJARAT,276.74,3.15,1.97,1.97,19.47,0.00,0.00
,7,RATNAGIRI CCPP I,740 MAHARASHTRA,358.31,3.55,2.39,2.40,0.00,0.00,0.00
,8,RATNAGIRI CCPP II,740 MAHARASHTRA,357.68,3.55,2.39,2.40,0.00,0.00,0.00
,9,RATNAGIRI CCPP III,740 MAHARASHTRA,358.11,3.56,2.39,2.40,0.00,0.00,0.00
,Sub Total (WR),3533.59,1633.67,16.97,12.19,11.15,19.47,0.00,0.00
 10,KATHALGURI CCPP,291 ASSAM,150.38,1.40,1.40,1.41,0.00,0.00,15.85
 11,AGARTALA GT,84 TRIPURA,45.84,0.58,0.75,0.65,0.00,0.00,0.00
,Sub Total (NER),375,196.22,1.98,2.15,2.06,0.00,0.00,15.85
,Total (CS),6252.65,2825.19,30.19,22.00,20.46,106.40,5.00,15.87
STATE SECTOR
 12,I.P.CCPP,270 DELHI,80.46,1.30,1.13,0.71,0.00,0.00,0.00
 13,PRAGATI CCPP,330.4 DELHI,195.86,1.59,1.57,1.43,0.00,0.00,0.00
