,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of SEP 2011
S.,Name of,Installed,Located,Gas * Requirement,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,at 90% PLF,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),(MMSCMD),(MMSCMD),(MMSCMD),of Gas as reported
,Naptha,HSD,(MUs)

CENTRAL SECTOR
 1,FARIDABAD CCPP,431.59 HARYANA,228.15,2.07,1.88,1.60,0.00,0.00,0.00
 2,ANTA CCPP,419.33 RAJASTHAN,221.58,2.01,1.90,1.66,0.00,0.00,0.00
 3,AURAIYA CCPP,663.36 UTTAR PRADESH,305.18,3.18,2.56,2.35,23.88,0.00,0.00
 4,DADRI CCPP,829.78 UTTAR PRADESH,410.07,3.98,3.18,2.86,0.00,0.00,0.00
,Sub Total (NR),2344.06,1164.98,11.24,9.52,8.47,23.88,0.00,0.00
 5,GANDHAR CCPP,657.39 GUJARAT,277.91,3.16,3.25,1.93,0.00,0.00,0.00
 6,KAWAS CCPP,656.20 GUJARAT,274.20,3.15,1.88,1.88,7.57,0.55,0.00
 7,RATNAGIRI CCPP I,740.00 MAHARASHTRA,188.87,3.55,1.52,1.21,0.00,0.00,2.55
 8,RATNAGIRI CCPP II,740.00 MAHARASHTRA,300.19,3.55,2.40,1.92,0.00,0.00,0.00
 9,RATNAGIRI CCPP III,740.00 MAHARASHTRA,459.88,3.56,3.68,2.95,0.00,0.00,0.00
,Sub Total (WR),3533.59,1501.05,16.97,12.73,9.89,7.57,0.55,2.55
10,KATHALGURI CCPP,291.00 ASSAM,130.15,1.40,1.40,1.29,0.00,0.00,22.84
11,AGARTALA GT,84.00 TRIPURA,55.93,0.58,0.76,0.76,0.00,0.00,0.00
,Sub Total (NER),375.00,186.08,1.98,2.16,2.05,0.00,0.00,22.84
,Total (CS),6252.65,2852.11,30.19,24.41,20.41,31.45,0.55,25.39
STATE SECTOR
12,I.P.CCPP,270.00 DELHI,86.64,1.30,1.35,0.79,0.00,0.00,0.00
13,PRAGATI CCGT-III,500.00 DELHI,0.00,2.40,0.00,0.01,0.00,0.00,0.00
14,PRAGATI CCPP,330.40 DELHI,217.93,1.59,1.69,1.53,0.00,0.00,0.00
15,DHOLPUR CCPP,330.00 RAJASTHAN,147.11,1.58,1.35,1.06,0.00,0.00,0.00
16,RAMGARH CCPP,113.80 RAJASTHAN,45.10,1.18,0.95,0.84,0.00,1.66,0.00
,Sub Total (NR),1544.20,496.78,8.05,5.34,4.23,0.00,1.66,0.00
17,DHUVARAN CCPP,218.62 GUJARAT,57.78,1.05,1.03,0.39,0.00,0.00,0.00
18,HAZIRA CCPP,156.10 GUJARAT,79.52,0.75,0.70,0.61,0.00,0.00,0.00
19,UTRAN CCPP,518.00 GUJARAT,274.82,2.49,1.68,1.68,0.00,0.00,0.00
20,URAN CCPP,672.00 MAHARASHTRA,433.57,3.23,4.70,3.38,0.00,0.00,0.00
,Sub Total (WR),1564.72,845.69,7.52,8.11,6.06,0.00,0.00,0.00
21,KARAIKAL CCPP,32.50 PUDUCHERRY,21.24,0.16,0.18,0.18,0.00,0.00,0.00
22,KOVIKALPAL CCPP,107.00 TAMIL NADU,37.29,0.51,0.30,0.30,0.00,0.00,39.75
23,KUTTALAM CCPP,100.00 TAMIL NADU,54.26,0.48,0.35,0.35,0.00,0.00,0.00
24,NARIMANAM GPS,10.00 TAMIL NADU,0.00,0.00,0.00,0.00,0.00,0.00,0.00 Plant is not in operation.
25,VALUTHUR CCPP,186.20 TAMIL NADU,110.20,0.89,0.78,0.78,0.00,0.00,0.00
,Sub Total (SR),435.70,222.99,2.04,1.61,1.61,0.00,0.00,39.75
26,LAKWA GT,120.00 ASSAM,62.23,0.84,0.90,0.86,0.00,0.00,2.86
27,NAMRUP CCPP,95.00 ASSAM,40.24,0.43,0.53,0.57,0.00,0.00,3.22
28,NAMRUP ST,24.00 ASSAM,0.00,0.14,0.13,0.00,0.00,0.00,0.00
29,BARAMURA GT,58.50 TRIPURA,29.30,0.41,0.40,0.40,0.00,0.00,0.00
30,ROKHIA GT,90.00 TRIPURA,29.88,0.63,0.58,0.46,0.00,0.00,0.00
,Sub Total (NER),387.50,161.65,2.45,2.54,2.29,0.00,0.00,6.08
,Total (SS),3932.12,1727.11,20.06,17.60,14.19,0.00,1.66,45.83
PVT SECTOR
31,VATWA CCPP,100.00 GUJARAT,46.59,0.48,0.31,0.34,0.00,0.00,25.63
32,TROMBAY CCPP,180.00 MAHARASHTRA,133.07,0.86,0.94,0.94,0.00,0.00,0.89
