,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Apr-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,462.56,1517.59,475.79,1560.99,445.62,1462.01,5282.00,1728.80,166.22,6516.07,5.28,792.79,0.64,5.20


PONG,PUNJAB,426.72,1400.00,395.45,1297.40,402.03,1319.00,384.05,1260.01,1123.00,1084.00,120.32,6946.00,5.63,981.16,0.80,0.39


RANJIT SAGAR,PUNJAB,527.91,1731.99,497.70,1632.87,497.79,1633.17,487.91,1600.75,1507.00,390.30,79.03,7199.17,5.84,376.84,0.31,2.92


R.P. SAGAR,RAJASTHAN,352.81,1157.51,345.90,1134.85,345.16,1132.41,343.81,1127.99,459.00,175.66,32.89,1568.98,1.27,410.25,0.33,0.00


RIHAND,UTTAR PRADESH,268.22,879.99,255.57,838.50,268.22,879.99,252.98,829.99,920.00,860.50,99.12,5845.50,4.74,720.94,0.58,1.68


RAM GANGA,UTTARAKHAND,366.00,1200.79,328.41,1077.46,339.25,1113.02,323.00,1059.71,164.00,480.80,21.90,2109.25,1.71,151.03,0.12,0.00


TEHRI,UTTARAKHAND,829.79,2722.41,763.75,2505.74,771.5,2531.17,740.04,2427.95,309.00,1291.49,183.22,2615.00,2.12,478.18,0.39,6.16


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.40,395.01,115.94,380.38,110.84,363.65,5469.00,1817.55,340.02,5760.00,4.67,1290.52,1.05,5.72


UKAI,GUJARAT,105.16,345.01,93.22,305.84,95.38,312.93,82.30,270.01,1080.00,813.08,239.61,6619.15,5.37,2043.01,1.66,3.07


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,382.92,1256.30,383.32,1257.61,381.00,1250.00,420.48,725.00,27.20,6911.19,5.60,325.64,0.26,0.00


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,249.57,818.80,247.57,812.24,243.24,798.03,2628.00,1316.12,232.33,9706.00,7.87,1818.22,1.47,5.58


BHIRA,MAHARASHTRA,606.03,1988.29,596.45,1956.86,606.03,1988.29,590.09,1935.99,790.00,618.80,210.13,522.76,0.42,177.52,0.14,0.85


KOYNA,MAHARASHTRA,657.91,2158.50,649.96,2132.40,648.64,2128.08,609.60,2000.00,3130.00,3126.10,2174.20,2677.14,2.17,1865.00,1.51,1.23


MACHKUND,ANDHRA PRADESH,838.20,2750.00,824.51,2705.09,830.31,2724.11,513.59,1685.01,670.00,551.60,82.56,892.55,0.72,133.58,0.11,1.78


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,157.58,516.99,157.34,516.21,150.88,495.01,2237.00,1398.13,222.47,6537.80,5.30,1209.61,0.98,2.75


SRISAILAM,ANDHRA PRADESH,269.75,885.01,253.20,830.71,250.03,820.31,243.84,800.00,4300.00,1391.84,242.49,7105.96,5.76,1248.49,1.01,3.55


