,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Aug-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,493.11,1617.80,479.33,1572.60,445.62,1462.01,5282.00,1728.80,858.52,6516.07,5.28,3533.42,2.86,1471.79


PONG,PUNJAB,426.72,1400.00,402.58,1320.79,395.26,1296.78,384.05,1260.01,1123.00,1084.00,249.61,6946.00,5.63,1924.01,1.56,220.98


RANJIT SAGAR,PUNJAB,527.91,1731.99,512.24,1680.58,500.31,1641.44,487.91,1600.75,1507.00,390.30,242.34,7199.17,5.84,1090.59,0.88,518.36


R.P. SAGAR,RAJASTHAN,352.81,1157.51,347.00,1138.44,347.61,1140.45,343.81,1127.99,459.00,175.66,54.37,1568.98,1.27,567.90,0.46,3.81


RIHAND,UTTAR PRADESH,268.22,879.99,255.91,839.60,256.34,841.01,252.98,829.99,920.00,860.50,112.60,5845.50,4.74,820.97,0.67,55.37


RAM GANGA,UTTARAKHAND,366.00,1200.79,335.00,1099.08,323.23,1060.47,323.00,1059.71,164.00,480.80,55.62,2109.25,1.71,382.49,0.31,26.49


TEHRI,UTTARAKHAND,829.79,2722.41,788.75,2587.76,776.8,2548.56,740.04,2427.95,309.00,1291.49,488.19,2615.00,2.12,1148.81,0.93,596.93


SARDAR SAROVAR,GUJARAT,138.68,454.99,116.24,381.36,117.96,387.01,110.84,363.65,5469.00,1817.55,136.10,5760.00,4.67,681.17,0.55,830.24


