,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Dec-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,495.53,1625.75,505.39,1658.10,445.62,1462.01,5282.00,1728.80,943.65,6516.07,5.28,3841.20,3.11,3163.36


PONG,PUNJAB,426.72,1400.00,402.41,1320.23,418.09,1371.69,384.05,1260.01,1123.00,1084.00,245.92,6946.00,5.63,1898.26,1.54,736.86


RANJIT SAGAR,PUNJAB,527.91,1731.99,500.19,1641.04,509.8,1672.57,487.91,1600.75,1507.00,390.30,102.95,7199.17,5.84,473.82,0.38,871.24


R.P. SAGAR,RAJASTHAN,352.81,1157.51,346.32,1136.22,350.25,1149.11,343.81,1127.99,459.00,175.66,42.63,1568.98,1.27,471.09,0.38,56.58


RIHAND,UTTAR PRADESH,268.22,879.99,258.62,848.50,260.27,853.90,252.98,829.99,920.00,860.50,231.88,5845.50,4.74,1727.67,1.40,284.47


RAM GANGA,UTTARAKHAND,366.00,1200.79,339.04,1112.32,356.75,1170.44,323.00,1059.71,164.00,480.80,89.95,2109.25,1.71,533.81,0.43,98.28


TEHRI,UTTARAKHAND,829.79,2722.41,817.05,2680.61,818.55,2685.53,740.04,2427.95,309.00,1291.49,999.22,2615.00,2.12,2115.94,1.72,1177.45


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.09,394.00,121.67,399.18,110.84,363.65,5469.00,1817.55,323.67,5760.00,4.67,1234.35,1.00,1285.53


UKAI,GUJARAT,105.16,345.01,98.24,322.31,100.35,329.23,82.30,270.01,1080.00,813.08,407.28,6619.15,5.37,3764.82,3.05,220.78


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,387.11,1270.04,385.94,1266.21,381.00,1250.00,420.48,725.00,108.28,6911.19,5.60,1236.94,1.00,56.58


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,258.80,849.08,252.35,827.92,243.24,798.03,2628.00,1316.12,914.37,9706.00,7.87,6877.30,5.58,1188.84


BHIRA,MAHARASHTRA,606.03,1988.29,603.86,1981.17,604.08,1981.89,590.09,1935.99,790.00,618.80,516.84,522.76,0.42,436.63,0.35,238.56


KOYNA,MAHARASHTRA,657.91,2158.50,657.03,2155.60,657.67,2157.71,609.60,2000.00,3130.00,3126.10,2997.60,2677.14,2.17,2562.20,2.08,2569.18


MACHKUND,ANDHRA PRADESH,838.20,2750.00,832.79,2732.25,836.01,2742.81,513.59,1685.01,670.00,551.60,308.19,892.55,0.72,498.68,0.40,370.92


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,170.72,560.10,170.32,558.79,150.88,495.01,2237.00,1398.13,815.20,6537.80,5.30,4067.08,3.30,1086.86


SRISAILAM,ANDHRA PRADESH,269.75,885.01,269.38,883.79,267.74,878.41,243.84,800.00,4300.00,1391.84,1348.33,7105.96,5.76,6941.95,5.63,824.59


ALMATTI,KARNATAKA,519.62,1704.79,519.62,1704.79,519.6,1704.72,505.97,1660.01,483.00,175.35,175.37,2631.50,2.13,413.68

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,547.56,1796.46,545.4,1789.37,513.52,1684.78,542.00,2885.00,1541.22,108.04,70883.67,57.47,196.86


SHARAVATHY,KARNATAKA,554.43,1819.00,552.57,1812.89,549.16,1801.71,522.73,1714.99,5564.00,4557.03,3965.26,4297.08,3.48,3739.06,3.03,3070.61


IDAMALAYAR,KERALA,169.00,554.46,161.42,529.59,151.3,496.39,114.99,377.26,380.00,254.45,200.05,1017.80,0.83,805.90,0.65,205.28


IDUKKI,KERALA,732.35,2402.72,724.77,2377.85,718.27,2356.53,694.94,2279.99,2398.00,2146.32,1540.70,1459.50,1.18,1047.73,0.85,1128.84
,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Dec-2009,2
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
