,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Feb-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,481.98,1581.30,501.84,1646.46,445.62,1462.01,5282.00,1728.80,529.53,6516.07,5.28,2293.06,1.86,3879.29


PONG,PUNJAB,426.72,1400.00,395.50,1297.58,415.15,1362.04,384.05,1260.01,1123.00,1084.00,120.91,6946.00,5.63,987.09,0.80,914.85


RANJIT SAGAR,PUNJAB,527.91,1731.99,497.61,1632.58,505.3,1657.81,487.91,1600.75,1507.00,390.30,78.19,7199.17,5.84,373.42,0.30,952.50

,348.47
R.P. SAGAR,RAJASTHAN,352.81,1157.51,345.54,1133.67 01-FEB-10,1143.27,343.81,1127.99,459.00,175.66,29.14,1568.98,1.27,357.86,0.29,144.55


RIHAND,UTTAR PRADESH,268.22,879.99,257.13,843.60,259.99,852.99,252.98,829.99,920.00,860.50,163.30,5845.50,4.74,1184.69,0.96,348.30


RAM GANGA,UTTARAKHAND,366.00,1200.79,332.43,1090.65,355.38,1165.94,323.00,1059.71,164.00,480.80,39.92,2109.25,1.71,287.38,0.23,149.83


TEHRI,UTTARAKHAND,829.79,2722.41,796.55,2613.35,814.1,2670.93,740.04,2427.95,309.00,1291.49,607.97,2615.00,2.12,1388.12,1.13,1644.13


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.31,398.00,120.82,396.39,110.84,363.65,5469.00,1817.55,388.47,5760.00,4.67,1455.43,1.18,1621.84


UKAI,GUJARAT,105.16,345.01,96.41,316.32,100.04,328.22,82.30,270.01,1080.00,813.08,343.28,6619.15,5.37,3091.97,2.51,252.67


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,383.63,1258.62,385.47,1264.67,381.00,1250.00,420.48,725.00,38.10,6911.19,5.60,456.14,0.37,125.37


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,253.92,833.07,251.63,825.56,243.24,798.03,2628.00,1316.12,485.69,9706.00,7.87,3726.03,3.02,1750.89


BHIRA,MAHARASHTRA,606.03,1988.29,600.07,1968.73,603.22,1979.07,590.09,1935.99,790.00,618.80,353.18,522.76,0.42,298.37,0.24,299.79


KOYNA,MAHARASHTRA,657.91,2158.50,654.56,2147.50,656.6,2154.20,609.60,2000.00,3130.00,3126.10,2666.25,2677.14,2.17,2287.50,1.85,764.94


MACHKUND,ANDHRA PRADESH,838.20,2750.00,829.44,2721.26,835.98,2742.72,513.59,1685.01,670.00,551.60,195.82,892.55,0.72,316.87,0.26,497.44


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,161.94,531.30,165.99,544.59,150.88,495.01,2237.00,1398.13,391.89,6537.80,5.30,2080.14,1.69,1131.41


SRISAILAM,ANDHRA PRADESH,269.75,885.01,266.18,873.29,268.13,879.69,243.84,800.00,4300.00,1391.84,1011.08,7105.96,5.76,5205.61,4.22,933.55


ALMATTI,KARNATAKA,519.62,1704.79,517.21,1696.88,519.6,1704.72,505.97,1660.01,483.00,175.35,101.82,2631.50,2.13,1650.92,1.34,481.65

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,543.18,1782.09,543.4,1782.81,513.52,1684.78,542.00,2885.00,1259.58,108.04,57938.82,46.97,275.53


SHARAVATHY,KARNATAKA,554.43,1819.00,548.82,1800.59,548.15,1798.39,522.73,1714.99,5564.00,4557.03,2926.06,4297.08,3.48,2759.15,2.24,4112.50


IDAMALAYAR,KERALA,169.00,554.46,155.46,510.04,150.59,494.06,114.99,377.26,380.00,254.45,160.86,1017.80,0.83,644.96,0.52,257.49


IDUKKI,KERALA,732.35,2402.72,720.72,2364.57,717.21,2353.05,694.94,2279.99,2398.00,2146.32,1263.94,1459.50,1.18,859.48,0.70,1489.40
,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Feb-2010,2
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

MADUPATTY,KERALA,1599.38,5247.31,1597.30,5240.49,1598.7,5245.08,1554.48,5100.00,6.40,77.40,69.01,55.32,0.04,48.94,0.04,1.08


SABRIGRI,KERALA,981.46,3220.01,975.35,3199.97,980.35,3216.37,908.30,2979.99,1338.00,764.00,576.40,446.26,0.36,359.80,0.29,1152.01


KUNDAH GROUP,TAMIL NADU,3795.93,859,2818.24,1315.00,1270.00,1157.00,346.50,0.28,1352.71


METTUR,TAMIL NADU,240.79,789.99,227.67,746.95,231.48,759.45,211.23,693.01,790.00,204.00,60.87,2504.70,2.03,961.78,0.78,82.02


PERIYAR,TAMIL NADU,46.33,152.00,34.75,114.01,35.6,116.80,33.53,110.01,409.00,216.00,15.03,273.51,0.22,18.39,0.01,379.09


BALIMELA,ORISSA,462.08,1516.01,450.28,1477.30,448.48,1471.39,438.91,1439.99,1183.00,897.75,327.85,2675.96,2.17,976.23,0.79,667.28


HIRAKUD,ORISSA,192.02,629.99,189.70,622.39,189.99,623.33,179.83,589.99,1174.00,372.28,244.50,4709.43,3.82,3298.11,2.67,621.69


INDRAVATI,ORISSA,641.84,2105.77,637.75,2092.36,637.33,2090.98,625.00,2050.52,1962.00,1213.13,378.66,1485.50,1.20,1029.94,0.83,1203.22


RENGALI,ORISSA,123.44,404.99,119.38,391.67,119.66,392.59,109.72,359.97,525.00,275.00,141.25,3167.81,2.57,1813.51,1.47,500.89


UPPER KOLAB,ORISSA,857.78,2814.24,849.39,2786.71,851.93,2795.05,843.78,2768.31,832.00,540.00,126.01,935.00,0.76,258.86,0.21,365.90


LOKTAK,MANIPUR,768.50,2521.33,768.03,2519.78,768.43,2521.10,766.01,2513.16,450.00,250.00,136.44,0.00,0.00,323.50


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Feb-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,481.68,1580.31,492.69,1616.44,445.62,1462.01,5282.00,1728.80,521.44,6516.07,5.28,2261.21,1.83,3891.47


PONG,PUNJAB,426.72,1400.00,395.50,1297.57,411.4,1349.74,384.05,1260.01,1123.00,1084.00,120.88,6946.00,5.63,986.76,0.80,915.24


RANJIT SAGAR,PUNJAB,527.91,1731.99,497.50,1632.22,499.24,1637.93,487.91,1600.75,1507.00,390.30,77.15,7199.17,5.84,369.22,0.30,953.68


R.P. SAGAR,RAJASTHAN,352.81,1157.51,345.55,1133.69,345.04,1132.02,343.81,1127.99,459.00,175.66,29.25,1568.98,1.27,358.74,0.29,144.55


RIHAND,UTTAR PRADESH,268.22,879.99,257.10,843.50,258.99,849.70,252.98,829.99,920.00,860.50,162.00,5845.50,4.74,1175.60,0.95,349.71


RAM GANGA,UTTARAKHAND,366.00,1200.79,332.17,1089.80,348.9,1144.69,323.00,1059.71,164.00,480.80,38.29,2109.25,1.71,277.76,0.23,151.33


TEHRI,UTTARAKHAND,829.79,2722.41,796.05,2611.71,798.9,2621.06,740.04,2427.95,309.00,1291.49,600.02,2615.00,2.12,1372.62,1.11,1652.52


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.32,398.03,119.66,392.59,110.84,363.65,5469.00,1817.55,388.99,5760.00,4.67,1457.20,1.18,1627.76


UKAI,GUJARAT,105.16,345.01,96.39,316.25,98.53,323.26,82.30,270.01,1080.00,813.08,342.54,6619.15,5.37,3083.68,2.50,252.67


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,383.61,1258.56,385.01,1263.16,381.00,1250.00,420.48,725.00,37.80,6911.19,5.60,453.18,0.37,125.58


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,253.80,832.68,250.02,820.28,243.24,798.03,2628.00,1316.12,477.13,9706.00,7.87,3664.43,2.97,1759.43


BHIRA,MAHARASHTRA,606.03,1988.29,599.97,1968.41,601.59,1973.72,590.09,1935.99,790.00,618.80,349.03,522.76,0.42,294.86,0.24,301.34


KOYNA,MAHARASHTRA,657.91,2158.50,654.65,2147.80,654.22,2146.39,609.60,2000.00,3130.00,3126.10,2677.50,2677.14,2.17,2296.80,1.86,765.81


MACHKUND,ANDHRA PRADESH,838.20,2750.00,829.36,2721.00,834.92,2739.24,513.59,1685.01,670.00,551.60,193.52,892.55,0.72,313.15,0.25,499.75


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,161.73,530.61,159.65,523.79,150.88,495.01,2237.00,1398.13,382.87,6537.80,5.30,2035.46,1.65,1132.88


SRISAILAM,ANDHRA PRADESH,269.75,885.01,266.06,872.90,265.42,870.80,243.84,800.00,4300.00,1391.84,999.73,7105.96,5.76,5147.16,4.17,937.15


ALMATTI,KARNATAKA,519.62,1704.79,517.19,1696.82,512.95,1682.91,505.97,1660.01,483.00,175.35,100.78,2631.50,2.13,1644.06,1.33,481.89

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,543.40,1782.81,538.36,1766.27,513.52,1684.78,542.00,2885.00,1273.21,108.04,58560.03,47.48,277.56


SHARAVATHY,KARNATAKA,554.43,1819.00,548.75,1800.36,545.85,1790.85,522.73,1714.99,5564.00,4557.03,2908.08,4297.08,3.48,2742.19,2.22,4131.73


IDAMALAYAR,KERALA,169.00,554.46,155.34,509.65,146.68,481.23,114.99,377.26,380.00,254.45,160.15,1017.80,0.83,641.72,0.52,258.38


IDUKKI,KERALA,732.35,2402.72,720.61,2364.21,715.25,2346.62,694.94,2279.99,2398.00,2146.32,1256.49,1459.50,1.18,854.42,0.69,1497.89
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Feb-2010,2
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

MADUPATTY,KERALA,1599.38,5247.31,1597.10,5239.83,1595.7,5235.24,1554.48,5100.00,6.40,77.40,68.30,55.32,0.04,48.44,0.04,1.08


SABRIGRI,KERALA,981.46,3220.01,975.25,3199.64,977.9,3208.33,908.30,2979.99,1338.00,764.00,573.43,446.26,0.36,358.40,0.29,1155.25


KUNDAH GROUP,TAMIL NADU,3779.53,736,2414.70,1315.00,1270.00,1152.00,346.50,0.28,1357.16


METTUR,TAMIL NADU,240.79,789.99,227.69,747.01,223.2,732.28,211.23,693.01,790.00,204.00,61.04,2504.70,2.03,963.50,0.78,82.02


PERIYAR,TAMIL NADU,46.33,152.00,34.72,113.91,34.08,111.81,33.53,110.01,409.00,216.00,14.73,273.51,0.22,17.93,0.01,379.86


BALIMELA,ORISSA,462.08,1516.01,450.25,1477.20,445.8,1462.60,438.91,1439.99,1183.00,897.75,326.71,2675.96,2.17,972.69,0.79,668.86


HIRAKUD,ORISSA,192.02,629.99,189.67,622.29,188.13,617.22,179.83,589.99,1174.00,372.28,243.01,4709.43,3.82,3281.08,2.66,622.96


INDRAVATI,ORISSA,641.84,2105.77,636.72,2088.98,634.86,2082.87,625.00,2050.52,1962.00,1213.13,343.32,1485.50,1.20,929.52,0.75,1205.90


RENGALI,ORISSA,123.44,404.99,119.37,391.63,117.47,385.40,109.72,359.97,525.00,275.00,140.88,3167.81,2.57,1810.21,1.47,501.37


UPPER KOLAB,ORISSA,857.78,2814.24,849.37,2786.65,850.96,2791.86,843.78,2768.31,832.00,540.00,125.29,935.00,0.76,257.70,0.21,366.44


LOKTAK,MANIPUR,768.50,2521.33,768.04,2519.82,768.5,2521.33,766.01,2513.16,450.00,250.00,138.94,0.00,0.00,324.49


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,03-Feb-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,481.32,1579.14,492.45,1615.65,445.62,1462.01,5282.00,1728.80,512.62,6516.07,5.28,2226.88,1.81,3903.73


PONG,PUNJAB,426.72,1400.00,395.50,1297.57,411.29,1349.38,384.05,1260.01,1123.00,1084.00,120.88,6946.00,5.63,986.76,0.80,915.63


