,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Jan-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,489.73,1606.74,500.09,1640.72,445.62,1462.01,5282.00,1728.80,750.70,6516.07,5.28,3136.46,2.54,3522.70


PONG,PUNJAB,426.72,1400.00,397.99,1305.75,414.1,1358.60,384.05,1260.01,1123.00,1084.00,160.80,6946.00,5.63,1288.48,1.04,854.87


RANJIT SAGAR,PUNJAB,527.91,1731.99,499.50,1638.78,503.76,1652.76,487.91,1600.75,1507.00,390.30,95.96,7199.17,5.84,445.42,0.36,914.04


R.P. SAGAR,RAJASTHAN,352.81,1157.51,345.47,1133.43,347.39,1139.73,343.81,1127.99,459.00,175.66,27.88,1568.98,1.27,347.20,0.28,114.27


RIHAND,UTTAR PRADESH,268.22,879.99,258.01,846.50,259.78,852.30,252.98,829.99,920.00,860.50,202.25,5845.50,4.74,1487.36,1.21,313.80


RAM GANGA,UTTARAKHAND,366.00,1200.79,336.03,1102.44,354.18,1162.01,323.00,1059.71,164.00,480.80,63.75,2109.25,1.71,420.44,0.34,123.47


TEHRI,UTTARAKHAND,829.79,2722.41,809.80,2656.82,811.15,2661.25,740.04,2427.95,309.00,1291.49,850.27,2615.00,2.12,1847.89,1.50,1375.63


