,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Jan-2011,Sub-Report-6/Page/1

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,503.85,1653.04,489.73,1606.73,445.62,1462.01,5282.00,1728.80,1268.31,6516.07,5.28,4979.60,4.04,4497.42


PONG,PUNJAB,426.72,1400.00,416.81,1367.50,397.99,1305.74,384.05,1260.01,1123.00,1084.00,662.60,6946.00,5.63,4560.64,3.70,967.44


RANJIT SAGAR,PUNJAB,527.91,1731.99,513.35,1684.22,499.5,1638.78,487.91,1600.75,1507.00,390.30,252.92,7199.17,5.84,1158.33,0.94,1416.59


R.P. SAGAR,RAJASTHAN,352.81,1157.51,348.76,1144.22,345.47,1133.43,343.81,1127.99,459.00,175.66,84.70,1568.98,1.27,830.43,0.67,84.22


RIHAND,UTTAR PRADESH,268.22,879.99,257.22,843.90,258.01,846.49,252.98,829.99,920.00,860.50,167.20,5845.50,4.74,1211.97,0.98,132.98


RAM GANGA,UTTARAKHAND,366.00,1200.79,363.97,1194.13,336.03,1102.46,323.00,1059.71,164.00,480.80,455.13,2109.25,1.71,1899.25,1.54,87.06


TEHRI,UTTARAKHAND,829.79,2722.41,818.55,2685.53,809.8,2656.82,740.04,2427.95,309.00,1291.49,1030.91,2615.00,2.12,2171.44,1.76,2489.52


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.07,397.21,121.2,397.64,110.84,363.65,5469.00,1817.55,375.46,5760.00,4.67,1411.92,1.14,2653.38


UKAI,GUJARAT,105.16,345.01,102.11,335.01,97.22,318.96,82.30,270.01,1080.00,813.08,597.85,6619.15,5.37,5315.10,4.31,341.26


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,382.74,1255.72,385.39,1264.40,381.00,1250.00,420.48,725.00,24.60,6911.19,5.60,292.09,0.24,65.07


