,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Mar-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,485.64,1593.32,476.45,1563.16,445.62,1462.01,5282.00,1728.80,629.32,6516.07,5.28,2679.69,2.17,5097.26


PONG,PUNJAB,426.72,1400.00,407.93,1338.36,396.03,1299.31,384.05,1260.01,1123.00,1084.00,377.75,6946.00,5.63,2786.07,2.26,1308.51


RANJIT SAGAR,PUNJAB,527.91,1731.99,496.99,1630.54,497.68,1632.81,487.91,1600.75,1507.00,390.30,72.36,7199.17,5.84,349.80,0.28,1444.62


R.P. SAGAR,RAJASTHAN,352.81,1157.51,344.99,1131.85,352.81,1157.51,343.81,1127.99,459.00,175.66,19.60,1568.98,1.27,277.22,0.22,316.51


RIHAND,UTTAR PRADESH,268.22,879.99,258.41,847.80,256.82,842.59,252.98,829.99,920.00,860.50,221.10,5845.50,4.74,1639.34,1.33,388.48


RAM GANGA,UTTARAKHAND,366.00,1200.79,343.02,1125.39,348.52,1143.44,323.00,1059.71,164.00,480.80,127.51,2109.25,1.71,741.34,0.60,295.43


TEHRI,UTTARAKHAND,829.79,2722.41,786.30,2579.72,785.9,2578.41,740.04,2427.95,309.00,1291.49,453.59,2615.00,2.12,1077.77,0.87,2967.80


SARDAR SAROVAR,GUJARAT,138.68,454.99,119.86,393.24,121.59,398.92,110.84,363.65,5469.00,1817.55,313.10,5760.00,4.67,1198.02,0.97,1904.64


UKAI,GUJARAT,105.16,345.01,97.07,318.46,99.67,327.00,82.30,270.01,1080.00,813.08,365.95,6619.15,5.37,3331.46,2.70,420.16


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,383.78,1259.12,388.67,1275.16,381.00,1250.00,420.48,725.00,40.60,6911.19,5.60,481.55,0.39,104.05


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,248.48,815.22,248.83,816.37,243.24,798.03,2628.00,1316.12,188.44,9706.00,7.87,1436.12,1.16,1493.58


BHIRA,MAHARASHTRA,606.03,1988.29,606.03,1988.29,599.98,1968.44,590.09,1935.99,790.00,618.80,617.58,522.76,0.42,521.73,0.42,170.63


KOYNA,MAHARASHTRA,657.91,2158.50,651.81,2138.50,657,2155.51,609.60,2000.00,3130.00,3126.10,2358.00,2677.14,2.17,2026.00,1.64,2773.00


MACHKUND,ANDHRA PRADESH,838.20,2750.00,832.96,2732.81,837,2746.06,513.59,1685.01,670.00,551.60,314.82,892.55,0.72,509.40,0.41,573.16


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,159.41,523.00,159.35,522.80,150.88,495.01,2237.00,1398.13,290.92,6537.80,5.30,1567.82,1.27,1052.45


SRISAILAM,ANDHRA PRADESH,269.75,885.01,260.36,854.20,264.17,866.70,243.84,800.00,4300.00,1391.84,567.69,7105.96,5.76,2922.76,2.37,1660.40


ALMATTI,KARNATAKA,519.62,1704.79,518.00,1699.48,511,1676.51,505.97,1660.01,483.00,175.35,132.75,2631.50,2.13,1955.27,1.59,431.56
