,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Nov-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,499.16,1637.65,510.62,1675.26,445.62,1462.01,5282.00,1728.80,1076.84,6516.07,5.28,4314.72,3.50,2825.65


PONG,PUNJAB,426.72,1400.00,404.88,1328.33,422.75,1386.98,384.05,1260.01,1123.00,1084.00,300.34,6946.00,5.63,2270.75,1.84,636.42


RANJIT SAGAR,PUNJAB,527.91,1731.99,498.88,1636.75,513.65,1685.20,487.91,1600.75,1507.00,390.30,90.12,7199.17,5.84,421.79,0.34,841.80


R.P. SAGAR,RAJASTHAN,352.81,1157.51,347.57,1140.32,351.21,1152.26,343.81,1127.99,459.00,175.66,64.02,1568.98,1.27,649.05,0.53,21.39


RIHAND,UTTAR PRADESH,268.22,879.99,258.90,849.40,261.64,858.40,252.98,829.99,920.00,860.50,246.05,5845.50,4.74,1844.58,1.50,263.81


RAM GANGA,UTTARAKHAND,366.00,1200.79,338.66,1111.09,356.4,1169.29,323.00,1059.71,164.00,480.80,86.82,2109.25,1.71,517.97,0.42,96.53


TEHRI,UTTARAKHAND,829.79,2722.41,819.75,2689.47,740.04,2427.95,740.04,2427.95,309.00,1291.49,1056.41,2615.00,2.12,2215.84,1.80,1031.99


SARDAR SAROVAR,GUJARAT,138.68,454.99,119.28,391.34,121.39,398.26,110.84,363.65,5469.00,1817.55,289.02,5760.00,4.67,1115.22,0.90,1288.47


UKAI,GUJARAT,105.16,345.01,98.59,323.46,102.15,335.14,82.30,270.01,1080.00,813.08,421.50,6619.15,5.37,3893.90,3.16,189.70


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,387.77,1272.22,387.12,1270.08,381.00,1250.00,420.48,725.00,124.76,6911.19,5.60,1419.00,1.15,47.03


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,259.31,850.75,255.13,837.04,243.24,798.03,2628.00,1316.12,968.96,9706.00,7.87,7205.61,5.84,1051.10


BHIRA,MAHARASHTRA,606.03,1988.29,604.77,1984.15,605.99,1988.16,590.09,1935.99,790.00,618.80,558.24,522.76,0.42,471.60,0.38,207.06


KOYNA,MAHARASHTRA,657.91,2158.50,657.91,2158.49,657.91,2158.50,609.60,2000.00,3130.00,3126.10,3125.68,2677.14,2.17,2676.90,2.17,2250.17


MACHKUND,ANDHRA PRADESH,838.20,2750.00,833.77,2735.47,836.75,2745.24,513.59,1685.01,670.00,551.60,346.62,892.55,0.72,560.87,0.45,321.26


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,175.60,576.12,176.31,578.44,150.88,495.01,2237.00,1398.13,1108.48,6537.80,5.30,5337.68,4.33,968.18


SRISAILAM,ANDHRA PRADESH,269.75,885.01,269.38,883.79,268.01,879.30,243.84,800.00,4300.00,1391.84,1348.33,7105.96,5.76,6941.95,5.63,845.86


ALMATTI,KARNATAKA,519.62,1704.79,519.62,1704.79,519.6,1704.72,505.97,1660.01,483.00,175.35,175.37,2631.50,2.13,375.92

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,549.33,1802.26,549.1,1801.51,513.52,1684.78,542.00,2885.00,1664.82,108.04,76583.06,62.09,154.52


SHARAVATHY,KARNATAKA,554.43,1819.00,553.53,1816.04,551.02,1807.81,522.73,1714.99,5564.00,4557.03,4261.09,4297.08,3.48,4018.02,3.26,2647.04


IDAMALAYAR,KERALA,169.00,554.46,162.38,532.74,152.38,499.93,114.99,377.26,380.00,254.45,206.86,1017.80,0.83,831.84,0.67,178.83


IDUKKI,KERALA,732.35,2402.72,723.86,2374.87,717.44,2353.81,694.94,2279.99,2398.00,2146.32,1478.05,1459.50,1.18,1005.07,0.81,1032.52
,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Nov-2009,2
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

MADUPATTY,KERALA,1599.38,5247.31,1558.10,5111.88,1599.38,5247.31,1554.48,5100.00,6.40,77.40,0.20,55.32,0.04,0.14,0.00,1.08


SABRIGRI,KERALA,981.46,3220.01,980.70,3217.52,979.35,3213.09,908.30,2979.99,1338.00,764.00,715.99,446.26,0.36,444.72,0.36,743.19


KUNDAH GROUP,TAMIL NADU,4104.33,847,2778.87,1315.00,1270.00,1251.00,346.50,0.28,913.07


METTUR,TAMIL NADU,240.79,789.99,226.58,743.37,225.06,738.39,211.23,693.01,790.00,204.00,54.25,2504.70,2.03,867.93,0.70,71.75


PERIYAR,TAMIL NADU,46.33,152.00,36.58,120.01,35.72,117.19,33.53,110.01,409.00,216.00,40.05,273.51,0.22,48.72,0.04,202.21


BALIMELA,ORISSA,462.08,1516.01,447.39,1467.80,450.86,1479.20,438.91,1439.99,1183.00,897.75,227.96,2675.96,2.17,679.49,0.55,616.38


HIRAKUD,ORISSA,192.02,629.99,190.81,626.02,191.53,628.38,179.83,589.99,1174.00,372.28,300.84,4709.43,3.82,3936.29,3.19,557.51


INDRAVATI,ORISSA,641.84,2105.77,637.52,2091.60,640.24,2100.52,625.00,2050.52,1962.00,1213.13,370.77,1485.50,1.20,1007.51,0.82,1036.77


RENGALI,ORISSA,123.44,404.99,120.46,395.21,123.03,403.64,109.72,359.97,525.00,275.00,163.66,3167.81,2.57,2131.10,1.73,464.78


UPPER KOLAB,ORISSA,857.78,2814.24,849.64,2787.53,853.2,2799.21,843.78,2768.31,832.00,540.00,134.92,935.00,0.76,273.27,0.22,329.16


LOKTAK,MANIPUR,768.50,2521.33,768.50,2521.33,768.5,2521.33,766.01,2513.16,450.00,250.00,250.02,0.00,0.00,199.63


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
