,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Nov-2012,Sub-Report-6/Page/1

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,504.14,1654.00,509.88,1672.83,445.62,1462.01,5282.00,1728.80,1280.65,6516.07,5.28,5021.66,4.07,3002.20


PONG,PUNJAB,426.72,1400.00,419.65,1376.82,420.8,1380.58,384.05,1260.01,1123.00,1084.00,772.22,6946.00,5.63,5204.55,4.22,985.11


RANJIT SAGAR,PUNJAB,527.91,1731.99,520.97,1709.22,521.34,1710.43,487.91,1600.75,1507.00,390.30,321.96,7199.17,5.84,1641.10,1.33,940.11


R.P. SAGAR,RAJASTHAN,352.81,1157.51,351.87,1154.44,350.6,1150.26,343.81,1127.99,459.00,175.66,150.01,1568.98,1.27,1388.35,1.13,36.12


RIHAND,UTTAR PRADESH,268.22,879.99,263.35,864.00,265.05,869.59,252.98,829.99,920.00,860.50,502.50,5845.50,4.74,3663.18,2.97,448.46


RAM GANGA,UTTARAKHAND,366.00,1200.79,353.16,1158.66,362.29,1188.62,323.00,1059.71,164.00,480.80,255.93,2109.25,1.71,1268.32,1.03,123.03


TEHRI,UTTARAKHAND,829.79,2722.41,824.60,2705.38,817.4,2681.76,740.04,2427.95,309.00,1291.49,1165.87,2615.00,2.12,2404.50,1.95,1915.04


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.36,398.16,121.35,398.13,110.84,363.65,5469.00,1817.55,391.17,5760.00,4.67,1464.49,1.19,2410.35


UKAI,GUJARAT,105.16,345.01,103.28,338.83,103.33,339.01,82.30,270.01,1080.00,813.08,672.47,6619.15,5.37,5804.94,4.71,440.65


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,398.35,1306.91,396.23,1299.97,381.00,1250.00,420.48,725.00,618.20,6911.19,5.60,5911.88,4.79,72.16


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,260.58,854.92,258.17,847.01,243.24,798.03,2628.00,1316.12,1115.78,9706.00,7.87,8262.77,6.70,1850.24


BHIRA,MAHARASHTRA,606.03,1988.29,604.98,1984.84,604.66,1983.79,590.09,1935.99,790.00,618.80,567.90,522.76,0.42,479.77,0.39,269.93


KOYNA,MAHARASHTRA,657.91,2158.50,657.91,2158.49,655.05,2149.11,609.60,2000.00,3130.00,3126.10,3125.68,2677.14,2.17,2676.90,2.17,394.20


MACHKUND,ANDHRA PRADESH,838.20,2750.00,837.71,2748.39,837.07,2746.29,513.59,1685.01,670.00,551.60,527.40,892.55,0.72,853.40,0.69,301.62


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,161.76,530.71,172.27,565.19,150.88,495.01,2237.00,1398.13,384.18,6537.80,5.30,2041.96,1.66,104.35


SRISAILAM,ANDHRA PRADESH,269.75,885.01,263.71,865.19,264.54,867.91,243.84,800.00,4300.00,1391.84,799.78,7105.96,5.76,4117.70,3.34,273.37


ALMATTI,KARNATAKA,519.62,1704.79,519.06,1702.95,519.62,1704.79,505.97,1660.01,483.00,175.35,155.83,2631.50,2.13,2404.53,1.95,313.49

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,548.50,1799.54,554.2,1818.24,513.52,1684.78,542.00,2885.00,1606.10,108.04,73871.77,59.89,127.29


SHARAVATHY,KARNATAKA,554.43,1819.00,550.85,1807.25,553.32,1815.35,522.73,1714.99,5564.00,4557.03,3462.14,4297.08,3.48,3264.64,2.65,2613.23


IDAMALAYAR,KERALA,169.00,554.46,149.78,491.40,167.8,550.52,114.99,377.26,380.00,254.45,127.67,1017.80,0.83,514.89,0.42,167.30


IDUKKI,KERALA,732.35,2402.72,711.54,2334.45,727.21,2385.86,694.94,2279.99,2398.00,2146.32,698.96,1459.50,1.18,489.19,0.40,1162.36
,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Nov-2012,Sub-Report-6/Page/2

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

SABRIGRI,KERALA,981.46,3220.01,967.41,3173.92,976.84,3204.86,908.30,2979.99,1338.00,764.00,418.44,446.26,0.36,259.80,0.21,559.08


KUNDAH GROUP,TAMIL NADU,2793.90,119.63,392.49,1315.00,1270.00,851.58,346.50,0.28,588.79


METTUR,TAMIL NADU,240.79,789.99,224.47,736.45,231.84,760.63,211.23,693.01,790.00,204.00,44.18,2504.70,2.03,699.69,0.57,68.73


PERIYAR,TAMIL NADU,46.33,152.00,37.09,121.69,37.97,124.57,33.53,110.01,409.00,216.00,46.74,273.51,0.22,58.62,0.05,105.56


BALIMELA,ORISSA,462.08,1516.01,458.18,1503.20,445.95,1463.09,438.91,1439.99,1183.00,897.75,667.85,2675.96,2.17,1990.69,1.61,215.00


HIRAKUD,ORISSA,192.02,629.99,191.72,629.00,191.2,627.30,179.83,589.99,1174.00,372.28,354.73,4709.43,3.82,4515.16,3.66,732.95


INDRAVATI,ORISSA,641.84,2105.77,639.60,2098.43,630.66,2069.09,625.00,2050.52,1962.00,1213.13,618.88,1485.50,1.20,1224.85,0.99,1083.08


RENGALI,ORISSA,123.44,404.99,122.95,403.38,123.29,404.49,109.72,359.97,525.00,275.00,230.42,3167.81,2.57,2978.96,2.42,579.91


UPPER KOLAB,ORISSA,857.78,2814.24,856.64,2810.50,849.73,2787.83,843.78,2768.31,832.00,540.00,458.68,935.00,0.76,814.38,0.66,239.70


LOKTAK,MANIPUR,768.50,2521.33,768.50,2521.33,768.5,2521.33,766.01,2513.16,450.00,250.00,250.02,0.00,0.00,321.62


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Nov-2012,Sub-Report-6/Page/1

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,504.11,1653.92,509.81,1672.60,445.62,1462.01,5282.00,1728.80,1279.48,6516.07,5.28,5018.16,4.07,3010.03


PONG,PUNJAB,426.72,1400.00,419.55,1376.46,420.66,1380.12,384.05,1260.01,1123.00,1084.00,767.87,6946.00,5.63,5179.48,4.20,991.75


RANJIT SAGAR,PUNJAB,527.91,1731.99,520.92,1709.06,521.25,1710.14,487.91,1600.75,1507.00,390.30,321.47,7199.17,5.84,1637.13,1.33,943.62


R.P. SAGAR,RAJASTHAN,352.81,1157.51,351.87,1154.44,350.61,1150.30,343.81,1127.99,459.00,175.66,150.01,1568.98,1.27,1388.35,1.13,38.38


RIHAND,UTTAR PRADESH,268.22,879.99,263.32,863.90,265.05,869.59,252.98,829.99,920.00,860.50,500.05,5845.50,4.74,3650.19,2.96,451.16


RAM GANGA,UTTARAKHAND,366.00,1200.79,353.16,1158.66,362.3,1188.65,323.00,1059.71,164.00,480.80,255.93,2109.25,1.71,1268.32,1.03,123.03


TEHRI,UTTARAKHAND,829.79,2722.41,824.45,2704.89,817.25,2681.27,740.04,2427.95,309.00,1291.49,1162.42,2615.00,2.12,2398.64,1.94,1920.11


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.27,397.87,121.35,398.13,110.84,363.65,5469.00,1817.55,386.29,5760.00,4.67,1448.15,1.17,2417.32


UKAI,GUJARAT,105.16,345.01,103.24,338.71,103.29,338.88,82.30,270.01,1080.00,813.08,669.92,6619.15,5.37,5789.40,4.69,442.56


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,398.33,1306.87,396.19,1299.84,381.00,1250.00,420.48,725.00,617.40,6911.19,5.60,5905.22,4.79,72.68


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,260.55,854.82,258.15,846.95,243.24,798.03,2628.00,1316.12,1112.17,9706.00,7.87,8236.75,6.68,1856.50


BHIRA,MAHARASHTRA,606.03,1988.29,604.93,1984.68,604.56,1983.46,590.09,1935.99,790.00,618.80,565.57,522.76,0.42,477.80,0.39,271.80


KOYNA,MAHARASHTRA,657.91,2158.50,657.91,2158.49,655.02,2149.02,609.60,2000.00,3130.00,3126.10,3125.68,2677.14,2.17,2676.90,2.17,395.34


MACHKUND,ANDHRA PRADESH,838.20,2750.00,837.70,2748.36,837.03,2746.16,513.59,1685.01,670.00,551.60,526.92,892.55,0.72,852.62,0.69,302.56


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,161.79,530.81,172.09,564.60,150.88,495.01,2237.00,1398.13,385.48,6537.80,5.30,2048.39,1.66,104.35


SRISAILAM,ANDHRA PRADESH,269.75,885.01,263.65,864.99,264.51,867.81,243.84,800.00,4300.00,1391.84,795.10,7105.96,5.76,4093.57,3.32,275.45


ALMATTI,KARNATAKA,519.62,1704.79,519.06,1702.95,519.62,1704.79,505.97,1660.01,483.00,175.35,155.83,2631.50,2.13,2404.53,1.95,315.26

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,548.45,1799.38,554.19,1818.21,513.52,1684.78,542.00,2885.00,1602.60,108.04,73712.87,59.76,127.29


SHARAVATHY,KARNATAKA,554.43,1819.00,550.85,1807.25,553.29,1815.26,522.73,1714.99,5564.00,4557.03,3462.14,4297.08,3.48,3264.64,2.65,2620.67


IDAMALAYAR,KERALA,169.00,554.46,149.94,491.93,167.88,550.79,114.99,377.26,380.00,254.45,128.57,1017.80,0.83,518.50,0.42,167.58


IDUKKI,KERALA,732.35,2402.72,711.59,2334.61,727.25,2385.99,694.94,2279.99,2398.00,2146.32,704.03,1459.50,1.18,490.94,0.40,1166.33
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Nov-2012,Sub-Report-6/Page/2

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

SABRIGRI,KERALA,981.46,3220.01,967.46,3174.08,977.01,3205.41,908.30,2979.99,1338.00,764.00,419.33,446.26,0.36,260.37,0.21,560.04


KUNDAH GROUP,TAMIL NADU,2857.15,1199.84,3936.48,1315.00,1270.00,870.86,346.50,0.28,591.03


METTUR,TAMIL NADU,240.79,789.99,224.62,736.94,232.47,762.70,211.23,693.01,790.00,204.00,44.91,2504.70,2.03,711.09,0.58,68.83


PERIYAR,TAMIL NADU,46.33,152.00,37.00,121.39,36.61,120.11,33.53,110.01,409.00,216.00,45.56,273.51,0.22,57.48,0.05,108.18


BALIMELA,ORISSA,462.08,1516.01,458.18,1503.20,445.95,1463.09,438.91,1439.99,1183.00,897.75,667.85,2675.96,2.17,1990.69,1.61,216.04


HIRAKUD,ORISSA,192.02,629.99,191.82,629.33,191.2,627.30,179.83,589.99,1174.00,372.28,360.52,4709.43,3.82,4585.47,3.72,734.97


INDRAVATI,ORISSA,641.84,2105.77,639.60,2098.43,630.66,2069.09,625.00,2050.52,1962.00,1213.13,618.88,1485.50,1.20,1224.85,0.99,1088.13


RENGALI,ORISSA,123.44,404.99,122.96,403.41,123.29,404.49,109.72,359.97,525.00,275.00,231.33,3167.81,2.57,2982.81,2.42,580.35


UPPER KOLAB,ORISSA,857.78,2814.24,857.78,2814.24,849.73,2787.83,843.78,2768.31,832.00,540.00,539.98,935.00,0.76,934.96,0.76,241.27


LOKTAK,MANIPUR,768.50,2521.33,768.50,2521.33,768.5,2521.33,766.01,2513.16,450.00,250.00,250.02,0.00,0.00,321.62


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,03-Nov-2012,Sub-Report-6/Page/1

,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,504.06,1653.75,509.74,1672.38,445.62,1462.01,5282.00,1728.80,1277.32,6516.07,5.28,5010.72,4.06,3019.40


PONG,PUNJAB,426.72,1400.00,419.44,1376.10,420.52,1379.66,384.05,1260.01,1123.00,1084.00,763.51,6946.00,5.63,5154.40,4.18,998.10


RANJIT SAGAR,PUNJAB,527.91,1731.99,520.89,1708.96,521.4,1710.63,487.91,1600.75,1507.00,390.30,321.18,7199.17,5.84,1634.75,1.33,946.88


R.P. SAGAR,RAJASTHAN,352.81,1157.51,351.71,1153.90,350.64,1150.39,343.81,1127.99,459.00,175.66,146.16,1568.98,1.27,1355.72,1.10,40.80


RIHAND,UTTAR PRADESH,268.22,879.99,263.29,863.80,265.02,869.49,252.98,829.99,920.00,860.50,498.10,5845.50,4.74,3637.20,2.95,452.76


RAM GANGA,UTTARAKHAND,366.00,1200.79,353.80,1160.76,362.33,1188.75,323.00,1059.71,164.00,480.80,270.09,2109.25,1.71,1307.81,1.06,123.05


TEHRI,UTTARAKHAND,829.79,2722.41,829.79,2722.41,817.2,2681.10,740.04,2427.95,309.00,1291.49,1286.60,2615.00,2.12,2606.90,2.11,1925.18


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.19,397.60,121.54,398.75,110.84,363.65,5469.00,1817.55,381.96,5760.00,4.67,1433.68,1.16,2424.81


UKAI,GUJARAT,105.16,345.01,103.20,338.57,103.24,338.71,82.30,270.01,1080.00,813.08,666.96,6619.15,5.37,5771.27,4.68,444.48


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,398.32,1306.83,393.09,1289.67,381.00,1250.00,420.48,725.00,616.60,6911.19,5.60,5898.56,4.78,73.21


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,260.53,854.76,258.7,848.75,243.24,798.03,2628.00,1316.12,1109.74,9706.00,7.87,8219.23,6.66,1861.72


BHIRA,MAHARASHTRA,606.03,1988.29,606.03,1988.29,604.51,1983.30,590.09,1935.99,790.00,618.80,617.58,522.76,0.42,521.73,0.42,273.92


KOYNA,MAHARASHTRA,657.91,2158.50,657.91,2158.49,657.91,2158.50,609.60,2000.00,3130.00,3126.10,3125.68,2677.14,2.17,2676.90,2.17,396.81


