,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Oct-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,499.62,1639.17,511.95,1679.63,445.62,1462.01,5282.00,1728.80,1094.34,6516.07,5.28,4375.21,3.55,2526.27


PONG,PUNJAB,426.72,1400.00,407.90,1338.26,423.5,1389.44,384.05,1260.01,1123.00,1084.00,376.93,6946.00,5.63,2780.82,2.25,511.80


RANJIT SAGAR,PUNJAB,527.91,1731.99,498.63,1635.93,514.87,1689.21,487.91,1600.75,1507.00,390.30,87.78,7199.17,5.84,412.27,0.33,797.65


R.P. SAGAR,RAJASTHAN,352.81,1157.51,348.39,1143.02,352.67,1157.05,343.81,1127.99,459.00,175.66,77.85,1568.98,1.27,769.47,0.62,3.96


RIHAND,UTTAR PRADESH,268.22,879.99,259.14,850.20,262.19,860.20,252.98,829.99,920.00,860.50,258.75,5845.50,4.74,1948.50,1.58,214.09


RAM GANGA,UTTARAKHAND,366.00,1200.79,337.75,1108.10,355.73,1167.09,323.00,1059.71,164.00,480.80,79.29,2109.25,1.71,484.30,0.39,96.10


TEHRI,UTTARAKHAND,829.79,2722.41,819.95,2690.12,818.9,2686.68,740.04,2427.95,309.00,1291.49,1060.67,2615.00,2.12,2223.24,1.80,870.94


SARDAR SAROVAR,GUJARAT,138.68,454.99,121.00,396.98,120.88,396.59,110.84,363.65,5469.00,1817.55,371.68,5760.00,4.67,1399.28,1.13,1072.83


UKAI,GUJARAT,105.16,345.01,98.87,324.38,102.04,334.78,82.30,270.01,1080.00,813.08,432.87,6619.15,5.37,3997.18,3.24,166.77


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,388.06,1273.16,387.21,1270.37,381.00,1250.00,420.48,725.00,132.28,6911.19,5.60,1499.17,1.22,39.19


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,259.38,850.98,256.33,840.98,243.24,798.03,2628.00,1316.12,976.78,9706.00,7.87,7261.90,5.89,903.06


BHIRA,MAHARASHTRA,606.03,1988.29,604.87,1984.48,606.03,1988.29,590.09,1935.99,790.00,618.80,562.83,522.76,0.42,475.48,0.39,183.23


KOYNA,MAHARASHTRA,657.91,2158.50,657.79,2158.09,657.76,2158.01,609.60,2000.00,3130.00,3126.10,3108.80,2677.14,2.17,2667.18,2.16,1945.32


