,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Oct-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,512.25,1680.61,499.62,1639.17,445.62,1462.01,5282.00,1728.80,1654.89,6516.07,5.28,6272.05,5.08,3154.74


PONG,PUNJAB,426.72,1400.00,424.60,1393.04,407.9,1338.25,384.05,1260.01,1123.00,1084.00,984.66,6946.00,5.63,6403.47,5.19,483.97


RANJIT SAGAR,PUNJAB,527.91,1731.99,523.88,1718.77,498.63,1635.93,487.91,1600.75,1507.00,390.30,350.28,7199.17,5.84,1872.58,1.52,1046.91


R.P. SAGAR,RAJASTHAN,352.81,1157.51,349.10,1145.35,348.39,1143.01,343.81,1127.99,459.00,175.66,91.61,1568.98,1.27,888.97,0.72,4.00


RIHAND,UTTAR PRADESH,268.22,879.99,258.10,846.80,259.14,850.20,252.98,829.99,920.00,860.50,206.60,5845.50,4.74,1522.43,1.23,95.99


RAM GANGA,UTTARAKHAND,366.00,1200.79,364.36,1195.41,337.75,1108.10,323.00,1059.71,164.00,480.80,462.88,2109.25,1.71,1953.58,1.58,26.49


TEHRI,UTTARAKHAND,829.79,2722.41,822.85,2699.64,819.95,2690.12,740.04,2427.95,309.00,1291.49,1125.91,2615.00,2.12,2336.25,1.89,1893.27


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.96,396.85,121,396.98,110.84,363.65,5469.00,1817.55,369.56,5760.00,4.67,1391.99,1.13,2003.18


UKAI,GUJARAT,105.16,345.01,103.59,339.87,98.87,324.38,82.30,270.01,1080.00,813.08,694.50,6619.15,5.37,5939.64,4.82,256.08


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,392.86,1288.92,388.06,1273.16,381.00,1250.00,420.48,725.00,308.40,6911.19,5.60,3140.19,2.55,11.88


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,259.55,851.54,259.38,850.98,243.24,798.03,2628.00,1316.12,995.83,9706.00,7.87,7399.07,6.00,971.86


BHIRA,MAHARASHTRA,606.03,1988.29,605.33,1985.99,604.87,1984.48,590.09,1935.99,790.00,618.80,584.27,522.76,0.42,493.60,0.40,170.21


KOYNA,MAHARASHTRA,657.91,2158.50,657.90,2158.48,657.79,2158.10,609.60,2000.00,3130.00,3126.10,3125.26,2677.14,2.17,2676.65,2.17,336.82


MACHKUND,ANDHRA PRADESH,838.20,2750.00,836.55,2744.59,833.26,2733.79,513.59,1685.01,670.00,551.60,469.96,892.55,0.72,760.45,0.62,312.06


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,178.98,587.20,165.45,542.81,150.88,495.01,2237.00,1398.13,1337.58,6537.80,5.30,6289.18,5.10,711.54


SRISAILAM,ANDHRA PRADESH,269.75,885.01,269.63,884.61,269.6,884.51,243.84,800.00,4300.00,1391.84,1377.84,7105.96,5.76,7093.87,5.75,939.14


ALMATTI,KARNATAKA,519.62,1704.79,519.59,1704.69,519.56,1704.59,505.97,1660.01,483.00,175.35,175.36,2631.50,2.13,295.58

,133260.00
KALINDI SUPA,KARNATAKA,563.88,1850.00,547.69,1796.88,549.24,1801.97,513.52,1684.78,542.00,2885.00,1550.05,108.04,71296.42,57.80,132.43


SHARAVATHY,KARNATAKA,554.43,1819.00,552.11,1811.38,554.05,1817.75,522.73,1714.99,5564.00,4557.03,3823.45,4297.08,3.48,3605.34,2.92,2154.29


IDAMALAYAR,KERALA,169.00,554.46,157.76,517.59,161.88,531.10,114.99,377.26,380.00,254.45,174.83,1017.80,0.83,707.10,0.57,140.30


IDUKKI,KERALA,732.35,2402.72,724.51,2377.00,721.49,2367.09,694.94,2279.99,2398.00,2146.32,1522.81,1459.50,1.18,1035.54,0.84,959.12
,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Oct-2010,2
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

SABRIGRI,KERALA,981.46,3220.01,974.23,3196.29,978.92,3211.68,908.30,2979.99,1338.00,764.00,554.46,446.26,0.36,344.14,0.28,692.24


KUNDAH GROUP,TAMIL NADU,2047.24,1254,4114.17,1315.00,1270.00,624.00,346.50,0.28,873.65


METTUR,TAMIL NADU,240.79,789.99,226.79,744.06,234.57,769.59,211.23,693.01,790.00,204.00,55.06,2504.70,2.03,885.59,0.72,35.66


PERIYAR,TAMIL NADU,46.33,152.00,35.81,117.49,36.48,119.69,33.53,110.01,409.00,216.00,27.95,273.51,0.22,35.78,0.03,174.75


BALIMELA,ORISSA,462.08,1516.01,458.21,1503.30,446.47,1464.80,438.91,1439.99,1183.00,897.75,669.28,2675.96,2.17,1994.93,1.62,661.68


HIRAKUD,ORISSA,192.02,629.99,191.97,629.81,189.9,623.03,179.83,589.99,1174.00,372.28,368.95,4709.43,3.82,4674.28,3.79,595.32


INDRAVATI,ORISSA,641.84,2105.77,638.40,2094.49,637.9,2092.85,625.00,2050.52,1962.00,1213.13,400.96,1485.50,1.20,1093.28,0.89,875.79


RENGALI,ORISSA,123.44,404.99,118.20,387.80,119.98,393.64,109.72,359.97,525.00,275.00,115.08,3167.81,2.57,1519.66,1.23,197.45


UPPER KOLAB,ORISSA,857.78,2814.24,855.62,2807.15,849.81,2788.09,843.78,2768.31,832.00,540.00,404.00,935.00,0.76,748.00,0.61,225.01


LOKTAK,MANIPUR,768.50,2521.33,768.50,2521.33,768.46,2521.19,766.01,2513.16,450.00,250.00,250.02,0.00,0.00,324.21


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Oct-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,512.25,1680.60,499.66,1639.30,445.62,1462.01,5282.00,1728.80,1654.72,6516.07,5.28,6271.50,5.08,3176.41


PONG,PUNJAB,426.72,1400.00,424.60,1393.05,407.86,1338.12,384.05,1260.01,1123.00,1084.00,984.80,6946.00,5.63,6404.25,5.19,486.55


RANJIT SAGAR,PUNJAB,527.91,1731.99,523.88,1718.77,498.22,1634.58,487.91,1600.75,1507.00,390.30,350.28,7199.17,5.84,1872.58,1.52,1053.01


R.P. SAGAR,RAJASTHAN,352.81,1157.51,349.10,1145.33,348.39,1143.01,343.81,1127.99,459.00,175.66,91.49,1568.98,1.27,887.93,0.72,4.00


RIHAND,UTTAR PRADESH,268.22,879.99,258.07,846.70,259.17,850.30,252.98,829.99,920.00,860.50,205.15,5845.50,4.74,1510.74,1.22,97.04


RAM GANGA,UTTARAKHAND,366.00,1200.79,364.50,1195.87,337.79,1108.23,323.00,1059.71,164.00,480.80,465.85,2109.25,1.71,1974.29,1.60,26.49


TEHRI,UTTARAKHAND,829.79,2722.41,822.42,2698.23,820,2690.29,740.04,2427.95,309.00,1291.49,1116.18,2615.00,2.12,2319.48,1.88,1918.21


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.92,396.72,120,393.70,110.84,363.65,5469.00,1817.55,367.45,5760.00,4.67,1384.75,1.12,2031.92


UKAI,GUJARAT,105.16,345.01,103.58,339.84,98.84,324.28,82.30,270.01,1080.00,813.08,693.86,6619.15,5.37,5935.76,4.81,256.88


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,386.71,1268.73,388.06,1273.16,381.00,1250.00,420.48,725.00,99.38,6911.19,5.60,1133.32,0.92,11.88


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,259.08,850.00,259.38,850.98,243.24,798.03,2628.00,1316.12,943.66,9706.00,7.87,7035.48,5.70,982.72


BHIRA,MAHARASHTRA,606.03,1988.29,605.31,1985.93,604.81,1984.28,590.09,1935.99,790.00,618.80,583.33,522.76,0.42,492.80,0.40,170.28


KOYNA,MAHARASHTRA,657.91,2158.50,657.90,2158.48,657.79,2158.10,609.60,2000.00,3130.00,3126.10,3125.26,2677.14,2.17,2676.65,2.17,337.73


MACHKUND,ANDHRA PRADESH,838.20,2750.00,836.55,2744.59,833.41,2734.28,513.59,1685.01,670.00,551.60,469.96,892.55,0.72,760.45,0.62,313.92


NAGARJUN SAGAR,ANDHRA PRADESH,179.83,589.99,179.04,587.40,172.27,565.19,150.88,495.01,2237.00,1398.13,1341.71,6537.80,5.30,6306.14,5.11,731.43


SRISAILAM,ANDHRA PRADESH,269.75,885.01,269.57,884.42,268.71,881.59,243.84,800.00,4300.00,1391.84,1370.71,7105.96,5.76,7057.18,5.72,952.58


ALMATTI,KARNATAKA,519.62,1704.79,519.59,1704.69,519.35,1703.90,505.97,1660.01,483.00,175.35,175.36,2631.50,2.13,302.44

,133260.00
