,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Sep-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,492.72,1616.54,510.28,1674.15,445.62,1462.01,5282.00,1728.80,846.09,6516.07,5.28,3488.21,2.83,2130.28


PONG,PUNJAB,426.72,1400.00,403.44,1323.62,422.33,1385.60,384.05,1260.01,1123.00,1084.00,268.45,6946.00,5.63,2054.15,1.67,427.58


RANJIT SAGAR,PUNJAB,527.91,1731.99,498.75,1636.32,519.22,1703.48,487.91,1600.75,1507.00,390.30,88.90,7199.17,5.84,416.84,0.34,669.72


R.P. SAGAR,RAJASTHAN,352.81,1157.51,348.12,1142.14,352.56,1156.69,343.81,1127.99,459.00,175.66,73.34,1568.98,1.27,728.14,0.59,2.41


RIHAND,UTTAR PRADESH,268.22,879.99,257.83,845.90,262.04,859.71,252.98,829.99,920.00,860.50,193.68,5845.50,4.74,1418.51,1.15,176.37


RAM GANGA,UTTARAKHAND,366.00,1200.79,329.68,1081.63,353.46,1159.65,323.00,1059.71,164.00,480.80,27.58,2109.25,1.71,189.58,0.15,96.10


TEHRI,UTTARAKHAND,829.79,2722.41,804.00,2637.80,813.5,2668.96,740.04,2427.95,309.00,1291.49,738.31,2615.00,2.12,1639.09,1.33,758.82


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.43,395.11,119.98,393.64,110.84,363.65,5469.00,1817.55,341.62,5760.00,4.67,1295.99,1.05,498.33


UKAI,GUJARAT,105.16,345.01,95.94,314.77,96.73,317.36,82.30,270.01,1080.00,813.08,326.86,6619.15,5.37,2923.89,2.37,136.69


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,386.54,1268.16,386.8,1269.03,381.00,1250.00,420.48,725.00,95.96,6911.19,5.60,1091.13,0.88,37.01


