01-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
01-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
01-01-2011,Pong,426.72,384.05,416.81,764.70,397.99,180.26,144.22,263.26
01-01-2011,Tehri,829.79,740.04,818.55,982.26,,,41.43,0.00
01-01-2011,Rihand,268.22,252.98,257.28,,258.04,,,
01-01-2011,RSD,527.91,487.91,,,,,,
01-01-2011,,,,,,,,,
01-01-2011,IX. System Constraints:,,,,,,,,
02-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
02-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
02-01-2011,Pong,426.72,384.05,417.25,777.61,398.81,192.35,35.23,384.91
02-01-2011,Tehri,829.79,740.04,817.95,962.25,,,41.31,0.00
02-01-2011,Rihand,268.22,252.98,257.34,,258.07,,,
02-01-2011,RSD,527.91,487.91,,,,,,
02-01-2011,,,,,,,,,
02-01-2011,IX. System Constraints:,,,,,,,,
03-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
03-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
03-01-2011,Pong,426.72,384.05,416.69,751.83,397.77,174.26,91.72,270.28
03-01-2011,Tehri,829.79,740.04,818.80,982.26,,,49.13,0.00
03-01-2011,Rihand,268.22,252.98,257.19,,258.01,,,
03-01-2011,RSD,527.91,487.91,,,,,,
03-01-2011,,,,,,,,,
03-01-2011,IX. System Constraints:,,,,,,,,
04-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
04-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
04-01-2011,Pong,426.72,384.05,416.62,743.20,397.67,174.20,69.86,248.42
04-01-2011,Tehri,829.79,740.04,818.95,962.26,,,43.76,0.00
04-01-2011,Rihand,268.22,252.98,257.19,,258.01,,,
04-01-2011,RSD,527.91,487.91,,,,,,
04-01-2011,,,,,,,,,
04-01-2011,IX. System Constraints:,,,,,,,,
05-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
05-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
05-01-2011,Pong,426.72,384.05,416.56,751.83,397.57,168.28,52.56,201.36
05-01-2011,Tehri,829.79,740.04,819.05,962.25,,,43.65,0.00
05-01-2011,Rihand,268.22,252.98,257.13,,257.95,,,
05-01-2011,RSD,527.91,487.91,,,,,,
05-01-2011,,,,,,,,,
05-01-2011,IX. System Constraints:,,,,,,,,
