01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-01-2011,Punjab(Hy.),,1148,643,155,8.5,354
01-01-2011,Haryana(Th.)+Magnum,,2750,1830,1807,46.2,1924
01-01-2011,Haryana(Hy.),,62,38,28,0.8,32
01-01-2011,Rajasthan(Th.) +GT+BM,,4842,3048,2710,71.9,2994
01-01-2011,Rajasthan(Hy.),,435,207,144,4.8,198
01-01-2011,UP (Th.) + Cogeneration,,5375,3325,3128,76.2,3175
01-01-2011,UP (Hy.)+Visnuprayag,,927,233,215,4.9,203
01-01-2011,Uttarakhand (Hy.),,1303,518,395,11.2,469
01-01-2011,Delhi (Th.)+Gas,,995,633,599,15.1,630
01-01-2011,HP (Hy.)+Baspa+Malana,,969,144,148,5.4,223
01-01-2011,J & K (Hy. + GT),,951,240,200,5.5,231
01-01-2011,Rajasthan(RE),,,171.00,91.00,2.0,84
01-01-2011,Sub Total (H),,22439,12996,11371,294.7,12278
01-01-2011,,,,2126,476,50.4,2101
01-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],30623,21848,631.6,26317
01-01-2011,Grand Total Generation,Grand Total Generation,,,,,
02-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-01-2011,Punjab(Hy.),,1148,605,163,8.3,347
02-01-2011,Haryana(Th.)+Magnum,,2750,1979,2030,49.4,2058
02-01-2011,Haryana(Hy.),,62,38,34,0.8,35
02-01-2011,Rajasthan(Th.) +GT+BM,,4842,3174,2809,71.0,2959
02-01-2011,Rajasthan(Hy.),,435,251,188,5.1,214
02-01-2011,UP (Th.) + Cogeneration,,5375,3367,3255,79.4,3308
02-01-2011,UP (Hy.)+Visnuprayag,,927,255,205,4.7,195
02-01-2011,Uttarakhand (Hy.),,1303,524,374,10.9,453
02-01-2011,Delhi (Th.)+Gas,,995,652,588,15.0,625
02-01-2011,HP (Hy.)+Baspa+Malana,,969,190,163,5.0,207
02-01-2011,J & K (Hy. + GT),,951,240,200,5.5,231
02-01-2011,Rajasthan(RE),,,15.00,43.00,0.6,25
02-01-2011,Sub Total (H),,22439,13165,11635,294.6,12276
02-01-2011,,,,2328,355,54.2,2258
02-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],30194,21707,629.0,26208
02-01-2011,Grand Total Generation,Grand Total Generation,,,,,
03-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
03-01-2011,Punjab(Hy.),,1148,539,111,8.3,347
03-01-2011,Haryana(Th.)+Magnum,,2750,1993,1993,48.6,2024
03-01-2011,Haryana(Hy.),,62,36,38,0.9,38
03-01-2011,Rajasthan(Th.) +GT+BM,,4842,3164,2787,73.3,3055
03-01-2011,Rajasthan(Hy.),,435,267,165,5.3,221
03-01-2011,UP (Th.) + Cogeneration,,5375,2966,3251,76.9,3206
03-01-2011,UP (Hy.)+Visnuprayag,,927,282,221,5.4,227
03-01-2011,Uttarakhand (Hy.),,1303,524,374,10.9,453
03-01-2011,Delhi (Th.)+Gas,,995,655,555,14.7,612
03-01-2011,HP (Hy.)+Baspa+Malana,,969,232,83,5.0,209
03-01-2011,J & K (Hy. + GT),,951,240,200,5.5,231
03-01-2011,Rajasthan(RE),,,194.00,98.00,3.1,129
03-01-2011,Sub Total (H),,22439,13244,11600,301.9,12578
03-01-2011,,,,2610,762,59.1,2464
03-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],30929,21890,645.8,26910
03-01-2011,Grand Total Generation,Grand Total Generation,,,,,
04-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
04-01-2011,Punjab(Hy.),,1148,661,152,9.8,407
04-01-2011,Haryana(Th.)+Magnum,,2750,1631,2049,44.8,1866
04-01-2011,Haryana(Hy.),,62,38,37,0.8,35
04-01-2011,Rajasthan(Th.) +GT+BM,,4842,3122,3163,73.7,3070
04-01-2011,Rajasthan(Hy.),,435,251,102,5.0,209
04-01-2011,UP (Th.) + Cogeneration,,5375,2925,2987,71.0,2957
04-01-2011,UP (Hy.)+Visnuprayag,,927,269,248,6.0,251
04-01-2011,Uttarakhand (Hy.),,1303,528,304,10.6,442
04-01-2011,Delhi (Th.)+Gas,,995,611,536,15.3,638
04-01-2011,HP (Hy.)+Baspa+Malana,,969,199,88,5.2,219
04-01-2011,J & K (Hy. + GT),,951,240,200,5.5,231
04-01-2011,Rajasthan(RE),,,111.00,139.00,2.4,102
04-01-2011,Sub Total (H),,22439,12561,11951,295.6,12319
04-01-2011,,,,2798,1116,74.6,3109
04-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],30264,23209,656.9,27370
04-01-2011,Grand Total Generation,Grand Total Generation,,,,,
05-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
05-01-2011,Punjab(Hy.),,1148,678,192,10.3,430
05-01-2011,Haryana(Th.)+Magnum,,2750,1896,1692,44.8,1868
05-01-2011,Haryana(Hy.),,62,37,29,0.8,33
05-01-2011,Rajasthan(Th.) +GT+BM,,4842,3199,2739,72.7,3028
05-01-2011,Rajasthan(Hy.),,435,242,151,5.1,213
05-01-2011,UP (Th.) + Cogeneration,,5375,2864,3138,68.9,2871
