01-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
01-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
01-01-2011,,Total Hydro,,1148,440,447,10.43,434
01-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
02-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
02-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
02-01-2011,,Total Hydro,,1148,440,447,10.43,434
02-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
03-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
03-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
03-01-2011,,Total Hydro,,1148,440,447,10.43,434
03-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
04-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
04-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
04-01-2011,,Total Hydro,,1148,440,447,10.43,434
04-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
05-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
05-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
05-01-2011,,Total Hydro,,1148,440,447,10.43,434
05-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
06-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
06-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
06-01-2011,,Total Hydro,,1148,440,447,10.43,434
06-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
07-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
07-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
07-01-2011,,Total Hydro,,1148,440,447,10.43,434
07-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
08-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
08-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
08-01-2011,,Total Hydro,,1148,440,447,10.43,434
08-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
09-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
09-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
09-01-2011,,Total Hydro,,1148,440,447,10.43,434
09-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
10-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
10-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
10-01-2011,,Total Hydro,,1148,440,447,10.43,434
10-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
11-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
11-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
11-01-2011,,Total Hydro,,1148,440,447,10.43,434
11-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
12-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
12-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
12-01-2011,,Total Hydro,,1148,440,447,10.43,434
12-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
13-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
13-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
13-01-2011,,Total Hydro,,1148,440,447,10.43,434
13-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
14-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
14-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
14-01-2011,,Total Hydro,,1148,440,447,10.43,434
14-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
15-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
15-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
15-01-2011,,Total Hydro,,1148,440,447,10.43,434
15-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
16-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
16-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
16-01-2011,,Total Hydro,,1148,440,447,10.43,434
16-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
17-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
17-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
17-01-2011,,Total Hydro,,1148,440,447,10.43,434
17-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
18-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
18-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
18-01-2011,,Total Hydro,,1148,440,447,10.43,434
18-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
19-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
19-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
19-01-2011,,Total Hydro,,1148,440,447,10.43,434
19-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
20-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
20-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
20-01-2011,,Total Hydro,,1148,440,447,10.43,434
20-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
21-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
21-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
21-01-2011,,Total Hydro,,1148,440,447,10.43,434
21-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
22-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
22-01-2011,,Thermal (Total),,3980,2165,1632,44.86,1869
22-01-2011,,Total Hydro,,1148,440,447,10.43,434
22-01-2011,,Total Punjab,,5128,2605,2079,55.29,2304
23-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
