"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES"
724080,13739,2011,1,1,0,0,39.883,-75.25,9,999,0,3.3,-2.2,1022.9
724080,13739,2011,1,1,0,54,39.868,-75.231,9,170,1.5,3.3,-2.2,1022.5
724080,13739,2011,1,1,1,54,39.868,-75.231,9,200,1.5,3.3,-2.2,1022.7
724080,13739,2011,1,1,2,54,39.868,-75.231,9,999,0,2.8,-2.2,1022.6
724080,13739,2011,1,1,3,5,39.868,-75.231,9,220,1.5,3,-2,9999.9
724080,13739,2011,1,1,3,54,39.868,-75.231,9,999,0,1.7,-2.2,1022.1
724080,13739,2011,1,1,4,54,39.868,-75.231,9,999,0,2.2,-2.8,1022
724080,13739,2011,1,1,4,59,39.868,-75.231,9,999,999.9,999.9,999.9,9999.9
724080,13739,2011,1,1,4,59,39.868,-75.231,9,999,999.9,999.9,999.9,9999.9
724080,13739,2011,1,1,5,54,39.868,-75.231,9,999,0,1.1,-2.2,1021.5
724080,13739,2011,1,1,6,0,39.883,-75.25,9,999,0,1.1,-2.2,1021.5
724080,13739,2011,1,1,6,54,39.868,-75.231,9,999,0,-0.6,-2.8,1021.5
724080,13739,2011,1,1,7,1,39.868,-75.231,9,210,1.5,0,-3,9999.9
724080,13739,2011,1,1,7,54,39.868,-75.231,9,999,0,-0.6,-3.3,1021.1
724080,13739,2011,1,1,8,54,39.868,-75.231,9,999,0,-0.6,-3.3,1021
724080,13739,2011,1,1,9,54,39.868,-75.231,9,999,0,0,-2.2,1020.7
724080,13739,2011,1,1,10,37,39.868,-75.231,9,999,0,-1,-3,9999.9
724080,13739,2011,1,1,10,54,39.868,-75.231,9,999,0,1.7,-2.2,1020.7
724080,13739,2011,1,1,11,10,39.868,-75.231,9,999,0,1,-3,9999.9
724080,13739,2011,1,1,11,54,39.868,-75.231,9,90,1.5,-0.6,-2.8,1020.5
724080,13739,2011,1,1,12,0,39.883,-75.25,9,90,1.5,-0.6,-2.8,1020.5
724080,13739,2011,1,1,12,42,39.868,-75.231,9,180,1.5,0,-3,9999.9
724080,13739,2011,1,1,12,54,39.868,-75.231,9,999,0,0,-2.2,1021.1
724080,13739,2011,1,1,13,54,39.868,-75.231,9,999,0,2.8,-1.7,1020.8
724080,13739,2011,1,1,14,54,39.868,-75.231,9,999,0,4.4,-0.6,1021.2
724080,13739,2011,1,1,15,54,39.868,-75.231,9,210,2.1,7.2,1.1,1020.9
724080,13739,2011,1,1,16,54,39.868,-75.231,9,240,3.1,9.4,2.8,1019.7
724080,13739,2011,1,1,17,45,39.868,-75.231,9,260,2.6,9,3,9999.9
724080,13739,2011,1,1,17,54,39.868,-75.231,9,250,2.1,9.4,3.9,1018.6
724080,13739,2011,1,1,18,0,39.883,-75.25,9,250,2.1,9.4,3.9,1018.6
724080,13739,2011,1,1,18,54,39.868,-75.231,9,999,0,10.6,4.4,1017.9
724080,13739,2011,1,1,19,35,39.868,-75.231,9,130,1.5,11,5,9999.9
724080,13739,2011,1,1,19,54,39.868,-75.231,9,190,2.6,11.1,5.6,1017.9
724080,13739,2011,1,1,20,54,39.868,-75.231,9,180,4.6,10.6,6.7,1017
724080,13739,2011,1,1,21,8,39.868,-75.231,9,180,5.7,11,7,9999.9
724080,13739,2011,1,1,21,54,39.868,-75.231,9,200,3.1,10,6.1,1017.1
724080,13739,2011,1,1,22,13,39.868,-75.231,9,200,2.6,10,6,9999.9
724080,13739,2011,1,1,22,54,39.868,-75.231,9,200,2.1,10,6.1,1016.9
724080,13739,2011,1,1,23,32,39.868,-75.231,9,190,2.1,9,6,9999.9
724080,13739,2011,1,1,23,54,39.868,-75.231,9,200,3.1,8.9,6.1,1016.8
724080,13739,2011,1,2,0,0,39.883,-75.25,9,200,3.1,8.9,6.1,1016.8
724080,13739,2011,1,2,0,36,39.868,-75.231,9,200,3.6,9,6,9999.9
724080,13739,2011,1,2,0,54,39.868,-75.231,9,210,3.1,8.9,6.1,1016.7
724080,13739,2011,1,2,1,54,39.868,-75.231,9,999,0,8.3,5.6,1016.3
724080,13739,2011,1,2,2,27,39.868,-75.231,9,200,1.5,9,7,9999.9
724080,13739,2011,1,2,2,54,39.868,-75.231,9,180,2.6,8.9,6.7,1016.2
724080,13739,2011,1,2,3,29,39.868,-75.231,9,200,2.1,9,7,9999.9
724080,13739,2011,1,2,3,54,39.868,-75.231,9,210,2.6,8.9,6.7,1015.7
724080,13739,2011,1,2,4,0,39.868,-75.231,9,210,2.6,9,7,9999.9
724080,13739,2011,1,2,4,8,39.868,-75.231,9,999,0,9,7,9999.9
724080,13739,2011,1,2,4,42,39.868,-75.231,9,240,1.5,8,7,9999.9
724080,13739,2011,1,2,4,54,39.868,-75.231,9,999,0,8.3,7.2,1015
724080,13739,2011,1,2,4,56,39.868,-75.231,9,999,0,9,7,9999.9
724080,13739,2011,1,2,4,59,39.868,-75.231,9,999,999.9,999.9,999.9,9999.9
724080,13739,2011,1,2,5,8,39.868,-75.231,9,999,0,8,7,9999.9
724080,13739,2011,1,2,5,54,39.868,-75.231,9,999,0,8.9,7.2,1014.5
724080,13739,2011,1,2,6,0,39.883,-75.25,9,999,0,8.9,7.2,1014.5
724080,13739,2011,1,2,6,54,39.868,-75.231,9,210,1.5,10,8.9,1014.3
724080,13739,2011,1,2,7,54,39.868,-75.231,9,210,3.1,11.1,10,1014
724080,13739,2011,1,2,8,36,39.868,-75.231,9,230,3.6,12,11,9999.9
724080,13739,2011,1,2,8,48,39.868,-75.231,9,260,2.6,11,11,9999.9
724080,13739,2011,1,2,8,54,39.868,-75.231,9,240,2.1,11.1,10.6,1013.7
724080,13739,2011,1,2,9,4,39.868,-75.231,9,250,2.1,11,11,9999.9
724080,13739,2011,1,2,9,8,39.868,-75.231,9,240,1.5,11,11,9999.9
724080,13739,2011,1,2,9,10,39.868,-75.231,9,240,2.1,11,11,9999.9
724080,13739,2011,1,2,9,16,39.868,-75.231,9,240,2.1,11,11,9999.9
724080,13739,2011,1,2,9,19,39.868,-75.231,9,240,2.6,11,11,9999.9
724080,13739,2011,1,2,9,27,39.868,-75.231,9,230,3.1,11,11,9999.9
724080,13739,2011,1,2,9,54,39.868,-75.231,9,230,2.6,11.7,10.6,1013.9
724080,13739,2011,1,2,10,14,39.868,-75.231,9,230,3.1,12,11,9999.9
724080,13739,2011,1,2,10,38,39.868,-75.231,9,250,2.6,11,11,9999.9
724080,13739,2011,1,2,10,42,39.868,-75.231,9,280,4.1,11,10,9999.9
724080,13739,2011,1,2,10,54,39.868,-75.231,9,290,2.1,10,9.4,1014.3
724080,13739,2011,1,2,11,16,39.868,-75.231,9,270,4.1,12,11,9999.9
724080,13739,2011,1,2,11,23,39.868,-75.231,9,280,2.6,12,11,9999.9
724080,13739,2011,1,2,11,28,39.868,-75.231,9,280,3.6,12,11,9999.9
724080,13739,2011,1,2,11,32,39.868,-75.231,9,300,2.6,12,11,9999.9
724080,13739,2011,1,2,11,35,39.868,-75.231,9,300,2.6,12,11,9999.9
724080,13739,2011,1,2,11,45,39.868,-75.231,9,330,4.6,11,10,9999.9
724080,13739,2011,1,2,11,48,39.868,-75.231,9,360,4.1,11,10,9999.9
724080,13739,2011,1,2,11,54,39.868,-75.231,9,350,4.1,11.1,10,1014.3
724080,13739,2011,1,2,12,0,39.883,-75.25,9,350,4.1,11.1,10,1014.3
724080,13739,2011,1,2,12,37,39.868,-75.231,9,340,3.1,10,8,9999.9
724080,13739,2011,1,2,12,54,39.868,-75.231,9,330,1.5,9.4,8.3,1015.8
724080,13739,2011,1,2,13,9,39.868,-75.231,9,360,1.5,10,8,9999.9
724080,13739,2011,1,2,13,54,39.868,-75.231,9,999,0,10,7.8,1016.3
724080,13739,2011,1,2,14,54,39.868,-75.231,9,310,3.1,10,6.1,1017.3
724080,13739,2011,1,2,15,4,39.868,-75.231,9,310,3.1,10,6,9999.9
724080,13739,2011,1,2,15,54,39.868,-75.231,9,999,0,9.4,6.1,1016.8
724080,13739,2011,1,2,16,54,39.868,-75.231,9,330,4.1,9.4,3.3,1015.7
724080,13739,2011,1,2,17,54,39.868,-75.231,9,330,4.6,8.9,1.1,1014.3
724080,13739,2011,1,2,18,0,39.883,-75.25,9,330,4.6,8.9,1.1,1014.3
724080,13739,2011,1,2,18,54,39.868,-75.231,9,320,4.1,8.9,-1.1,1013.5
724080,13739,2011,1,2,19,54,39.868,-75.231,9,300,3.1,8.9,-1.1,1014.3
724080,13739,2011,1,2,20,54,39.868,-75.231,9,270,3.6,8.3,-1.1,1014.2
724080,13739,2011,1,2,21,38,39.868,-75.231,9,240,1.5,7,1,9999.9
