,Date,Actual,Forecast,Lo80,Hi80,Lo95,Hi95
1,1/1/06,327.375,NA,NA,NA,NA,NA
2,2/1/06,339.7083333,NA,NA,NA,NA,NA
3,3/1/06,382.0833333,NA,NA,NA,NA,NA
4,4/1/06,373.5833333,NA,NA,NA,NA,NA
5,5/1/06,355.9583333,NA,NA,NA,NA,NA
6,6/1/06,345.5833333,NA,NA,NA,NA,NA
7,7/1/06,329.2916667,NA,NA,NA,NA,NA
8,8/1/06,346.7083333,NA,NA,NA,NA,NA
9,9/1/06,366.4166667,NA,NA,NA,NA,NA
10,10/1/06,346.3333333,NA,NA,NA,NA,NA
11,11/1/06,352.5833333,NA,NA,NA,NA,NA
12,12/1/06,370.875,NA,NA,NA,NA,NA
13,13/1/06,351.3333333,NA,NA,NA,NA,NA
14,14/1/06,346.5833333,NA,NA,NA,NA,NA
15,15/1/06,361.1666667,NA,NA,NA,NA,NA
16,16/1/06,372.25,NA,NA,NA,NA,NA
17,17/1/06,357.5416667,NA,NA,NA,NA,NA
18,18/1/06,367.625,NA,NA,NA,NA,NA
19,19/1/06,352.125,NA,NA,NA,NA,NA
20,20/1/06,357.2916667,NA,NA,NA,NA,NA
21,21/1/06,347.6666667,NA,NA,NA,NA,NA
22,22/1/06,357.9166667,NA,NA,NA,NA,NA
23,23/1/06,395,NA,NA,NA,NA,NA
24,24/1/06,368.125,NA,NA,NA,NA,NA
25,25/1/06,382.8333333,NA,NA,NA,NA,NA
26,26/1/06,381.7916667,NA,NA,NA,NA,NA
27,27/1/06,374.25,NA,NA,NA,NA,NA
28,28/1/06,349,NA,NA,NA,NA,NA
29,29/1/06,345.7916667,NA,NA,NA,NA,NA
30,30/1/06,346.0416667,NA,NA,NA,NA,NA
31,31/1/06,388.4583333,NA,NA,NA,NA,NA
32,1/2/06,349.2916667,NA,NA,NA,NA,NA
33,2/2/06,343.5,NA,NA,NA,NA,NA
34,3/2/06,326.2083333,NA,NA,NA,NA,NA
35,4/2/06,338.25,NA,NA,NA,NA,NA
36,5/2/06,371.3333333,NA,NA,NA,NA,NA
37,6/2/06,380.7916667,NA,NA,NA,NA,NA
38,7/2/06,370.9166667,NA,NA,NA,NA,NA
39,8/2/06,352.4166667,NA,NA,NA,NA,NA
40,9/2/06,353.4166667,NA,NA,NA,NA,NA
41,10/2/06,362.3333333,NA,NA,NA,NA,NA
42,11/2/06,348.5,NA,NA,NA,NA,NA
43,12/2/06,315.75,NA,NA,NA,NA,NA
44,13/2/06,359.6666667,NA,NA,NA,NA,NA
45,14/2/06,397.5416667,NA,NA,NA,NA,NA
46,15/2/06,386.9166667,NA,NA,NA,NA,NA
47,16/2/06,411.9583333,NA,NA,NA,NA,NA
48,17/2/06,427.0416667,NA,NA,NA,NA,NA
49,18/2/06,417.75,NA,NA,NA,NA,NA
50,19/2/06,412.125,NA,NA,NA,NA,NA
51,20/2/06,430.2083333,NA,NA,NA,NA,NA
52,21/2/06,378.4583333,NA,NA,NA,NA,NA
53,22/2/06,356.7083333,NA,NA,NA,NA,NA
54,23/2/06,329.2916667,NA,NA,NA,NA,NA
55,24/2/06,354.125,NA,NA,NA,NA,NA
56,25/2/06,368.6666667,NA,NA,NA,NA,NA
57,26/2/06,349.875,NA,NA,NA,NA,NA
58,27/2/06,338.75,NA,NA,NA,NA,NA
59,28/2/06,342.4583333,NA,NA,NA,NA,NA
60,1/3/06,335.2083333,NA,NA,NA,NA,NA
61,2/3/06,347.7916667,NA,NA,NA,NA,NA
62,3/3/06,363.75,NA,NA,NA,NA,NA
63,4/3/06,333.9583333,NA,NA,NA,NA,NA
64,5/3/06,307.4166667,NA,NA,NA,NA,NA
65,6/3/06,337.875,NA,NA,NA,NA,NA
66,7/3/06,349.0833333,NA,NA,NA,NA,NA
67,8/3/06,380.2083333,NA,NA,NA,NA,NA
68,9/3/06,402,NA,NA,NA,NA,NA
69,10/3/06,394.2916667,NA,NA,NA,NA,NA
