,Date,Forecast,Actual,Lo80,Hi80,Lo95,Hi95
1,1/1/06,NA,3479.708333,NA,NA,NA,NA
2,2/1/06,NA,3390.583333,NA,NA,NA,NA
3,3/1/06,NA,3978.958333,NA,NA,NA,NA
4,4/1/06,NA,3982.25,NA,NA,NA,NA
5,5/1/06,NA,4307.083333,NA,NA,NA,NA
6,6/1/06,NA,4557.75,NA,NA,NA,NA
7,7/1/06,NA,4146.75,NA,NA,NA,NA
8,8/1/06,NA,3622.041667,NA,NA,NA,NA
9,9/1/06,NA,3831.25,NA,NA,NA,NA
10,10/1/06,NA,4241.5,NA,NA,NA,NA
11,11/1/06,NA,4085.583333,NA,NA,NA,NA
12,12/1/06,NA,4140.416667,NA,NA,NA,NA
13,13/1/06,NA,4025.875,NA,NA,NA,NA
14,14/1/06,NA,4176.208333,NA,NA,NA,NA
15,15/1/06,NA,3978,NA,NA,NA,NA
16,16/1/06,NA,4115.791667,NA,NA,NA,NA
17,17/1/06,NA,4056.208333,NA,NA,NA,NA
18,18/1/06,NA,4685.375,NA,NA,NA,NA
19,19/1/06,NA,4267.458333,NA,NA,NA,NA
20,20/1/06,NA,3838.916667,NA,NA,NA,NA
21,21/1/06,NA,3494.958333,NA,NA,NA,NA
22,22/1/06,NA,3787.291667,NA,NA,NA,NA
23,23/1/06,NA,4133.166667,NA,NA,NA,NA
24,24/1/06,NA,4340.208333,NA,NA,NA,NA
25,25/1/06,NA,4491.708333,NA,NA,NA,NA
26,26/1/06,NA,4561.291667,NA,NA,NA,NA
27,27/1/06,NA,4377.75,NA,NA,NA,NA
28,28/1/06,NA,3615.833333,NA,NA,NA,NA
29,29/1/06,NA,3317.958333,NA,NA,NA,NA
30,30/1/06,NA,4006.958333,NA,NA,NA,NA
31,31/1/06,NA,4339.666667,NA,NA,NA,NA
32,1/2/06,NA,4313.583333,NA,NA,NA,NA
33,2/2/06,NA,4073.416667,NA,NA,NA,NA
34,3/2/06,NA,3923.333333,NA,NA,NA,NA
35,4/2/06,NA,4055,NA,NA,NA,NA
36,5/2/06,NA,4389.625,NA,NA,NA,NA
37,6/2/06,NA,4704.625,NA,NA,NA,NA
38,7/2/06,NA,4648.833333,NA,NA,NA,NA
39,8/2/06,NA,4573.375,NA,NA,NA,NA
40,9/2/06,NA,4716.041667,NA,NA,NA,NA
41,10/2/06,NA,4641.5,NA,NA,NA,NA
42,11/2/06,NA,4198,NA,NA,NA,NA
43,12/2/06,NA,4246.375,NA,NA,NA,NA
44,13/2/06,NA,4816.291667,NA,NA,NA,NA
45,14/2/06,NA,4460.666667,NA,NA,NA,NA
46,15/2/06,NA,4113.125,NA,NA,NA,NA
47,16/2/06,NA,3865.25,NA,NA,NA,NA
48,17/2/06,NA,4131.208333,NA,NA,NA,NA
49,18/2/06,NA,4570.416667,NA,NA,NA,NA
50,19/2/06,NA,4722.791667,NA,NA,NA,NA
