day,MW,Temp,Trend,Random,Seasonal
1/1/06,1180.291667,NA,NA,NA,-37.65838684
1/2/06,1228.166667,NA,NA,NA,-39.34318789
1/3/06,1296.125,NA,NA,NA,-27.41218658
1/4/06,1232.083333,NA,NA,NA,-26.37188978
1/5/06,1243.208333,NA,NA,NA,13.38378537
1/6/06,1248.041667,NA,NA,NA,16.14317872
1/7/06,1136.708333,NA,NA,NA,10.22912131
1/8/06,1161.708333,NA,NA,NA,28.41106847
1/9/06,1292.791667,NA,NA,NA,17.00986169
1/10/06,1278.791667,NA,NA,NA,5.893325487
1/11/06,1257.916667,NA,NA,NA,17.69374949
1/12/06,1265.5,NA,NA,NA,25.51397128
1/13/06,1239.458333,NA,NA,NA,12.21539007
1/14/06,1184.041667,NA,NA,NA,7.690830379
1/15/06,1179,NA,NA,NA,9.5218643
1/16/06,1288.416667,NA,NA,NA,11.83835158
1/17/06,1279.916667,NA,NA,NA,7.214362669
1/18/06,1277.375,NA,NA,NA,7.491890392
1/19/06,1305.5,NA,NA,NA,-15.38333792
1/20/06,1316.958333,NA,NA,NA,1.811769714
1/21/06,1194.666667,NA,NA,NA,-4.196139614
1/22/06,1202,NA,NA,NA,-6.131821284
1/23/06,1286.375,NA,NA,NA,-1.020813456
1/24/06,1269.375,NA,NA,NA,-8.030337266
1/25/06,1280.083333,NA,NA,NA,-25.45365755
1/26/06,1249.333333,NA,NA,NA,-49.07001437
1/27/06,1272.541667,NA,NA,NA,-52.64819441
1/28/06,1206.833333,NA,NA,NA,-43.09742794
1/29/06,1144.416667,NA,NA,NA,-16.96906851
1/30/06,1251.583333,NA,NA,NA,-30.45355971
1/31/06,1287.208333,NA,NA,NA,-33.93756166
2/1/06,1248,NA,NA,NA,-32.04132879
2/2/06,1214.208333,NA,NA,NA,-42.22156362
2/3/06,1192.875,NA,NA,NA,-54.94897719
2/4/06,1108.958333,NA,NA,NA,-59.19168756
2/5/06,1137.291667,NA,NA,NA,-60.621319
2/6/06,1242.166667,NA,NA,NA,-83.47391196
2/7/06,1222.916667,NA,NA,NA,-88.42921202
2/8/06,1212.958333,NA,NA,NA,-89.82001437
2/9/06,1214.708333,NA,NA,NA,-79.3200796
2/10/06,1202.958333,NA,NA,NA,-78.94229095
2/11/06,1106.833333,NA,NA,NA,-73.64437836
2/12/06,1089.541667,NA,NA,NA,-82.7483901
2/13/06,1187.833333,NA,NA,NA,-83.60258123
2/14/06,1186,NA,NA,NA,-74.81433922
2/15/06,1249.458333,NA,NA,NA,-82.44780302
2/16/06,1307.666667,NA,NA,NA,-100.7617463
2/17/06,1314.333333,NA,NA,NA,-111.5990424
2/18/06,1198.208333,NA,NA,NA,-93.49971104
2/19/06,1187.541667,NA,NA,NA,-97.43462624
2/20/06,1265.166667,NA,NA,NA,-92.43204959
2/21/06,1303.375,NA,NA,NA,-75.03405547
2/22/06,1272.416667,NA,NA,NA,-76.38995892
2/23/06,1246.333333,NA,NA,NA,-69.85139076
2/24/06,1221.75,NA,NA,NA,-73.09633531
2/25/06,1120.958333,NA,NA,NA,-87.01526877
2/26/06,1144.666667,NA,NA,NA,-82.98255514
2/27/06,1261.875,NA,NA,NA,-68.68266929
2/28/06,1233.875,NA,NA,NA,-74.22410765
3/1/06,1237.708333,NA,NA,NA,-86.27650491
3/2/06,1239.708333,NA,NA,NA,-96.74958058
3/3/06,1266.416667,NA,NA,NA,-102.8064462
3/4/06,1190.083333,NA,NA,NA,-102.4109961
3/5/06,1190.583333,NA,NA,NA,-112.6916713
3/6/06,1266.333333,NA,NA,NA,-122.5804025
3/7/06,1244.875,NA,NA,NA,-130.3732107
3/8/06,1255.791667,NA,NA,NA,-134.4259831
3/9/06,1237.208333,NA,NA,NA,-127.2814235
3/10/06,1309.541667,NA,NA,NA,-122.957977
3/11/06,1231.375,NA,NA,NA,-123.8769892
3/12/06,1243.75,NA,NA,NA,-129.3761312
3/13/06,1276.708333,NA,NA,NA,-126.7938515
3/14/06,1283.25,NA,NA,NA,-132.6628403
3/15/06,1248.291667,NA,NA,NA,-133.1143832
3/16/06,1244.458333,NA,NA,NA,-128.1300274
3/17/06,1215.625,NA,NA,NA,-144.9464821
3/18/06,1143.666667,NA,NA,NA,-149.1663777
3/19/06,1133.166667,NA,NA,NA,-135.4340228
3/20/06,1306.208333,NA,NA,NA,-127.5482759
3/21/06,1253.625,NA,NA,NA,-133.5097404
3/22/06,1236.208333,NA,NA,NA,-147.01597
3/23/06,1203.416667,NA,NA,NA,-151.282865
3/24/06,1180.75,NA,NA,NA,-151.0693294
3/25/06,1115.708333,NA,NA,NA,-135.0677313
3/26/06,1099.5,NA,NA,NA,-142.914698
3/27/06,1210.416667,NA,NA,NA,-140.3300111
3/28/06,1217.5,NA,NA,NA,-142.3021083
3/29/06,1226.541667,NA,NA,NA,-154.4776302
3/30/06,1212.291667,NA,NA,NA,-168.0714005
3/31/06,1206.083333,NA,NA,NA,-169.387529
4/1/06,1138.041667,NA,NA,NA,-174.342454
4/2/06,1132.217391,NA,NA,NA,-165.2117137
4/3/06,1237.208333,NA,NA,NA,-166.7691174
4/4/06,1261.416667,NA,NA,NA,-167.7353438
4/5/06,1241.791667,NA,NA,NA,-162.8817724
4/6/06,1201.5,NA,NA,NA,-169.1259668
4/7/06,1188.041667,NA,NA,NA,-168.8119746
4/8/06,1098.166667,NA,NA,NA,-177.5188076
4/9/06,1068.791667,NA,NA,NA,-169.3285923
4/10/06,1177.708333,NA,NA,NA,-175.2795382
4/11/06,1200.791667,NA,NA,NA,-175.0158722
4/12/06,1188.041667,NA,NA,NA,-157.0043751
4/13/06,1164.416667,NA,NA,NA,-152.766394
4/14/06,1145,NA,NA,NA,-136.755272
4/15/06,1073.583333,NA,NA,NA,-159.7863712
4/16/06,1063.291667,NA,NA,NA,-162.1317887
4/17/06,1189.916667,NA,NA,NA,-174.1889315
4/18/06,1184.666667,NA,NA,NA,-170.59097
4/19/06,1172.333333,NA,NA,NA,-166.6729335
4/20/06,1174.375,NA,NA,NA,-161.8402198
4/21/06,1153.375,NA,NA,NA,-128.8267495
4/22/06,1061.666667,NA,NA,NA,-92.02872278
4/23/06,1050.958333,NA,NA,NA,-83.29450882
4/24/06,1162.875,NA,NA,NA,-105.8706993
4/25/06,1166.083333,NA,NA,NA,-155.9693947
