"","date","MW","city","cluster"
"2910",2013-01-01,0.33222655759329,"Amman","3"
"2911",2013-01-02,0.645739497255047,"Amman","3"
"2912",2013-01-03,0.38101497146514,"Amman","3"
"2913",2013-01-04,-0.169292345401505,"Amman","3"
"2914",2013-01-05,0.395585433623451,"Amman","3"
"2915",2013-01-06,0.559226430579376,"Amman","3"
"2916",2013-01-07,0.685428682417657,"Amman","3"
"2917",2013-01-08,0.863991028237653,"Amman","3"
"2918",2013-01-09,0.935610903624407,"Amman","3"
"2919",2013-01-10,0.762350845802559,"Amman","3"
"2920",2013-01-11,0.604997651975157,"Amman","3"
"2921",2013-01-12,0.612405260207865,"Amman","3"
"2922",2013-01-13,0.642698479138462,"Amman","3"
"2923",2013-01-14,0.89210095211019,"Amman","3"
"2924",2013-01-15,1.20821088658803,"Amman","3"
"2925",2013-01-16,1.42572165674737,"Amman","3"
"2926",2013-01-17,1.32634274419384,"Amman","3"
"2927",2013-01-18,1.02111029759455,"Amman","3"
"2928",2013-01-19,0.800168635201118,"Amman","3"
"2929",2013-01-20,0.560552002578915,"Amman","3"
"2930",2013-01-21,0.343236169478335,"Amman","3"
"2931",2013-01-22,0.263156025741595,"Amman","3"
"2932",2013-01-23,0.238399019279652,"Amman","3"
"2933",2013-01-24,0.167169018010409,"Amman","3"
"2934",2013-01-25,-0.0200485332183288,"Amman","3"
"2935",2013-01-26,-0.143677615881038,"Amman","3"
"2936",2013-01-27,-0.244382100434105,"Amman","3"
"2937",2013-01-28,-0.160754102228015,"Amman","3"
"2938",2013-01-29,-0.0101457306335515,"Amman","3"
"2939",2013-01-30,0.268731225622001,"Amman","3"
"2940",2013-01-31,0.542656780585164,"Amman","3"
"2941",2013-02-01,0.595670996697369,"Amman","3"
"2942",2013-02-02,0.647979829452529,"Amman","3"
"2943",2013-02-03,0.564418254244231,"Amman","3"
"2944",2013-02-04,0.47445263566127,"Amman","3"
"2945",2013-02-05,0.369670356634687,"Amman","3"
"2946",2013-02-06,0.46635624982096,"Amman","3"
"2947",2013-02-07,0.426942864497022,"Amman","3"
"2948",2013-02-08,0.276444957235858,"Amman","3"
"2949",2013-02-09,0.205156474848989,"Amman","3"
"2950",2013-02-10,0.108651078939329,"Amman","3"
"2951",2013-02-11,0.0592121528825317,"Amman","3"
"2952",2013-02-12,0.138153719798325,"Amman","3"
"2953",2013-02-13,0.322784384058473,"Amman","3"
"2954",2013-02-14,0.374098315824867,"Amman","3"
