"","Date","Forecast"
"1",2014-12-20,37684.3540670763
"2",2014-12-21,37705.7914674859
"3",2014-12-22,37727.2288678954
"4",2014-12-23,37748.666268305
"5",2014-12-24,37770.1036687146
"6",2014-12-25,37791.5410691242
"7",2014-12-26,37812.9784695338
"8",2014-12-27,37834.4158699433
"9",2014-12-28,37855.8532703529
"10",2014-12-29,37877.2906707625
"11",2014-12-30,37898.7280711721
"12",2014-12-31,37920.1654715817
"13",2015-01-01,37941.6028719912
"14",2015-01-02,37963.0402724008
"15",2015-01-03,37984.4776728104
"16",2015-01-04,38005.91507322
"17",2015-01-05,38027.3524736296
"18",2015-01-06,38048.7898740391
"19",2015-01-07,38070.2272744487
"20",2015-01-08,38091.6646748583
"21",2015-01-09,38113.1020752679
"22",2015-01-10,38134.5394756775
"23",2015-01-11,38155.9768760871
"24",2015-01-12,38177.4142764966
"25",2015-01-13,38198.8516769062
"26",2015-01-14,38220.2890773158
"27",2015-01-15,38241.7264777254
"28",2015-01-16,38263.1638781349
"29",2015-01-17,38284.6012785445
"30",2015-01-18,38306.0386789541
"31",2015-01-19,38327.4760793637
"32",2015-01-20,38348.9134797733
"33",2015-01-21,38370.3508801829
"34",2015-01-22,38391.7882805924
"35",2015-01-23,38413.225681002
"36",2015-01-24,38434.6630814116
"37",2015-01-25,38456.1004818212
"38",2015-01-26,38477.5378822308
"39",2015-01-27,38498.9752826403
"40",2015-01-28,38520.4126830499
"41",2015-01-29,38541.8500834595
"42",2015-01-30,38563.2874838691
"43",2015-01-31,38584.7248842787
"44",2015-02-01,38606.1622846882
"45",2015-02-02,38627.5996850978
"46",2015-02-03,38649.0370855074
"47",2015-02-04,38670.474485917
"48",2015-02-05,38691.9118863266
"49",2015-02-06,38713.3492867361
"50",2015-02-07,38734.7866871457
"51",2015-02-08,38756.2240875553
"52",2015-02-09,38777.6614879649
"53",2015-02-10,38799.0988883745
"54",2015-02-11,38820.536288784
"55",2015-02-12,38841.9736891936
"56",2015-02-13,38863.4110896032
"57",2015-02-14,38884.8484900128
"58",2015-02-15,38906.2858904224
"59",2015-02-16,38927.7232908319
"60",2015-02-17,38949.1606912415
"61",2015-02-18,38970.5980916511
"62",2015-02-19,38992.0354920607
"63",2015-02-20,39013.4728924703
"64",2015-02-21,39034.9102928798
"65",2015-02-22,39056.3476932894
"66",2015-02-23,39077.785093699
"67",2015-02-24,39099.2224941086
"68",2015-02-25,39120.6598945182
"69",2015-02-26,39142.0972949277
"70",2015-02-27,39163.5346953373
"71",2015-02-28,39184.9720957469
"72",2015-03-01,39206.4094961565
"73",2015-03-02,39227.8468965661
"74",2015-03-03,39249.2842969756
"75",2015-03-04,39270.7216973852
"76",2015-03-05,39292.1590977948
"77",2015-03-06,39313.5964982044
"78",2015-03-07,39335.033898614
"79",2015-03-08,39356.4712990235
"80",2015-03-09,39377.9086994331
"81",2015-03-10,39399.3460998427
"82",2015-03-11,39420.7835002523
"83",2015-03-12,39442.2209006619
"84",2015-03-13,39463.6583010714
"85",2015-03-14,39485.095701481
"86",2015-03-15,39506.5331018906
"87",2015-03-16,39527.9705023002
"88",2015-03-17,39549.4079027098
"89",2015-03-18,39570.8453031193
"90",2015-03-19,39592.2827035289
