"","MW","TEMP","DEW.POINT"
"1",420.4810252,27.5,26.5
"2",404.7437976,28,27
"3",393.0514799,28,28
"4",382.5599948,27.65,26.3
"5",374.9757887,28,26
"6",374.5333767,27,26
"7",379.0206986,26.9333333333333,26.1333333333333
"8",348.747076,27,25.75
"9",318.6630586,27,25
"10",308.297977,26.85,25.15
"11",298.0592988,28,25
"12",294.0775906,28,25
"13",298.3121056,28.15,25.15
"14",292.6239511,31,27
"15",301.5353932,31,27
"16",300.018552,30.8,27.15
"17",301.5985949,31,27
"18",300.9665778,30,27
"19",320.5591101,29,26.75
"20",438.3671112,28,25.5
"21",459.0972744,28,26
"22",457.1380212,27.15,25.95
"23",452.5874976,27,26
"24",446.456931,27,26
"25",444.0552657,26.8,25.9
"26",427.6860209,27,26
"27",409.5471281,26,26
"28",400.3196774,25.7875,25.7375
"29",388.6273597,25.575,25.475
"30",392.0402524,25.3625,25.2125
"31",398.170819,25.15,24.95
"32",325.2360372,26,25.3333333333333
"33",313.8597281,26,25
"34",312.4060886,27.9,26.2
"35",312.9117023,30,26
"36",316.3877968,31,27
"37",320.2431015,31.9,26.15
"38",323.7823977,32,29
"39",325.1728355,32,28
"40",327.511299,32.2,28.9
"41",323.3399857,32,27.5
"42",323.1503805,32,28
"43",342.9957198,30,27.8333333333333
"44",480.5226566,29,27
"45",488.2332661,28,27
"46",494.8694464,28,26.3
"47",478.6898068,28,27
"48",466.1758668,27,26
"49",412.4544071,27.1,26.1
"50",403.8589735,27,26
"51",393.241085,27,26
"52",387.6161322,26.9,26.2
"53",381.7383725,27,26
"54",387.0473167,26.5,25.5
"55",401.7733169,26.9,26.1
"56",342.1740974,27,26
"57",313.7965264,27,27
"58",293.31917,28.8,26.85
"59",292.4343459,29.5,27
"60",289.7166721,30,28
"61",297.111273,31.02,28.06
"62",302.3570155,29.3333333333333,27
"63",300.9665778,29,26
"64",305.7067066,29.05,26
"65",302.1674104,29,26
"66",305.4538997,30,27
"67",330.4817797,29.1,27.5
"68",465.3542445,29,27
"69",476.2881415,29,27
"70",483.3667339,27.85,27
"71",477.3625707,28,27
"72",450.9442529,28,27
"73",451.0706563,27.75,26.9
"74",430.7197034,28,27
"75",422.6930853,28,27
"76",417.384141,27.75,26.7
"77",411.5063813,27,26
"78",414.6664672,27,26
"79",428.4444416,26.9,26.05
"80",360.818604,27,26
"81",364.6107071,28,27
"82",385.6568789,29.75,27.1
"83",394.6947245,30,27
"84",398.8028361,31,27.5
"85",397.2859949,32.75,28
"86",391.5346387,33,29
"87",407.6510766,33,29
"88",410.684759,32.05,27.1
"89",403.6693684,32,27
"90",400.2564756,31,27
"91",393.1146816,29.8,26.15
"92",508.2682105,29,26
"93",519.2653093,28,26
"94",517.0532492,27.5,26.1
"95",498.535146,28,26
"96",478.5002017,27,25.5
"97",463.8374032,27,26
"98",440.5791713,27,26
"99",435.712639,27,26
"100",429.2028622,26.6,25
"101",420.6074286,27,26
"102",426.105978,26,25
"103",438.5567163,26.75,24.9
"104",380.9167501,27,25
"105",373.2693424,27,26
"106",395.2003383,28.85,26.05
"107",405.2494113,30,26
"108",403.9221752,30,26
"109",408.219892,31.2,26.15
"110",409.1679178,32,27
"111",420.9866389,33,27
"112",417.0049307,32,26.6
"113",417.826553,31,26
"114",411.569583,31,27
"115",399.8772653,29.8,26.85
"116",519.328511,29,27
"117",518.8228973,28,27
"118",521.350966,28,27
"119",503.1488714,28,27
"120",486.463618,28,26
"121",470.2207767,27.75,26.1
"122",448.0369739,28,26
"123",440.3895661,28,26
"124",427.9388278,27.15,26.1
"125",419.7226046,27,26
"126",421.6186561,27,26
"127",438.177506,26.9,25.9
"128",389.891394,27,26
"129",388.8169648,27,26
"130",401.0148962,29.2,26.325
"131",409.4839264,30,27
"132",410.3055487,31,26
"133",415.6144929,30.85,26.15
"134",405.9446302,31,26
"135",424.9683471,32,27
"136",437.5454888,32.1,26.8
"137",446.3305275,32,26
"138",420.3546217,31,26
"139",411.0639693,29,26.1
"140",522.0461849,29,26
"141",530.072803,28,26
"142",526.1542965,27.8,26.3
"143",520.908554,27.7333333333333,26.3
"144",497.0183048,27.6666666666667,26.3
"145",478.2473948,27.6,26.3
"146",443.2968451,27.5,26.2666666666667
"147",435.2070253,27.4,26.2333333333333
"148",428.6972484,27.3,26.2
"149",421.5554544,27.0666666666667,26.0666666666667
"150",419.4697977,26.8333333333333,25.9333333333333
"151",437.9246991,26.6,25.8
"152",376.1134196,26.8,25.9
"153",384.1400377,27,26
"154",405.5654199,28.05,25.95
"155",409.9895401,30,26
"156",423.0722956,31,26
"157",424.9683471,30.75,26.2
"158",420.3546217,32,26
"159",432.4893515,32,26
"160",446.9625447,31.85,25.85
"161",431.7309309,31,26
"162",415.6144929,31,26
"163",412.1383985,29.75,26
"164",526.5967085,29,26
"165",536.2033695,28,26
"166",529.8831978,27.85,26.1
"167",528.7455669,28,26
"168",505.1081246,28,26
"169",482.5451116,27.1,25.9
"170",463.6477981,27,26
"171",453.598725,27,26
"172",438.6831198,26.9,25.75
"173",434.7646133,27,26
"174",434.6382098,27,26
"175",451.9554804,26.9,25.75
"176",382.1807845,28,26
"177",385.7832824,28,26
"178",402.6581409,28.85,26.8
"179",411.0007676,31,27
"180",418.7745788,32,26
"181",430.8461068,31.75,25.9
"182",411.1903727,32,26
"183",427.7492227,32,26
"184",423.5147076,32,26.15
"185",419.0273857,31,26
"186",413.2760294,31,26
"187",400.6988877,29.2,26.1
"188",524.9534639,28,26.5
"189",533.2328888,28,26
"190",530.515215,28,26
"191",526.5967085,28,27
"192",504.349704,28,27
"193",473.1912574,27.8,26.9
"194",449.36421,28,27
"195",435.0174202,28,27
"196",426.8643986,27.3,26.6
"197",416.1201067,27,26
"198",417.4473427,27,26
"199",415.4248878,26.95,26.15
"200",384.5824497,27,26
"201",361.3242178,27,27
"202",356.3312821,28,26.95
"203",359.1121577,30,27
"204",359.2385611,31,29
"205",365.1795225,31.8,26.85
"206",360.7554023,32,27
"207",361.1978143,32,27
"208",356.7104924,32.05,27.1
"209",357.4057113,32,27
"210",353.5504066,31,26
"211",367.6443895,29.05,26.1
"212",495.8174722,29,26
"213",517.8116698,28,26.5
"214",515.2836011,28,26.25
"215",504.349704,28,26
"216",497.8399271,28,26
"217",417.9529565,27.2,26.5
"218",393.8099005,27.1,26.25
"219",383.8240291,27,26
"220",384.519248,26.8,26.1
"221",375.6710076,27,26
"222",386.6049047,26,25
"223",399.3084499,26,24.6
"224",361.0082092,26.3333333333333,25
"225",331.3034021,27.3333333333333,25.3333333333333
"226",316.1981916,27.85,25.95
"227",310.1940285,30,26
"228",311.3316594,31,26
"229",317.5254277,30.85,26.15
"230",323.5927926,32,27
"231",332.1882261,31,27
"232",324.3512132,24.75,23.875
"233",324.2880114,24.2,24
"234",343.2485266,25,24
"235",377.8830677,24.75,23.9
"236",467.0606908,25,25
"237",481.4706824,26,25
"238",474.8977038,25.8,24.85
"239",466.6182788,26,25
"240",444.3712743,26,25
"241",458.4652573,26.1,24.95
"242",438.4935146,26,25
"243",426.8011969,26,25
"244",422.756287,26.15,25.2
"245",418.5217719,26,25
"246",420.2282183,26,25
"247",434.164197,25.75,24.9
"248",360.376192,26,25
