"","MW","TEMP","DEW.POINT"
"1",325.8861518,26.5,23
"2",326.355535,26.25,22.775
"3",330.6232108,26,22.55
"4",326.1053918,25,22
"5",318.5761226,25,22
"6",312.0474228,25,22
"7",288.4894044,25,22
"8",283.5503103,26,17.5
"9",287.6150293,27.5,13.2
"10",287.8167895,30,5
"11",289.1554767,32,6
"12",290.7157441,33.5,3.6
"13",295.7496064,33.75,4.3
"14",308.3726817,34,5
"15",315.6161883,34,6
"16",314.5956073,33,9
"17",311.2224768,30,15.5
"18",317.1691343,30,16.7
"19",364.6872249,29,18.5
"20",387.3179888,28,18
"21",391.6710212,28,19
"22",384.4781185,27,18.5
"23",364.4534614,26,18
"24",342.3739048,26,16.5
"25",324.2143985,26,15
"26",310.3080911,25.5,14.5
"27",301.1265958,25,14
"28",294.5827663,24,15
"29",291.4086985,24,15
"30",294.8205787,24,14.9
"31",289.6801699,26,16
"32",300.4851376,29,13
"33",323.1539574,30,12.55
"34",342.8761079,32,11
"35",355.0876479,33,11
"36",324.5258355,33.25,9.6
"37",314.1200198,32.875,10.05
"38",332.6252959,32.5,10.5
"39",362.5949386,32.3333333333333,13.7333333333333
"40",367.636233,30,16
"41",362.4565207,29.375,17.875
"42",358.1189573,28.75,19.75
"43",392.7714674,27.875,19.875
"44",405.0360703,27,20
"45",402.4228825,27.5,21.4
"46",390.1029163,27,21
"47",366.8690294,26,20
"48",340.7121749,26,19.1
"49",318.9449434,26,18
"50",305.1695819,25,18
"51",297.1590636,26,17
"52",291.2250464,25,17
"53",289.3150222,24,17
"54",293.2990895,24.5,18.1
"55",291.2809801,25.25,17.55
"56",303.0356244,26,17
"57",315.2845633,29.25,17.2
"58",323.9232358,31,16
"59",351.1006405,32,17
"60",363.1692539,33,18
"61",370.7019124,31,18
"62",371.0645172,31,18.5
"63",372.0386039,31,19
"64",373.1595119,30,20
"65",363.4153124,30,19
"66",359.1484241,29,19
"67",389.5507801,28,22.5
"68",404.2833023,28.05,22.8
"69",404.5133335,28.1,23.1
"70",396.5896148,27,24
"71",379.2744395,26.5,23.5
"72",352.2858198,26,23
"73",331.739233,26,23
"74",314.7082377,25,23
"75",304.2541118,25.4,22.95
"76",298.3179349,25.2,22.475
"77",294.7012946,25,22
"78",299.4469823,25,22
"79",293.9053387,25.5,22
"80",309.6250335,26,22
"81",331.7986903,27.5,22
"82",353.2294191,29.25,21
"83",369.9979099,31,20
"84",378.1544618,32,17
"85",377.0992838,33,16
"86",374.5855053,31,21
"87",389.0172031,30.75,21.25
"88",391.3050378,30.5,21.5
"89",383.2704196,29.75,22.5
"90",374.6825868,29,23.5
"91",397.3934429,29,23.75
"92",415.1047631,29,24
"93",417.594821,28,25
"94",408.9567675,27,24
"95",386.9926067,27,24
"96",366.6279347,26,24
"97",343.0099692,26,24
"98",326.9839106,25,24
"99",317.4745367,25,23
"100",307.0028846,24,23
"101",298.890018,24,22
"102",297.2010228,23,21
"103",276.9677739,23,21
"104",285.8118567,24,22
"105",301.549294,29.5,12
"106",314.5315672,32,7
"107",322.2196534,33,6
"108",323.3011731,33.75,4.5
"109",326.4581034,33.375,6.5
"110",328.3853899,33,8.5
"111",324.6354874,32.9,9.85
