"","MW","TEMP","DEW.POINT"
"1",804.6,10,9
"2",814.32,7,5
"3",794.88,8,5
"4",797.58,7,5
"5",832.68,7,5
"6",818.64,8,5
"7",843.48,8,6
"8",818.1,7,6
"9",818.1,7,4
"10",837,7,5
"11",846.72,7,5
"12",821.34,6,3
"13",808.38,8,-1
"14",817.02,5,-2
"15",803.52,7,1
"16",799.2,7,5
"17",834.3,7,3
"18",829.44,7,-1
"19",804.6,6,4
"20",805.14,7,1
"21",818.1,7,-1
"22",781.38,8,-2
"23",771.66,6,-2
"24",799.2,8,-3
"25",804.6,7,1
"26",779.22,8,4
"27",801.36,8,4
"28",808.92,10,6
"29",761.4,11,3
"30",774.36,11,7
"31",775.44,7,6
"32",736.7,7,4
"33",792.35,5,4
"34",776.45,2,-1
"35",800.83,7,5
"36",803.48,8,7
"37",781.75,5,4
"38",791.29,7,5
"39",770.62,9,7
"40",781.75,5,2
"41",784.93,8,6
"42",804.54,8,6
"43",816.2,6,2
"44",787.58,6,4
"45",776.98,6,5
"46",815.14,10,3
"47",766.91,12,6
"48",761.08,10,7
"49",820.44,6,4
"50",758.43,13,4
"51",722.92,11,-1
"52",751.01,9,7
"53",782.28,8,4
"54",776.45,10,4
"55",762.14,11,2
"56",736.17,12,3
"57",721.33,8,2
"58",772.74,8,3
"59",764.26,7,2
"60",706,8,5
"61",704.5,8,5
"62",701,8,4
"63",675,11,2
"64",660.5,11,3
"65",678.5,11,5
"66",675.5,15,2
"67",675,10,5
"68",686,9,2
"69",708.5,6,2
"70",740.5,5,3
"71",714,5,2
"72",709.5,5,3
"73",703.5,5,-4
"74",695,6,3
"75",714.5,10,-12
"76",697.5,11,-8
"77",708,12,-12
"78",646,14,-5
"79",671,14,3
"80",659.5,17,5
"81",654,11,6
"82",654,10,6
"83",726,9,6
"84",699.5,5,3
"85",689,7,4
"86",715,8,5
"87",691,9,5
"88",688,8,5
"89",694.5,10,6
"90",676,13,4
"91",708.96,16,2
"92",660.96,18,3
"93",687.84,15,5
"94",672.48,12,8
"95",679.68,9,6
"96",687.84,9,7
"97",713.28,9,8
"98",692.16,11,8
"99",685.44,11,7
"100",705.6,12,8
"101",678.24,12,6
"102",684.48,11,6
"103",697.92,9,4
"104",701.76,9,6
"105",684.96,13,4
"106",643.68,15,2
"107",690.24,17,5
"108",658.08,23,-6
"109",686.88,21,-6
"110",678.72,10,6
"111",691.2,10,8
"112",694.56,10,6
"113",681.6,9,6
"114",693.12,10,8
"115",670.56,10,5
"116",683.04,10,5
"117",680.64,13,4
"118",687.36,19,4
"119",669.6,13,11
"120",657.12,13,11
"121",684.5,12,10
"122",700.5,13,5
"123",698.5,16,2
"124",710.5,15,9
"125",700,21,7
"126",714.5,20,10
"127",691,14,10
"128",722.5,12,9
"129",707,13.4,7.8
"130",702,15,8
"131",719.5,14,3
"132",719.5,18,2
"133",704.5,13,6
"134",681,11,6
"135",683,11,6
"136",720,13,8
"137",714.5,21,0
"138",705.5,21,4
"139",728.5,17,6
"140",739,17,1
"141",746,19,4
"142",748.5,16,-4
"143",721.5,17,5
"144",723,17,5
"145",738.5,18,6
"146",711.5,20,6
"147",774,23,5
"148",760,23,9
"149",786.5,19,5
"150",760,16,8
"151",755.5,20,4
"152",798.2,17.5,5
"153",770.64,15,10
"154",763.88,16.65,5.5
"155",770.64,20,5
"156",814.84,21,6
"157",777.4,18.5,7.5
"158",822.12,18,12
"159",839.8,21,9
"160",809.64,22,8
"161",859.56,24,7
"162",856.96,23,7
"163",849.68,18,14
"164",820.56,17,13
"165",825.24,16,12
"166",841.88,18.3333333333333,13
"167",864.24,20,11
"168",858.52,21.6,-1.4
"169",835.64,16,12
"170",843.96,17,12
"171",874.12,19,2
"172",849.16,19,10
"173",890.76,22,10
"174",892.84,23,7
"175",874.12,23,4
"176",888.68,23,2
"177",908.96,22,2
"178",905.84,20,8
"179",895.44,19,9
"180",878.8,18,13
"181",865.28,16,11
"182",874.8,17,12.05
"183",855.9,18,6
"184",894.24,22,3
"185",902.34,22,5
"186",897.48,19,0
"187",943.38,21,4
"188",950.94,22,1
"189",957.42,22,3
"190",1026.54,26,7
"191",1107.54,27,12
"192",1068.12,25,4
"193",1061.64,25,4
"194",1030.32,24,1
"195",1027.08,24,2
"196",987.12,23,2
"197",961.74,24,5
"198",1000.08,24,6
"199",1010.88,23,7
"200",1007.1,24,9
"201",1014.12,25,4
"202",1004.4,26,5
"203",1021.68,26,4
"204",1007.64,20,14
"205",975.78,20,11
"206",1038.42,24,14
"207",1047.6,24,8
"208",1068.66,26,5
"209",1044.36,24,8
"210",1045.44,23,11
"211",1115.64,26,11
"212",1131.84,28,9
"213",1127.52,27,4
"214",1134.54,24,8
"215",1096.74,22,14
"216",1076.76,22,4
"217",1096.2,21,6
"218",1013.04,23,10
"219",1080.54,23,8
"220",1088.64,24,5
"221",1096.74,22,11
"222",1070.82,23,12
"223",1062.18,24,6
"224",1072.98,23,5
"225",1023.84,20,15
"226",1053,19,13
"227",1099.98,20,16
"228",1087.56,21,9
"229",1104.84,20,14
"230",1102.14,21,11
"231",1070.28,20,14
"232",1054.08,23,7
"233",1118.34,23,7
"234",1138.32,22,12
"235",1147.5,24,8
"236",1140.48,23,7
"237",1123.2,23,9
"238",1103.22,24,2
"239",1114.02,23,5
"240",1142.64,26,17
"241",1098.9,20,14.5
"242",1070.82,19,16
"243",881.28,19,15
"244",836.16,20,16
"245",828.88,19,15
"246",838.76,18,13
"247",877.24,22,8
"248",878.8,22,9
"249",925.08,22,13
"250",894.4,23,5
"251",906.88,21,6
"252",893.88,19,12
"253",860.6,19,15
"254",871,20,12
"255",921.96,22,9
"256",898.04,24,7
"257",859.04,21,2
"258",851.76,19,5
"259",867.36,20,3.95
"260",855.92,20,9
"261",874.12,20,4
"262",889.2,23,9
"263",850.72,18,14
"264",868.4,19,14
"265",871.52,21,15
"266",866.32,22,-3
"267",851.24,19,14
"268",813.8,19,13
"269",827.84,19,12
"270",826.28,20,13
"271",837.72,19,14
"272",843.96,22,14
"273",824.2,18,14
"274",712.95,18,14
"275",733.04,16,9
"276",747.74,18,10
"277",721.77,18,9
"278",734.02,17,10
"279",736.96,17,14
"280",728.14,17,12
"281",698.25,16,12
"282",705.6,17,10
"283",724.71,19,6
"284",759.99,23,3
"285",784.49,19,16
"286",740.39,16,12
"287",732.55,15,9
"288",719.81,17,9
"289",739.9,16,11
"290",718.34,16,13
"291",708.54,15,12
"292",698.74,17,12
"293",708.05,11,8
"294",682.57,14,-2
"295",660.52,17,-3
"296",680.61,17,7
"297",702.66,15,12
"298",709.52,16,12
"299",684.53,16,10
"300",697.76,14,11
"301",644.35,14,10
"302",640.92,12,6
"303",658.07,11,6
"304",666.89,12,9
"305",671.04,11,3
"306",696.96,12,3
"307",684.48,11,3
"308",679.68,14,11
"309",665.28,9,5
"310",718.56,10,7
"311",613.44,11,7
"312",649.92,11,8
"313",644.64,9,2
"314",665.28,9,-5
"315",679.2,10,-8
"316",644.16,13,-3
"317",661.92,9,-4
"318",675.84,9,0
"319",677.28,9,6
"320",692.64,9,1
"321",686.88,11,10
"322",702.24,11,8
"323",694.08,10,8
"324",680.16,9,6
"325",688.32,9,8
"326",704.16,6,4
"327",703.2,7,2
"328",708,9,6
"329",742.56,9,5
"330",706.56,5,-6
"331",711.36,6,-1
"332",719.52,4,-4
"333",722.4,4,-6
"334",726.72,5,-7
"335",780.3,6,-5
"336",817.53,5,-4
"337",777.24,5,-6
"338",759.9,5,-7
"339",767.04,8,-10
"340",780.81,5,-11
"341",767.04,5,-7
"342",767.04,6,-11
"343",771.12,9,5
"344",750.72,7,2
"345",788.97,4,1
"346",794.07,7,-5
"347",746.64,5,-3
"348",758.88,7,-2
"349",775.2,10,-1
"350",798.66,7,3
"351",753.27,8,5
"352",758.88,7,4
"353",736.44,8,-4
"354",754.29,10,-5
"355",753.78,10,1
"356",749.7,9,8
"357",799.17,9.5,6.36666666666667
"358",742.05,8,1
"359",791.01,8,6
"360",779.79,9,7
"361",783.87,5,3
"362",784.89,4,3
"363",801.21,5,0
"364",820.59,7,-2
"365",795.6,10,7
"366",867.24,7,3
"367",824.04,8,5
"368",834.84,7,5
"369",834.84,5,4
"370",872.1,8,0
"371",859.14,7,5
"372",853.74,4,0
"373",856.98,6,1
"374",860.76,7.13333333333333,-0.4
"375",891,5,0
"376",869.94,6,1
"377",866.7,6,3
"378",904.5,5,0
"379",848.34,5,4
"380",906.66,5,2
"381",901.8,4.13333333333333,1.7
"382",919.62,6,0
"383",898.56,5,2
"384",905.04,6,3
"385",890.46,3,-1
"386",899.1,3,0
"387",920.16,4,1
"388",889.92,5.2,4
"389",909.36,6,4
"390",919.08,9,3
"391",892.62,8,3
"392",877.5,8,4
"393",869.94,6,4
"394",881.82,5,4
"395",896.4,7,0
"396",866.16,10,5
"397",844.29,7,6
"398",833.69,6,4
"399",862.31,3,1
"400",848,7,-1
"401",859.13,3,-5
"402",871.32,7,-5
"403",829.45,11,-1
"404",850.65,5,1
"405",870.79,3,0
"406",879.27,6,1
"407",859.13,6,5
"408",845.35,6,2
"409",841.64,8.2,-2.1
"410",792.35,10,1
"411",823.09,12,1
"412",799.24,8,5
"413",849.06,7,3
"414",818.32,3,2
"415",846.94,4,1
"416",847.47,2,0
"417",837.4,3,-6
"418",843.76,4,-4
"419",834.75,7,-8
"420",826.27,8,-1
"421",809.84,7,3
"422",811.43,8,6
"423",821.5,6,4
"424",797.65,7,3
"425",791.29,6,5
"426",750,4,1
"427",770,4,2
"428",755,2,2
"429",786,6,5
"430",786.5,6.6,4.06666666666667
"431",786,6,3
"432",749,7,3
"433",754.5,9,3
"434",763,8,4
"435",714,10,2
"436",711.5,10,3
"437",704,13,0
"438",709.5,10,4
"439",716,11,5
"440",763.5,7,4
"441",748,7,4
"442",744.5,2,1
"443",776,1,-1
"444",791.5,3,-11
"445",785,5,-9
"446",786,7,-5
"447",759.5,8,-6
"448",765.5,9,1
"449",720,10,1
"450",721.5,13,-7
"451",698.5,12.9333333333333,6.5
"452",722,9,5
"453",735.5,8,6
"454",754,7,4
"455",842.5,7,4
"456",778,7,1
"457",754.56,10,2
"458",716.64,16,2
"459",711.84,10,4
"460",704.64,12,6
"461",677.28,15,1
"462",692.64,16,3
"463",659.04,17,2
"464",679.2,18,4
"465",706.56,17,5.93333333333333
"466",686.88,15,-2
"467",708.96,13,2
"468",685.92,10,1
"469",699.84,9,5
"470",691.2,15,0
"471",691.68,16,4
"472",701.76,16,8
"473",674.88,10,-7
"474",676.32,15,0
"475",694.08,11,7
"476",692.16,10,4
"477",684,13,5
"478",686.88,12.5,3
"479",672,14,-6
"480",691.68,14,0
"481",700.8,14,6
"482",717.12,17,0
"483",681.6,17,0
"484",671.04,17,-2
"485",705.12,19,7
