"","MW","TEMP","DEW.POINT"
"1",34.941,23.8,15
"2",34.941,23.8,15
"3",34.9,24,15
"4",34.9,24,15
"5",33.607,24,15
"6",33.607,24,15
"7",32.207,23.7,16.3
"8",32.207,23.7,16.3
"9",31.695,23,16
"10",31.695,23,16
"11",31.191,24,16
"12",31.191,24,16
"13",31.114,23.6,16.7
"14",31.114,23.6,16.7
"15",29.997,24,17
"16",29.997,24,17
"17",31.268,23,17
"18",31.268,23,17
"19",32.88,23.2,17.3
"20",32.88,23.2,17.3
"21",33.688,23,17
"22",33.688,23,17
"23",35.091,23,19
"24",35.29,23,19
"25",34.59,24,18.3
"26",34.497,24,18.3
"27",34.798,25,19
"28",35.103,25,19
"29",34.709,25,18
"30",34.908,25,18
"31",34.901,26.4,18.2
"32",34.901,26.4,18.2
"33",34.007,27,19
"34",34.007,27,19
"35",33.701,27,19
"36",33.701,27,19
"37",38.964,26.6,18.7
"38",40.688,26.6,18.7
"39",40.685,25,19
"40",40.689,25,19
"41",40.3,25,18
"42",39.977,25,18
"43",38.878,24.4,17.6
"44",38.878,24.4,17.6
"45",38.168,24,18
"46",38.168,24,18
"47",35.636,24,18
"48",35.636,24,18
"49",35.636,24.2,18.1
"50",35.636,24.2,18.1
"51",32.903,24,18
"52",32.903,24,18
"53",31.9,24,18
"54",31.9,24,18
"55",30.891,24,18
"56",30.891,24,18
"57",30.694,24,18
"58",30.694,24,18
"59",31.69,24,19
"60",31.69,24,19
"61",31.315,23.8,18.6
"62",31.315,23.8,18.6
"63",30.397,24,19
"64",30.397,24,19
"65",32.319,24,19
"66",32.319,24,19
"67",33.426,23,20
"68",33.426,23,20
"69",33.598,24,20
"70",33.598,24,20
"71",33.989,24,20
"72",33.395,24,20
"73",34.396,24.4,19.8
"74",34.899,24.4,19.8
"75",34.71,25,20
"76",34.512,25,20
"77",34.498,25,19
"78",34.887,25,19
"79",34.892,24.8,18.9
"80",34.892,24.8,18.9
"81",34.596,27,21
"82",34.596,27,21
"83",34.904,27,19
"84",34.904,27,19
"85",39.636,25.9,19.7
"86",41.696,25.9,19.7
"87",41.082,26,20
"88",40.987,26,20
"89",40.979,26,19
"90",39.781,26,19
"91",39.478,25.2,18.9
"92",39.478,25.2,18.9
"93",37.48,25,19
"94",37.48,25,19
"95",36.245,25,18
"96",36.245,25,18
"97",36.245,24.4,18.5
"98",33.102,24.4,18.5
"99",33.102,25,17
"100",33.102,25,17
"101",31.997,25,18
"102",31.997,25,18
"103",31.205,24.5,17.7
"104",31.205,24.5,17.7
"105",31.39,25,18
"106",31.39,25,18
"107",31.6,25,19
"108",31.6,25,19
"109",32.815,24.5,17.9
"110",32.815,24.5,17.9
"111",32.035,24,18
"112",32.035,24,18
"113",37.323,24,18
"114",37.323,24,18
"115",40.815,24.4,18.5
"116",40.815,24.4,18.5
"117",41.688,25,18
"118",41.688,25,18
"119",41.788,24,19
"120",41.696,24,19
"121",41.289,24.5,19.2
"122",40.919,24.5,19.2
"123",40.808,24,20
"124",40.019,24,20
"125",40.717,25,20
"126",41.6,25,20
"127",41.106,25.6,19.5
"128",41.106,25.6,19.5
"129",39.1,26,19
"130",39.1,26,19
"131",38.4,27,19
"132",38.4,27,19
"133",42,26.4,19
"134",44.1,26.4,19
"135",44.4,26,19
"136",44,26,19
"137",43.5,25.5,19.15
"138",42.2,25.5,19.15
"139",42.2,25,19.3
"140",42.2,25,19.3
"141",39.4,25,19
"142",39.4,25,19
"143",37.7,25,20
"144",37.7,25,20
"145",35.3,24.9,19.5
"146",35.3,24.9,19.5
"147",33.8,25,20
"148",33.8,25,20
"149",31.9,23,21
"150",31.9,23,21
"151",32.2,22.8,20.6
"152",32.2,22.8,20.6
"153",32,23,21
"154",32,23,21
"155",32.2,23,21
"156",32.2,23,21
"157",33.6,23,21.3
"158",33.6,23,21.3
"159",35.8,23,21
"160",35.8,23,21
"161",37.3,23,21
"162",37.3,23,21
"163",39.827,23.1,20.7
"164",39.827,23.1,20.7
"165",41.619,24,20
"166",41.619,24,20
"167",41.802,24,20
"168",41.921,24,20
"169",41.6,24,20.3
"170",41.6,24,20.3
"171",41.6,25,20
"172",41.6,25,20
"173",41.6,25,20
"174",41.6,25,20
"175",42,25.4,20.1
"176",41.6,25.4,20.1
"177",40.2,27,21
"178",40.2,27,21
"179",38.4,25,20
"180",38.4,25,20
"181",42.7,25.8,20.3
"182",38.5,25.8,20.3
"183",39.9,26,21
"184",42.9,26,21
"185",42.4,25,21
"186",42,25,21
"187",42,25.5,21
"188",29.3,25.5,21
"189",38.5,25,21
"190",38.5,25,21
"191",37.9,24,22
"192",37.9,24,22
"193",34.4,24.5,21.5
"194",34.4,24.5,21.5
"195",33.3,25,21
"196",33.3,25,21
"197",32.1,25,20
"198",32.1,25,20
"199",31.6,24.8,20.9
"200",31.6,24.8,20.9
"201",32,25,21
"202",32,25,21
"203",31.6,25,20
"204",31.6,25,20
"205",32.9,24.9,20.3
"206",32.9,24.9,20.3
"207",35.7,25,20
"208",35.7,25,20
"209",36,25,20
"210",36,25,20
"211",39.6,24.7,19.8
"212",39.6,24.7,19.8
"213",39.3,25,20
"214",39.3,25,20
"215",41.8,25,20
"216",41.8,25,20
"217",42.4,24.9,20
"218",41.9,24.9,20
"219",42.1,25,20
"220",41.6,25,20
"221",41.5,26,21
"222",41.5,26,21
"223",40.7,26.9,20.1
"224",40.7,26.9,20.1
"225",39.9,27,21
"226",39.9,27,21
"227",38,27,21
"228",38,27,21
"229",42,26,20
"230",43.8,26,20
"231",43.2,26,21
"232",43.2,26,21
"233",42.4,26,21
"234",42.1,26,21
"235",40.9,25.3,20.6
"236",40.9,25.3,20.6
"237",39.1,25,21
"238",39.1,25,21
"239",36.6,25,21
"240",36.6,25,21
"241",34,24.7,20.5
"242",34,24.7,20.5
"243",33,25,21
"244",33,25,21
"245",32.1,25,21
"246",32.1,25,21
"247",29,24.9,20.3
"248",29,24.9,20.3
"249",30.1,25,20
"250",30.1,25,20
"251",30.2,24.7,20
"252",30.2,24.7,20
"253",32.7,24.4,20
"254",32.7,24.4,20
"255",34.4,24.2,19.5
"256",34.4,24.2,19.5
"257",37.4,24,19
"258",37.4,24,19
"259",40.3,24.5,19.5
"260",40.3,24.5,19.5
"261",40.3,25,20
"262",40.3,25,20
"263",41,24,20
"264",41.8,24,20
"265",42.1,25.1,20.3
"266",41.7,25.1,20.3
"267",42.4,26,20
"268",49.5,26,20
"269",42.8,27,21
"270",42.7,27,21
"271",42.2,27,21
"272",42.2,27,21
"273",40,27,21
"274",40,27,21
"275",39.9,27,21
"276",39.9,27,21
"277",41.1,26.9,20.4
"278",45.3,26.9,20.4
"279",45.3,27,21
"280",44.9,27,21
"281",44.4,26,21
"282",44.4,26,21
"283",43,25.4,21.1
"284",44.4,25.4,21.1
"285",39.1,25,21
"286",39.1,25,21
"287",36.6,25,21
"288",36.6,25,21
"289",34,24.8,21.5
"290",34,24.8,21.5
"291",33,25,22
"292",33,25,22
"293",32.1,25,22
"294",32.1,25,22
"295",29,24.7,21.6
"296",29,24.7,21.6
"297",30.1,25,22
"298",30.1,25,22
"299",30.2,25,22
"300",30.2,25,22
"301",32.7,24.7,22
"302",32.7,24.7,22
"303",34.4,25,22
"304",34.4,25,22
"305",37.4,25,22
"306",37.4,25,22
"307",40.6,24.6,22.1
"308",40.6,24.6,22.1
"309",43.8,25,22
"310",43.8,25,22
"311",43.5,25,22
"312",45.1,25,22
"313",45.4,26.1,22.6
"314",45,26.1,22.6
"315",45.7,27,23
"316",45.8,27,23
"317",46,27,22
"318",44.9,27,22
"319",43.6,27.7,22.6
"320",43.6,27.7,22.6
"321",43,28,22
"322",43,28,22
"323",40.6,29,23
"324",40.6,29,23
"325",42.9,28.6,21.5
"326",46.6,28.6,21.5
"327",45.8,28,22
"328",45.7,28,22
"329",44,28,22
"330",43.6,28,22
"331",43,26.7,21.5
"332",43,26.7,21.5
"333",43,25,22
"334",43,25,22
"335",43,24,22
"336",43,24,22
"337",37.3,23.7,21.6
"338",37.3,23.7,21.6
"339",34.6,24,21
"340",34.6,24,21
"341",33.5,23,21
"342",33.5,23,21
"343",33.3,23.3,21.2
"344",33.3,23.3,21.2
"345",32.8,23,21
"346",32.8,23,21
"347",32.8,24,22
"348",32.8,24,22
"349",32.8,24.4,21.9
"350",32.8,24.4,21.9
"351",32,24,22
"352",32,24,22
"353",34,24,22
"354",34,24,22
"355",38.1,24.3,21.8
"356",38.1,24.3,21.8
"357",39.5,24,22
"358",39.5,24,22
"359",39.8,23,22
"360",39.7,23,22
"361",39.8,24.7,22.8
"362",39.8,24.7,22.8
"363",39.9,26,22
"364",39.9,26,22
"365",39.8,27,22
"366",39.5,27,22
"367",39.6,27.5,21.5
"368",39.6,27.5,21.5
"369",38.6,28,22
"370",38.6,28,22
"371",37.9,27,21
"372",37.9,27,21
"373",43.9,26.8,21.5
"374",39.6,26.8,21.5
"375",44.3,27,22
"376",44.2,27,22
"377",44,26,21
"378",43.4,26,21
"379",42.8,25.9,21.1
"380",42.8,25.9,21.1
"381",41.5,25,21
"382",41.5,25,21
"383",39.7,25,21
"384",39.7,25,21
"385",39.7,25,21
"386",36.5,25,21
"387",35.4,25,21
"388",35.4,25,21
"389",34.2,25,22
"390",34.2,25,22
"391",33.7,25.025,21.875
"392",33.7,25.025,21.875
"393",33.2,25.05,21.75
"394",33.2,25.05,21.75
"395",33.3,25.075,21.625
"396",33.3,25.075,21.625
"397",33.2,25.1,21.5
"398",33.2,25.1,21.5
"399",32.6,25,21
"400",32.6,25,21
"401",33.6,25,21
"402",33.6,25,21
"403",34.7,24.9,21
"404",34.7,24.9,21
"405",35.4,25,21
"406",35.4,25,21
"407",36,25,21
"408",36.4,25,21
"409",35.9,25.6,21.5
"410",37.3,25.6,21.5
"411",36.9,26,22
"412",36.6,26,22
"413",36.9,28,22
"414",36.5,28,22
"415",36.6,28,22.8
"416",36.6,28,22.8
"417",36.3,27,22
"418",36.3,27,22
"419",36,27,22
"420",36,27,22
"421",40.9,26.9,22
"422",44,26.9,22
"423",43.7,28,22
"424",43.6,28,22
"425",42.8,26,21
"426",42.8,26,21
