"","MW","TEMP","DEW.POINT"
"1",118.3032,19.8,18.8
"2",120.9388,19.8,18.8
"3",122.5568,19.8,18.8
"4",121.4264,19.8,18.8
"5",119.7636,20.2,18.8
"6",119.8864,20.2,18.8
"7",116.8284,20.2,18.8
"8",117.6088,20.2,18.8
"9",114.292,20.6,18.8
"10",115.1876,20.6,18.8
"11",115.6496,20.6,18.8
"12",116.7912,20.6,18.8
"13",116.5668,21,18.8
"14",116.052,21,18.8
"15",115.9556,21,18.8
"16",112.2492,21,18.8
"17",115.3364,23.46666667,19.36666667
"18",117.396,23.46666667,19.36666667
"19",120.3908,23.46666667,19.36666667
"20",121.3348,23.46666667,19.36666667
"21",121.8852,25.93333333,19.93333333
"22",126.9732,25.93333333,19.93333333
"23",131.9692,25.93333333,19.93333333
"24",134.7312,25.93333333,19.93333333
"25",141.8612,28.4,20.5
"26",149.9376,28.4,20.5
"27",156.8004,28.4,20.5
"28",160.8588,28.4,20.5
"29",166.0116,29.06666667,20.6
"30",169.1172,29.06666667,20.6
"31",172.4888,29.06666667,20.6
"32",170.5628,29.06666667,20.6
"33",170.4076,29.73333333,20.7
"34",176.9576,29.73333333,20.7
"35",178.6552,29.73333333,20.7
"36",182.7776,29.73333333,20.7
"37",179.5416,30.4,20.8
"38",175.85,30.4,20.8
"39",175.3876,30.4,20.8
"40",169.762,30.4,20.8
"41",172.8268,30.13333333,20.6
"42",177.6944,30.13333333,20.6
"43",180.4796,30.13333333,20.6
"44",184.7828,30.13333333,20.6
"45",186.5868,29.86666667,20.4
"46",186.8756,29.86666667,20.4
"47",186.7008,29.86666667,20.4
"48",187.6248,29.86666667,20.4
"49",184.7156,29.6,20.2
"50",181.566,29.6,20.2
"51",181.8704,29.6,20.2
"52",186.608,29.6,20.2
"53",186.3016,28.66666667,20.21666667
"54",184.4136,28.66666667,20.21666667
"55",186.0176,28.66666667,20.21666667
"56",187.7352,28.66666667,20.21666667
"57",183.2024,27.73333333,20.23333333
"58",164.4436,27.73333333,20.23333333
"59",166.5916,27.73333333,20.23333333
"60",179.636,27.73333333,20.23333333
"61",180.8588,26.8,20.25
"62",180.4136,26.8,20.25
"63",179.6604,26.8,20.25
"64",169.5388,26.8,20.25
"65",167.348,25.86666667,20.26666667
"66",170.0764,25.86666667,20.26666667
"67",176.5808,25.86666667,20.26666667
"68",178.6836,25.86666667,20.26666667
"69",181.4908,24.93333333,20.28333333
"70",181.79,24.93333333,20.28333333
"71",182.866,24.93333333,20.28333333
"72",184.7892,24.93333333,20.28333333
"73",185.1388,24,20.3
"74",184.1572,24,20.3
"75",193.8068,24,20.3
"76",200.2592,24,20.3
"77",207.0016,23.4,20.1
"78",206.3676,23.4,20.1
"79",200.8312,23.4,20.1
"80",203.1604,23.4,20.1
"81",199.9288,22.8,19.9
"82",199.7016,22.8,19.9
"83",196.5416,22.8,19.9
"84",193.5668,22.8,19.9
"85",186.708,22.2,19.7
"86",176.8104,22.2,19.7
"87",176.5752,22.2,19.7
"88",172.7572,22.2,19.7
"89",161.5676,21.66666667,19.5
"90",158.8,21.66666667,19.5
"91",155.2084,21.66666667,19.5
"92",151.2508,21.66666667,19.5
"93",144.6112,21.13333333,19.3
"94",141.7932,21.13333333,19.3
"95",131.4832,21.13333333,19.3
"96",128.182,21.13333333,19.3
"97",125.8128,20.6,19.1
"98",124.482,20.6,19.1
"99",126.4932,20.6,19.1
"100",124.1956,20.6,19.1
"101",125.0572,21.4,19.26666667
"102",125.454,21.4,19.26666667
"103",122.9368,21.4,19.26666667
"104",123.0304,21.4,19.26666667
"105",120.6636,22.2,19.43333333
"106",119.2868,22.2,19.43333333
"107",120.6476,22.2,19.43333333
"108",120.1568,22.2,19.43333333
"109",119.568,23,19.6
"110",119.9268,23,19.6
"111",119.9764,23,19.6
"112",120.8396,23,19.6
"113",119.21,24.93333333,20.3
"114",117.2316,24.93333333,20.3
"115",123.808,24.93333333,20.3
"116",127.3256,24.93333333,20.3
"117",131.502,26.86666667,21
"118",133.1836,26.86666667,21
"119",135.104,26.86666667,21
"120",140.9212,26.86666667,21
"121",147.096,28.8,21.7
"122",151.2928,28.8,21.7
"123",159.1636,28.8,21.7
"124",160.5544,28.8,21.7
"125",168.8484,29.53333333,21.86666667
"126",169.4284,29.53333333,21.86666667
"127",172.6132,29.53333333,21.86666667
"128",169.2308,29.53333333,21.86666667
"129",172.99,30.26666667,22.03333333
"130",183.4364,30.26666667,22.03333333
"131",185.7924,30.26666667,22.03333333
"132",186.2072,30.26666667,22.03333333
"133",183.5948,31,22.2
"134",185.5444,31,22.2
"135",184.4268,31,22.2
"136",185.3312,31,22.2
"137",186.484,30.6,22.3
"138",186.3828,30.6,22.3
"139",187.7388,30.6,22.3
"140",189.9936,30.6,22.3
"141",191.4736,30.2,22.4
"142",191.5004,30.2,22.4
"143",189.076,30.2,22.4
"144",185.6944,30.2,22.4
"145",187.8112,29.8,22.5
"146",190.1288,29.8,22.5
"147",194.8472,29.8,22.5
"148",195.0244,29.8,22.5
"149",194.904,28.43333333,22.63333333
"150",196.6408,28.43333333,22.63333333
"151",198.2592,28.43333333,22.63333333
"152",196.8356,28.43333333,22.63333333
"153",193.6564,27.06666667,22.76666667
"154",189.7712,27.06666667,22.76666667
"155",192.6724,27.06666667,22.76666667
"156",192.1156,27.06666667,22.76666667
"157",192.4456,25.7,22.9
"158",184.1776,25.7,22.9
"159",187.1308,25.7,22.9
"160",187.702,25.7,22.9
"161",192.1556,23.26666667,21.4
"162",191.876,23.26666667,21.4
"163",189.802,23.26666667,21.4
"164",189.0492,23.26666667,21.4
"165",189.7992,20.83333333,19.9
"166",190.3628,20.83333333,19.9
"167",188.4656,20.83333333,19.9
"168",185.558,20.83333333,19.9
"169",183.6376,18.4,18.4
"170",186.1232,18.4,18.4
"171",192.0968,18.4,18.4
"172",198.112,18.4,18.4
"173",203.1552,18.4,17.13333333
"174",208.9096,18.4,17.13333333
"175",207.9268,18.4,17.13333333
"176",205.0076,18.4,17.13333333
"177",201.4988,18.4,15.86666667
"178",201.3812,18.4,15.86666667
"179",204.8392,18.4,15.86666667
"180",201.0852,18.4,15.86666667
"181",194.5556,18.4,14.6
"182",189.656,18.4,14.6
"183",178.5792,18.4,14.6
"184",174.7148,18.4,14.6
"185",124.5684,17.83333333,14.56666667
"186",70.3096,17.83333333,14.56666667
"187",62.1764,17.83333333,14.56666667
"188",61.2152,17.83333333,14.56666667
"189",70.8024,17.26666667,14.53333333
"190",77.0824,17.26666667,14.53333333
"191",77.5168,17.26666667,14.53333333
"192",77.8152,17.26666667,14.53333333
"193",74.8968,16.7,14.5
"194",76.6416,16.7,14.5
"195",74.0036,16.7,14.5
"196",75.5384,16.7,14.5
"197",77.532,17.73333333,14.7
"198",81.694,17.73333333,14.7
"199",82.092,17.73333333,14.7
"200",75.712,17.73333333,14.7
"201",81.3728,18.76666667,14.9
"202",84.8916,18.76666667,14.9
"203",87.888,18.76666667,14.9
"204",87.4744,18.76666667,14.9
"205",85.7616,19.8,15.1
"206",86.3824,19.8,15.1
"207",91.1632,19.8,15.1
"208",92.33,19.8,15.1
"209",91.6848,22.06666667,16.33333333
"210",94.8792,22.06666667,16.33333333
"211",96.6768,22.06666667,16.33333333
"212",98.0104,22.06666667,16.33333333
"213",102.2436,24.33333333,17.56666667
"214",105.1992,24.33333333,17.56666667
"215",108.504,24.33333333,17.56666667
"216",106.4588,24.33333333,17.56666667
"217",112.0264,26.6,18.8
"218",128.364,26.6,18.8
"219",134.1888,26.6,18.8
"220",139.012,26.6,18.8
"221",142.122,27.6,18.93333333
"222",145.8488,27.6,18.93333333
"223",150.2916,27.6,18.93333333
"224",152.506,27.6,18.93333333
"225",157.286,28.6,19.06666667
"226",160.4036,28.6,19.06666667
"227",161.0124,28.6,19.06666667
"228",162.228,28.6,19.06666667
"229",163.8816,29.6,19.2
"230",164.0284,29.6,19.2
"231",163.7568,29.6,19.2
"232",162.4708,29.6,19.2
"233",166.5336,29.4,19.43333333
"234",172.0792,29.4,19.43333333
"235",177.594,29.4,19.43333333
"236",180.5352,29.4,19.43333333
"237",181.4624,29.2,19.66666667
"238",178.3036,29.2,19.66666667
"239",182.1404,29.2,19.66666667
"240",183.9132,29.2,19.66666667
"241",180.9268,29,19.9
"242",182.3436,29,19.9
"243",184.1032,29,19.9
"244",185.362,29,19.9
"245",186.0732,27,19.9
"246",189.1972,27,19.9
"247",191.6184,27,19.9
"248",187.7392,27,19.9
"249",179.6556,25,19.9
"250",172.1888,25,19.9
"251",175.1476,25,19.9
"252",170.6712,25,19.9
"253",174.554,23,19.9
"254",175.122,23,19.9
"255",175.18,23,19.9
"256",173.6752,23,19.9
"257",170.1492,22,19.06666667
"258",170.14,22,19.06666667
"259",169.5444,22,19.06666667
"260",166.754,22,19.06666667
"261",163.9396,21,18.23333333
"262",166.8416,21,18.23333333
"263",167.1464,21,18.23333333
"264",167.662,21,18.23333333
"265",168.4352,20,17.4
"266",171.1484,20,17.4
"267",175.0544,20,17.4
"268",177.5492,20,17.4
"269",191.4596,19.53333333,16.8
"270",196.7392,19.53333333,16.8
"271",195.2384,19.53333333,16.8
"272",194.7048,19.53333333,16.8
"273",190.1444,19.06666667,16.2
"274",189.1368,19.06666667,16.2
"275",185.5448,19.06666667,16.2
"276",179.228,19.06666667,16.2
"277",172.3228,18.6,15.6
"278",170.2324,18.6,15.6
"279",164.7884,18.6,15.6
"280",162.5324,18.6,15.6
"281",157.2792,18.06666667,15.13333333
"282",151.9932,18.06666667,15.13333333
"283",144.232,18.06666667,15.13333333
"284",145.5376,18.06666667,15.13333333
"285",144.7164,17.53333333,14.66666667
"286",141.558,17.53333333,14.66666667
"287",135.5616,17.53333333,14.66666667
"288",133.7784,17.53333333,14.66666667
"289",126.5184,17,14.2
"290",125.4028,17,14.2
"291",123.2692,17,14.2
"292",119.6872,17,14.2
"293",117.1752,17.73333333,14.63333333
"294",116.8792,17.73333333,14.63333333
"295",115.49,17.73333333,14.63333333
"296",114.6104,17.73333333,14.63333333
"297",113.694,18.46666667,15.06666667
"298",110.3608,18.46666667,15.06666667
"299",105.22,18.46666667,15.06666667
"300",107.932,18.46666667,15.06666667
"301",112.3496,19.2,15.5
"302",112.4356,19.2,15.5
"303",110.9944,19.2,15.5
"304",110.5324,19.2,15.5
"305",113.3952,22.13333333,16.2
"306",114.9788,22.13333333,16.2
"307",113.4068,22.13333333,16.2
"308",115.7728,22.13333333,16.2
"309",119.1968,25.06666667,16.9
"310",120.5308,25.06666667,16.9
"311",126.2796,25.06666667,16.9
"312",130.9288,25.06666667,16.9
"313",132.5492,28,17.6
"314",138.394,28,17.6
"315",147.6744,28,17.6
"316",151.2908,28,17.6
"317",162.2272,28.93333333,16.4
"318",166.35,28.93333333,16.4
"319",170.6008,28.93333333,16.4
"320",169.1044,28.93333333,16.4
"321",174.068,29.86666667,15.2
"322",177.2952,29.86666667,15.2
"323",174.8632,29.86666667,15.2
"324",170.462,29.86666667,15.2
"325",172.734,30.8,14
"326",175.6152,30.8,14
"327",176.9236,30.8,14
"328",177.294,30.8,14
"329",178.2144,30.2,14.7
"330",177.744,30.2,14.7
"331",174.4916,30.2,14.7
"332",174.9352,30.2,14.7
"333",171.3416,29.6,15.4
"334",171.756,29.6,15.4
"335",172.406,29.6,15.4
"336",168.9468,29.6,15.4
"337",171.0796,29,16.1
"338",172.7996,29,16.1
"339",171.1756,29,16.1
"340",173.1928,29,16.1
"341",172.7896,27,16.23333333
"342",176.6736,27,16.23333333
"343",183.264,27,16.23333333
"344",181.2392,27,16.23333333
"345",173.8608,25,16.36666667
"346",173.1336,25,16.36666667
"347",174.778,25,16.36666667
"348",172.1836,25,16.36666667
"349",168.536,23,16.5
"350",167.798,23,16.5
"351",169.4116,23,16.5
"352",171.8712,23,16.5
"353",171.9752,22.13333333,16.46666667
"354",170.3624,22.13333333,16.46666667
"355",168.1888,22.13333333,16.46666667
"356",162.8492,22.13333333,16.46666667
"357",163.7876,21.26666667,16.43333333
"358",170.6436,21.26666667,16.43333333
"359",174.518,21.26666667,16.43333333
"360",176.614,21.26666667,16.43333333
"361",177.2536,20.4,16.4
"362",178.8728,20.4,16.4
"363",184.1928,20.4,16.4
"364",189.6692,20.4,16.4
"365",197.5284,19.7,15.93333333
"366",201.0856,19.7,15.93333333
"367",201.6156,19.7,15.93333333
"368",200.4608,19.7,15.93333333
"369",188.928,19,15.46666667
"370",186.5416,19,15.46666667
"371",189.908,19,15.46666667
"372",188.2584,19,15.46666667
"373",182.4388,18.3,15
"374",177.0976,18.3,15
"375",170.746,18.3,15
"376",165.5568,18.3,15
"377",159.5448,17.73333333,14.7
"378",154.56,17.73333333,14.7
"379",150.298,17.73333333,14.7
"380",145.7812,17.73333333,14.7
"381",137.536,17.16666667,14.4
"382",136.1864,17.16666667,14.4
"383",131.338,17.16666667,14.4
"384",121.8368,17.16666667,14.4
"385",117.326,16.6,14.1
"386",117.3372,16.6,14.1
"387",118.6048,16.6,14.1
"388",110.5952,16.6,14.1
"389",107.078,17.73333333,14.36666667
"390",112.9112,17.73333333,14.36666667
"391",114.1048,17.73333333,14.36666667
"392",113.5692,17.73333333,14.36666667
"393",111.0628,18.86666667,14.63333333
"394",110.7984,18.86666667,14.63333333
"395",112.138,18.86666667,14.63333333
"396",113.0948,18.86666667,14.63333333
"397",109.5584,20,14.9
"398",109.4888,20,14.9
"399",110.6536,20,14.9
"400",111.808,20,14.9
"401",113.6764,23,15.56666667
"402",114.298,23,15.56666667
"403",114.3244,23,15.56666667
"404",110.0976,23,15.56666667
"405",116.4584,26,16.23333333
"406",121.682,26,16.23333333
"407",125.966,26,16.23333333
"408",131.0164,26,16.23333333
"409",137.1648,29,16.9
"410",146.7136,29,16.9
"411",154.474,29,16.9
