"","MW","TEMP","DEW.POINT"
"1",398.401,9.5,9.5
"2",360.164,9,9
"3",361.367,9,6
"4",376.664,6,6
"5",378.074,5,5
"6",401.781,6.5,6.5
"7",411.693,5,5
"8",420.911,4.5,4.5
"9",444.657,7,7
"10",423.093,6,6
"11",434.31,4,4
"12",399.547,7,7
"13",403.064,9,8
"14",394.604,11,11
"15",357.866,13.5,11
"16",384.999,10,10
"17",362.881,7,5
"18",369.598,7.5,5
"19",351.249,6,3
"20",367.256,6,2
"21",363.979,9,6
"22",367.606,10,7
"23",359.996,12,8
"24",334.006,10,6
"25",345.519,9,7
"26",333.73,11.5,4
"27",291.76,7,5.5
"28",344.994,7,4
"29",341.358,8.5,7
"30",353.237,11.5,10.5
"31",328.353,7.5,7.5
"32",340.11,7,7
"33",329.806,9,9
"34",332.645,10,10
"35",333.035,11,11
"36",332.506,15,12
"37",342.738,17.5,13.5
"38",318.589,18,14
"39",315.036,13.5714285714286,13.1428571428571
"40",316.726,11.5,8.5
"41",335.945,8,8
"42",336.759,10,10
"43",338.81,9.5,9.5
"44",348.885,16,13
"45",320.882,17,12
"46",322.732,16,15
"47",301.715,13,13
"48",328.457,10.5,10.5
"49",325.658,9,9
"50",332.166,11,11
"51",335.498,12,12
"52",302.905,11,11
"53",335.155,11,11
"54",312.388,13,13
"55",338.488,15,14
"56",341.099,13,13
"57",333.914,13,13
"58",339.609,13,12
"59",316.451,11,9
"60",324.994,11,9
"61",314.374,14.5,13
"62",311.952,17,15
"63",331.369,15,15
"64",332.644,14,14
"65",342.551,12,12
"66",323.209,13.5,9.5
"67",329.503,14,13
"68",316.422,16,12
"69",337.86,15,13
"70",333.826,13,11
"71",333.323,14,12
"72",351.292,14,11
"73",344.791,15,14
"74",371.223,18,16
"75",379.214,18,17
"76",398.86,17,16
"77",424.813,20,17
"78",443.882,19,16
"79",446.808,19,15
"80",391.36,17,15
"81",387.676,15.5,12.5
"82",421.854,20,13
"83",447.692,22,10.5
"84",480.066,18,16
"85",486.686,19,15
"86",494.274,19.5,14.5
"87",516.429,21.5,16
"88",534.778,23,18
"89",511.116,19,14
"90",527.123,18,16
"91",524.366,20,15
"92",526.647,23,11
"93",514.287,21,10
"94",472.193,20,7
"95",494.126,18.5,8
"96",501.411,20,5.5
"97",525.09,21,11
"98",522.936,18,11
"99",540.43,20.5,8.5
"100",545.768,24,9.5
"101",522.024,23,12.5
"102",547.21,22,16
"103",531.677,20,14
"104",560.644,22,13.5
"105",585.653,24,12
"106",610.513,24,14
"107",609.956,25,19
"108",519.576,20,16
"109",569.479,21.5,13
"110",559.561,19,12
"111",599.651,22,11
"112",605.618,20.5,9
"113",629.01,22.5,10
"114",655.165,25,8
"115",693.483,25.5,11
"116",762.091,26,14.5
"117",702.754,23.5,16
"118",759.521,27,16
"119",809.508,27.5,10.5
"120",794.835,29.5,9.5
"121",864.76932,27,10
"122",854.053,28,9
"123",880.333,28,14
"124",877.753,28,12
"125",909.339,29,17.75
"126",816.183,26,18
"127",769.132,25,17
"128",824.864,25,16
"129",841.775,29,14
"130",896.172,29.5,7
"131",918.594,28,12.5
"132",960.513,30.5,11.5
"133",977.299,29,17
"134",969.548,29,16.5
"135",921.542,29,13
"136",942.147,30.5,13.5
"137",961.233,30,19
"138",984.537,32,23
"139",982.024,29,17
"140",970.577,27,20
"141",969.077,27,16
"142",647.763,22,20.5
"143",607.399,23,20
"144",785.052,26.5,20
"145",906.45,31.5,18
"146",945.042,28,17
"147",895.669,27,18
"148",886.538,27,18
"149",923.692,28.5,19
"150",886.306,27,18
"151",977.491,28,21
"152",947.127,29,21
"153",924.078,25,18
"154",845.941,26,18
"155",914.951,26.5,18.5
"156",961.329,30,14.5
"157",934.821,33,16
"158",1012.612,30.5,17
"159",987.243,28.5,17
"160",965.698,29.5,20
"161",922.041,23.6666666666667,20
"162",841.513,27,21
"163",963.326,30,25
"164",904.032,28,23
"165",991.524,32,21
"166",834.254,27.5,21.5
"167",940.913,27.5,22.5
"168",967.254,29,24
"169",877.727,27,23
"170",893.919,25,22
"171",927.613,28,24
"172",987.964,30,24.5
"173",1003.3586,30,25
"174",856.316,30,25
"175",1012.095,30.5,25
"176",1051.666,31,25
"177",1003.043,26,24
"178",892.66,27.5,27
"179",915.2277,28,28
"180",922.724,28,26
"181",897.0735,27,26
"182",906.304,26.5,25
"183",935.775,28.5,24.5
"184",956.76,27.5,24.5
"185",944.589,28,23
"186",1018.468,31,26
"187",989.006,27,26
"188",956.834,28,25
"189",948.136,28,26
"190",852.832,27,26
"191",862.077,27,25
"192",836.065,27,24
"193",935.013,27.5,27
"194",946.165,28,26
"195",1007.948,29,25
"196",901.658,27,24
"197",815.787,26,25
"198",881.328,27,25
"199",840.41,27,25
"200",869.047,28,26
"201",930.871,28.5,26
"202",938.722,27,24
"203",968.999,27,25
"204",981.805,28,25
"205",909.632,27,25
"206",909.442,27,25
"207",909.997,29.5,26
"208",920.606,29,26
"209",882.992,26,26
"210",862.793,26,25
"211",907.687,28,27
"212",973.601,28.5,26
"213",993.316,28.5,25
"214",996.984,28,26
"215",1037.239,28.5,25
"216",1008.837,28,27
"217",989.429,27,26
"218",981.818,27,27
"219",958.961,28,27
"220",977.88,28,26.5
"221",1002.819,28,25
"222",955.019,26,26
"223",923.68,27,26
"224",887.49,25.5,25.5
"225",836.744,26,25
"226",799.382,26,23
"227",752.101,26,26
"228",696.16,27,26
"229",696.004,25,25
"230",804.005,26,25
"231",893.852,27,24.5
"232",845.565,26,26
"233",879.59,27,26
"234",948.541,29,26
"235",994.822,29,27
"236",824.1456,25,25
"237",847.1222,26,25
"238",939.514,27,26
"239",925.566,28,27
"240",907.077,27,24.5
"241",953.902,28,25
"242",981.231,28.5,26
"243",977.981,29,26
"244",991.8162,29,26
"245",1000.444,29,26
"246",1017.983,26,24
"247",906.999,26.3333333333333,26
"248",830.007,25,25
"249",796.743,25,25
"250",828.494,27,27
"251",860.246,27,26
"252",821.433,26,26
"253",771.952,26,26
"254",864.176,27,26
"255",837.525,27,26
"256",881.164,27,26
"257",909.506,27,26
"258",964.051,27,26
"259",834.728,26,26
"260",824.95,24,24
"261",849.021,25,25
"262",820.674,25,24
"263",867.067,26,24
"264",839.267,25,24
"265",861.582,25,24
"266",850.443,26,22
"267",820.071,22,21
"268",737.961,23.5,20.5
"269",825.8805,23.5,21
"270",835.5621,23,20
"271",822.49505,23,19.5
"272",814.97695,22,18
"273",788.7101,22,18
"274",772.2151,22,18
"275",789.52085,21.5,17.5
"276",738.0739,23,17
"277",790.8745,22.5,16
"278",778.37225,23.5,20
"279",795.45525,23,20
"280",729.0874,22,19
"281",773.5304,23,20
"282",781.05975,23.5,22
"283",741.596,21,19
"284",722.535,22,20
"285",732.068,22,18
"286",734.002,20,16.5
"287",726.471,23.5,16
"288",718.03,21,15
"289",676.708,21.5,14.5
"290",634.244,18,14.5
"291",603.48,19,11.5
"292",571.076,19.5,14
"293",584.627,19,13
"294",565.319,18.5,15
"295",554.202,19,16
"296",556.548,19,15
"297",551.21,21,15
"298",576.127,20,15
"299",555.839,19,14
"300",568.354,16,10.5
"301",478.727,16.5,9
"302",444.065,15.5,11.5
"303",445.621,17,11
"304",417.868,17,13
"305",415.5,19,14
"306",402.405,18,7
"307",423.5,19,10
"308",424.246,18.5,11.5
"309",421.009,18,16.5
"310",429.33,17,14
"311",421.43022,16,11
"312",388.8847,16,12
"313",376.063,16,11
"314",408.095,18,14.5
"315",408.602,18,16
"316",418.626,16,13
"317",413.117,16.5,10.5
"318",392.045,15,11.5
"319",392.373,15,11.5
"320",381.498,15.5,11.5
"321",397.031,16.5,12
"322",393.717,14,10
"323",396.901,17,15
"324",384.898,16,13
"325",360.002,16.5,15.5
"326",373.755,17,15.5
"327",360.483,17,15
"328",381.377,16,14
"329",368.38,14.5,13
"330",372.922,14,11.5
"331",367.55,13,12
"332",339.706,14,10
"333",342.817,11,9
"334",330.989,12,7
"335",334.8,12,7
"336",339.16,15,12
"337",343.676,14,12.5
"338",349.028,13,8
"339",328.904,13,10
"340",337.573,16,12
"341",315.921,14.5,13.5
"342",346.001,15.5,13
"343",348.637,17,15
"344",338.607,16,14
"345",341.794,10.5,4
"346",316.14,10,4
"347",322.145,9,5
"348",306.92516,8,5
"349",327.6336,8,5
"350",325.94784,7,3
"351",325.93262,6.5,4
"352",341.6037,8,5
"353",323.23914,7,6
"354",334.05904,8.5,7
"355",332.4487,8,8
"356",356.68792,9,7
"357",344.92102,5,5
"358",359.83368,5,2
"359",373.901,5,4
"360",349.024,5,3
"361",356.521,6.5,5
"362",334.638,7,7
"363",363.275,8,8
"364",356.765,6.5,6.5
"365",358.9446,8,8
"366",395.591,15,11
"367",325.522,14,14
"368",352.046,8,8
"369",335.094,9,9
"370",352.926,12,12
"371",361.254,13,13
"372",339.853,13,13
"373",381.964,12,12
"374",350.818,8.5,8.5
"375",360.001,5,5
"376",350.573,4.5,3
"377",368.784,6,5
"378",374.812,5,3
"379",382.601,7,4
"380",380.939,13,8
"381",330.482,13.5,13
"382",350.547,9,9
"383",355.062,6,6
"384",377.287,7,7
"385",371.497,4,4
"386",398.538,7,7
"387",396.032,6,4.5
"388",370.401,5,5
"389",363.338,7,6.5
"390",352.379,11,5.5
"391",375.039,9,9
"392",317.572,17.5344827586207,3.53448275862069
"393",360.092,7,5.5
"394",371.432,7,5
"395",346.431,6,5
"396",351.645,6.5,4.5
"397",338.61,8.5,6
"398",358.582,8,4.5
"399",350.857,11,6.5
"400",348.796,12.5,10
"401",352.637,13,11.5
"402",326.58,12,12
"403",336.945,9.5,4
"404",329.351,10,6
"405",353.458,3,1
"406",348.904,5,1
"407",360.844,7,4
"408",367.497,12,4.5
"409",327.376,15,7
"410",334.255,14,11
"411",322.316,13,2
"412",347.679,11,1
"413",341.829,7,3
"414",355.154,7.5,7.5
"415",351.03,12.5,4
"416",329.473,10,9
"417",307.002,13,11
"418",312.383,16,13
"419",340.901,14,13
"420",343.949,14,7
"421",338.959,11,4
"422",345.719,6,3
"423",324.075,8,4.5
"424",321.532,11,7
"425",312.576,11,9
"426",329.527,14,8
"427",336.911,14,8
"428",329.094,11.5,8
"429",342.93,16.5,9
"430",346.872,22,12
"431",379.186,19,18
"432",346.658,12.5,10
"433",335.827,12,6
"434",286.021,12,8
"435",297.528,13.1111111111111,5.55555555555556
"436",325.51,12,6
"437",325.174,13,8
"438",333.085,16,13
"439",321.128,12.5,10
"440",319.412,12,9
"441",339.587,13,11
"442",362.481,17.5,13
"443",387.208,20,15
"444",398.69,22,15
"445",443.498,21,18
"446",413.151,21.1428571428571,5.14285714285714
"447",372.116,13,4
"448",367.469,13,6
"449",374.847,16,8
"450",395.726,16,11.5
"451",415.7315,18,13
"452",446.66,20.5,14
"453",452.821,20,14
"454",479.821,19,13
"455",464.064,17,12
"456",501.61,21.5,12.5
"457",536.834,23,13
"458",541.226,25,13
"459",595.559,26,16
"460",618.97,23,14
"461",643.093,23,14
"462",647.086,24.5,10
"463",669.628,27.2,15
"464",687.707,24,14
"465",690.429,23,13
"466",733.117,25,11.5
"467",644.703,22.5,16.5
"468",569.94,21,15
"469",623.033,24,14
"470",567.328,22,14
"471",510.159,19,18
"472",518.373,20,14
"473",590.984,22,15
"474",596.816,24,16
"475",625.158,21,15
"476",676.081,23.5,15
"477",688.86,23,15
"478",698.308,23,12.5
"479",655.116,20.5,12.5
"480",699.615,24,11
"481",650.652,20,17
"482",713.352,27,12
"483",611.282,18.5,17.5
"484",666.662,22,13
"485",672.183,22,12
"486",693.045,22,11
"487",656.832,23,8
"488",669.501,23.5,8.5
"489",729.33,23,9
"490",753.254,25.5,9.5
"491",782.587,27,8.5
"492",781.83,26,14
"493",817.034,27,15
"494",857.074,28,11.5
"495",896.544,27,16
"496",928.434,29,12.5
"497",919.347,26,14
"498",917.426,27,16
"499",756.816,23,15
"500",836.179,25.5,13.5
"501",780.409,24.5,11
"502",876.561,27.5,11.5
"503",958.411,28.5,16
"504",948.975,29,11
"505",959.897,29,11.5
"506",934.48,28,10.5
"507",957.8,31.5,9
"508",987.48,30.5,11.5
"509",994.612,27,9
"510",1000.891,26,7
"511",1027.776,27.5,7.5
"512",1052.078,32.5,8.5
"513",1057.466,30.5,13
"514",1029.98,28.5,9
"515",1048.724,28.5,6.5
"516",1052.537,28,6
"517",1071.545,32,7.5
"518",1076.162,33,9
"519",1048.662,33,14.5
"520",1070.57,29,15
"521",1015.838,29,15
"522",1035.666,31,15
"523",951.05,27,16
"524",938.032,28,16
"525",972.872,27,15.5
"526",1018.206,28.5,16
"527",1037.347,31,12
"528",1036.283,30.5,12.5
"529",1051.122,29,15
"530",1064.822,31,13
"531",1099.261,34,13
"532",1099.918,31.5,16
"533",1104.516,32,17
"534",1097.216,32.5,19.5
"535",1092.123,33,19
"536",1037.169,28,22
"537",1087.299,30,16
"538",1122.396,33,18
"539",1130.991,32,17
"540",1145.772,32,24
"541",1136.801,33.5,18
"542",1138.085,32,19
"543",1115.646,33,17.5
"544",1091.639,33,19
"545",1109.524,32,19
"546",1117.372,31.5,17
"547",1009.245,33,18
"548",1139.8503,32.5,18
"549",1135.4991,33,24
"550",1125.7521,33,24
"551",1097.839,29,23
"552",1094.789,30,25
"553",1115.709,30,21.5
"554",890.57,25,25
"555",852.778,26.5,24.5
"556",895.509,28,24
"557",985.27,29,26
