"","MW","TEMP","DEW.POINT"
"1",21.839,9.5,9.5
"2",20.767,9,9
"3",19.985,9,6
"4",21.623,6,6
"5",21.623,5,5
"6",23.096,6.5,6.5
"7",23.517,5,5
"8",23.798,4.5,4.5
"9",24.549,7,7
"10",25.665,6,6
"11",25.086,4,4
"12",24.017,7,7
"13",24.088,9,8
"14",21.926,11,11
"15",20.786,13.5,11
"16",21.513,10,10
"17",21.426,7,5
"18",21.466,7.5,5
"19",20.358,6,3
"20",19.072,6,2
"21",20.565,9,6
"22",20.204,10,7
"23",17.74,12,8
"24",17.085,10,6
"25",16.654,9,7
"26",17.172,11.5,4
"27",16.369,7,5.5
"28",17.352,7,4
"29",18.429,8.5,7
"30",18.858,11.5,10.5
"31",17.986,7.5,7.5
"32",18.065,7,7
"33",17.615,9,9
"34",18.053,10,10
"35",17.163,11,11
"36",16.415,15,12
"37",14.404,17.5,13.5
"38",13.134,18,14
"39",13.333,13.5714285714286,13.1428571428571
"40",13.595,11.5,8.5
"41",13.984,8,8
"42",14.339,10,10
"43",14.054,9.5,9.5
"44",13.012,16,13
"45",13.352,17,12
"46",12.784,16,15
"47",14.466,13,13
"48",14.668,10.5,10.5
"49",15.054,9,9
"50",15.698,11,11
"51",15.836,12,12
"52",14.677,11,11
"53",14.468,11,11
"54",14.447,13,13
"55",13.35,15,14
"56",14.213,13,13
"57",14.706,13,13
"58",14.586,13,12
"59",13.541,11,9
"60",13.238,11,9
"61",13.084,14.5,13
"62",13.288,17,15
"63",14.24,15,15
"64",14.17,14,14
"65",13.167,12,12
"66",12.635,13.5,9.5
"67",12.726,14,13
"68",12.469,16,12
"69",12.325,15,13
"70",12.114,13,11
"71",12.302,14,12
"72",12.347,14,11
"73",11.862,15,14
"74",12.064,18,16
"75",12.139,18,17
"76",12.651,17,16
"77",13.261,20,17
"78",13.198,19,16
"79",13.688,19,15
"80",12.98,17,15
"81",13.01,15.5,12.5
"82",13.207,20,13
"83",13.433,22,10.5
"84",13.971,18,16
"85",14.408,19,15
"86",14.326,19.5,14.5
"87",14.687,21.5,16
"88",15.435,23,18
"89",15.845,19,14
"90",15.449,18,16
"91",15.692,20,15
"92",15.231,23,11
"93",15.81,21,10
"94",14.979,20,7
"95",14.72,18.5,8
"96",14.836,20,5.5
"97",15.061,21,11
"98",15.222,18,11
"99",15.718,20.5,8.5
"100",15.268,24,9.5
"101",15.539,23,12.5
"102",15.837,22,16
"103",15.745,20,14
"104",15.9,22,13.5
"105",16.423,24,12
"106",17.2,24,14
"107",17.401,25,19
"108",15.998,20,16
"109",16.531,21.5,13
"110",16.278,19,12
"111",16.441,22,11
"112",16.972,20.5,9
"113",16.695,22.5,10
"114",17.625,25,8
"115",18.606,25.5,11
"116",20.142,26,14.5
"117",19.501,23.5,16
"118",20.505,27,16
"119",21.813,27.5,10.5
"120",22.131,29.5,9.5
"121",22.929,27,10
"122",23.586,28,9
"123",24.072,28,14
"124",24.163,28,12
"125",24.811,29,17.75
"126",24.702,26,18
"127",22.586,25,17
"128",23.014,25,16
"129",22.804,29,14
"130",23.861,29.5,7
"131",25.128,28,12.5
"132",25.616,30.5,11.5
"133",26.388,29,17
"134",26.042,29,16.5
"135",24.253,29,13
"136",24.744,30.5,13.5
"137",24.981,30,19
"138",26.251,32,23
"139",26.795,29,17
"140",27.603,27,20
"141",27.139,27,16
"142",17.842,22,20.5
"143",17.846,23,20
"144",21.281,26.5,20
"145",24.77,31.5,18
"146",26.089,28,17
"147",24.428,27,18
"148",24.166,27,18
"149",25.013,28.5,19
"150",23.828,27,18
"151",26.96,28,21
"152",26.921,29,21
"153",25.763,25,18
"154",23.438,26,18
"155",24.291,26.5,18.5
"156",24.11,30,14.5
"157",26.195,33,16
"158",28.016,30.5,17
"159",26.668,28.5,17
"160",26.193,29.5,20
"161",25.485,23.6666666666667,20
"162",24.262,27,21
"163",26.791,30,25
"164",24.876,28,23
"165",26.837,32,21
"166",24.843,27.5,21.5
"167",25.98,27.5,22.5
"168",26.748,29,24
"169",24.093,27,23
"170",24.374,25,22
"171",25.4,28,24
"172",26.39,30,24.5
"173",26.454,30,25
"174",28.152,30,25
"175",27.81,30.5,25
"176",29.009,31,25
"177",27.963,26,24
"178",25.637,27.5,27
"179",26.212,28,28
"180",17.352,28,26
"181",24.176,27,26
"182",24.39,26.5,25
"183",25.566,28.5,24.5
"184",26.025,27.5,24.5
"185",25.929,28,23
"186",27.743,31,26
"187",27.453,27,26
"188",26.688,28,25
"189",26.662,28,26
"190",24.737,27,26
"191",23.655,27,25
"192",24.02,27,24
"193",25.382,27.5,27
"194",26.771,28,26
"195",27.571,29,25
"196",25.819,27,24
"197",23.96,26,25
"198",25.032,27,25
"199",24.669,27,25
"200",25.181,28,26
"201",26.675,28.5,26
"202",26.243,27,24
"203",27.386,27,25
"204",26.885,28,25
"205",24.433,27,25
"206",24.909,27,25
"207",24.642,29.5,26
"208",25.417,29,26
"209",24.449,26,26
"210",24.89,26,25
"211",25.89,28,27
"212",26.292,28.5,26
"213",27.651,28.5,25
"214",28.106,28,26
"215",28.494,28.5,25
"216",28.124,28,27
"217",26.949,27,26
"218",26.484,27,27
"219",25.828,28,27
"220",26.263,28,26.5
"221",27.003,28,25
"222",26.39,26,26
"223",24.565,27,26
"224",24.23,25.5,25.5
"225",22.968,26,25
"226",23.395,26,23
"227",21.99,26,26
"228",20.757,27,26
"229",20.584,25,25
"230",21.782,26,25
"231",24.063,27,24.5
"232",22.627,26,26
"233",23.099,27,26
"234",24.519,29,26
"235",25.767,29,27
"236",22.594,25,25
"237",22.674,26,25
