"","MW","TEMP","DEW.POINT"
"1",100.576927,9.5,9.5
"2",95.9312385,9,9
"3",96.4254,9,6
"4",98.9961,6,6
"5",102.6075,5,5
"6",102.1861,6.5,6.5
"7",106.0461,5,5
"8",107.86036,4.5,4.5
"9",102.8792,7,7
"10",125.1837,6,6
"11",132.8066,4,4
"12",129.8813,7,7
"13",130.0467,9,8
"14",123.8245,11,11
"15",121.179812,13.5,11
"16",121.7182,10,10
"17",126.628,7,5
"18",128.3628,7.5,5
"19",127.4254,6,3
"20",128.198728,6,2
"21",126.881996,9,6
"22",126.2924,10,7
"23",123.29,12,8
"24",118.72848,10,6
"25",117.82248,9,7
"26",116.26948,11.5,4
"27",113.76808,7,5.5
"28",118.71388,7,4
"29",117.95888,8.5,7
"30",118.33968,11.5,10.5
"31",113.02084,7.5,7.5
"32",112.42144,7,7
"33",113.50844,9,9
"34",113.17844,10,10
"35",109.68344,11,11
"36",109.61644,15,12
"37",107.55244,17.5,13.5
"38",92.78232,18,14
"39",95.02532,13.5714285714286,13.1428571428571
"40",95.90832,11.5,8.5
"41",95.32532,8,8
"42",95.26432,10,10
"43",95.06632,9.5,9.5
"44",95.23732,16,13
"45",90.8176,17,12
"46",95.1756,16,15
"47",95.4586,13,13
"48",94.4306,10.5,10.5
"49",95.9056,9,9
"50",97.7186,11,11
"51",96.4416,12,12
"52",107.23428,11,11
"53",108.24828,11,11
"54",107.05028,13,13
"55",106.57928,15,14
"56",106.67128,13,13
"57",105.91228,13,13
"58",106.46728,13,12
"59",103.56528,11,9
"60",105.37528,11,9
"61",105.31028,14.5,13
"62",104.44928,17,15
"63",106.81328,15,15
"64",107.16328,14,14
"65",104.87728,12,12
"66",101.92528,13.5,9.5
"67",103.64028,14,13
"68",103.06828,16,12
"69",103.61828,15,13
"70",102.13828,13,11
"71",103.17228,14,12
"72",102.31428,14,11
"73",101.03428,15,14
"74",103.34928,18,16
"75",105.96928,18,17
"76",108.17328,17,16
"77",110.48828,20,17
"78",111.94028,19,16
"79",112.31528,19,15
"80",107.393,17,15
"81",107.733,15.5,12.5
"82",108.504,20,13
"83",112.914,22,10.5
"84",115.049,18,16
"85",116.633,19,15
"86",117.785,19.5,14.5
"87",93.464,21.5,16
"88",99.281,23,18
"89",100.234,19,14
"90",98.577,18,16
"91",97.739,20,15
"92",95.786,23,11
"93",97.619,21,10
"94",90.873,20,7
"95",91.343,18.5,8
"96",92.25,20,5.5
"97",94.346,21,11
"98",94.937,18,11
"99",96.189,20.5,8.5
"100",97.798,24,9.5
"101",93.698,23,12.5
"102",97.882,22,16
"103",96.505,20,14
"104",100.736,22,13.5
"105",102.859,24,12
"106",107.576,24,14
"107",109.348,25,19
"108",99.283,20,16
"109",102.439,21.5,13
"110",102.404,19,12
"111",103.771,22,11
"112",105.834,20.5,9
"113",106.054,22.5,10
"114",111.161,25,8
"115",114.079,25.5,11
"116",122.57,26,14.5
"117",121.718,23.5,16
"118",127.084,27,16
"119",135.144,27.5,10.5
"120",134.139,29.5,9.5
"121",138.757,27,10
"122",139.701,28,9
"123",144.343,28,14
"124",144.974,28,12
"125",151.58,29,17.75
"126",144.752,26,18
"127",135.127,25,17
"128",139.809,25,16
"129",140.293,29,14
"130",144.679,29.5,7
"131",151.722,28,12.5
"132",156.898,30.5,11.5
"133",159.272,29,17
"134",158.28,29,16.5
"135",151.247,29,13
"136",148.922,30.5,13.5
"137",155.204,30,19
"138",158.332,32,23
"139",162.319,29,17
"140",162.508,27,20
"141",163.955,27,16
"142",122.291,22,20.5
"143",112.505,23,20
"144",130.574,26.5,20
"145",147.6,31.5,18
"146",154.682,28,17
"147",142.778,27,18
"148",141.973,27,18
"149",148.412,28.5,19
"150",145.514,27,18
