"","MW","TEMP","DEW.POINT"
"1",538.056,9.5,9.5
"2",454.821,9,9
"3",468.962,9,6
"4",505.529,6,6
"5",523.421,5,5
"6",524.952,6.5,6.5
"7",542.271,5,5
"8",555.237,4.5,4.5
"9",529.077,7,7
"10",520.443,6,6
"11",551.061,4,4
"12",540.222,7,7
"13",526.143,9,8
"14",514.905,11,11
"15",481.505,13.5,11
"16",468.355,10,10
"17",448.453,7,5
"18",473.308,7.5,5
"19",490.881,6,3
"20",469.793,6,2
"21",491.567,9,6
"22",519.392,10,7
"23",453.46,12,8
"24",440.78,10,6
"25",475.253,9,7
"26",520.991,11.5,4
"27",343.857,7,5.5
"28",495.56,7,4
"29",500.858,8.5,7
"30",468.983,11.5,10.5
"31",458.324,7.5,7.5
"32",479.956,7,7
"33",488.458,9,9
"34",473.547,10,10
"35",478.886,11,11
"36",491.534,15,12
"37",444.817,17.5,13.5
"38",445.813,18,14
"39",420.76,13.5714285714286,13.1428571428571
"40",459.897,11.5,8.5
"41",451.848,8,8
"42",485.117,10,10
"43",476.131,9.5,9.5
"44",439.702,16,13
"45",448.697,17,12
"46",444.95,16,15
"47",419.933,13,13
"48",460.391,10.5,10.5
"49",486.225,9,9
"50",507.899,11,11
"51",469.193,12,12
"52",434.054,11,11
"53",469.587,11,11
"54",476.513,13,13
"55",460.845,15,14
"56",478.364,13,13
"57",479.735,13,13
"58",438.571,13,12
"59",448.282,11,9
"60",456.073,11,9
"61",468.444,14.5,13
"62",433.586,17,15
"63",468.345,15,15
"64",489.298,14,14
"65",425.34,12,12
"66",411.298,13.5,9.5
"67",455.547,14,13
"68",482.254,16,12
"69",462.098,15,13
"70",481.977,13,11
"71",487.1762,14,12
"72",460.9492,14,11
"73",460.6032,15,14
"74",510.87,18,16
"75",534.317,18,17
"76",537.695,17,16
"77",555.398,20,17
"78",591.176,19,16
"79",512.001,19,15
"80",396.123,17,15
"81",479.939,15.5,12.5
"82",563.069,20,13
"83",565.7,22,10.5
"84",599.1656,18,16
"85",612.908,19,15
"86",601.894,19.5,14.5
"87",593.809,21.5,16
"88",646.445,23,18
"89",672.937,19,14
"90",624.001,18,16
"91",645.293,20,15
"92",626.494,23,11
"93",576.524,21,10
"94",570.526,20,7
"95",607.059,18.5,8
"96",630.691,20,5.5
"97",630.363,21,11
"98",650.767,18,11
"99",664.893,20.5,8.5
"100",638.321,24,9.5
"101",604.521,23,12.5
"102",664.73,22,16
"103",649.774,20,14
"104",666.476,22,13.5
"105",707.867,24,12
"106",733.133,24,14
"107",699.964,25,19
"108",605.187,20,16
"109",677.076,21.5,13
"110",696.283,19,12
"111",700.509,22,11
"112",745.104,20.5,9
"113",757.808,22.5,10
"114",752.319,25,8
"115",605.187,25.5,11
"116",677.076,26,14.5
"117",696.283,23.5,16
"118",700.509,27,16
"119",745.104,27.5,10.5
"120",757.808,29.5,9.5
"121",752.319,27,10
"122",1002.181,28,9
"123",1046.011,28,14
"124",1057.514,28,12
"125",985.87,29,17.75
"126",966.276,26,18
"127",889.827,25,17
"128",966.765,25,16
"129",994.861,29,14
"130",1028.189,29.5,7
"131",1095.18,28,12.5
"132",1082.85,30.5,11.5
"133",1135.301,29,17
"134",1131.289,29,16.5
"135",1067.769,29,13
"136",1077.772,30.5,13.5
"137",1134.638,30,19
"138",1138.018,32,23
"139",1083.397,29,17
"140",1127.9124,27,20
"141",1151.7682,27,16
"142",670.775,22,20.5
"143",732.06,23,20
"144",923.702,26.5,20
"145",1067.586,31.5,18
"146",1083.354,28,17
"147",1060.428,27,18
"148",1057.696,27,18
"149",1057.783,28.5,19
"150",979.439,27,18
"151",1186.849,28,21
"152",1119.949,29,21
"153",1062.563,25,18
"154",999.089,26,18
"155",1067.656,26.5,18.5
"156",1073.67,30,14.5
"157",1116.77,33,16
"158",1197.97,30.5,17
"159",1153.599,28.5,17
"160",1137,29.5,20
"161",1108.603,23.6666666666667,20
"162",1031.114,27,21
"163",1127.262,30,25
"164",1048.857,28,23
"165",1177.68,32,21
"166",1111.32,27.5,21.5
"167",1123.243,27.5,22.5
"168",1146.575,29,24
"169",1025.361,27,23
"170",1040.622,25,22
"171",1081.648,28,24
"172",1169.438,30,24.5
"173",1171.047,30,25
"174",1207.144,30,25
"175",1230.41,30.5,25
"176",1249.739,31,25
"177",1174.751,26,24
"178",1009.239,27.5,27
"179",1071.014,28,28
"180",1095.764,28,26
"181",1035.427,27,26
"182",1081.4224,26.5,25
"183",1088.466,28.5,24.5
"184",1052.98,27.5,24.5
"185",1051.438,28,23
"186",1196.082,31,26
"187",1155.061,27,26
"188",1113.766,28,25
"189",1160.168,28,26
"190",1043.6301,27,26
"191",987.248,27,25
"192",977.557,27,24
"193",1123.215,27.5,27
"194",1172.203,28,26
"195",1188.048,29,25
"196",1120.116,27,24
"197",1013.018,26,25
"198",1051.838,27,25
"199",1024.186,27,25
"200",1084.624,28,26
"201",1175.815,28.5,26
"202",1130.626,27,24
"203",1189.664,27,25
"204",1204.1655,28,25
"205",1048.3085,27,25
"206",1086.854,27,25
"207",1127.383,29.5,26
"208",1131.78,29,26
"209",1057.429,26,26
"210",1039.628,26,25
"211",1118.583,28,27
"212",1126.95884,28.5,26
"213",1178.6306,28.5,25
