"","MW","TEMP","DEW.POINT"
"1",2307.03,23,13
"2",2226.95,23,13
"3",2067.59,23.5,13
"4",2011.88,24,13
"5",1993.09,24,13
"6",1991.33,27.5,13.5
"7",1943.17,27.5,13.5
"8",1953.77,29.5,11.5
"9",1986.05,29.5,11.5
"10",2041.72,32,10
"11",2144.02,32,10
"12",2259.35,33.5,10.5
"13",2377.65,33.5,10.5
"14",2487.9,35,9.5
"15",2507.72,35,9.5
"16",2515.42,35.5,9
"17",2512.42,35.5,9
"18",2475.65,36,8
"19",2513.84,36,8
"20",2567.92,36.5,8.5
"21",2566.05,36.5,8.5
"22",2625.82,36,10
"23",2631.1,36,10
"24",2666.02,35,10
"25",2653.99,35,10
"26",2582.94,33,10.5
"27",2476.13,33,10.5
"28",2518.19,31.5,12.5
"29",2584.84,31.5,12.5
"30",2556.2,31,13
"31",2559.82,31,13
"32",2581.74,29,12
"33",2570.56,29,12
"34",2540.48,29,12
"35",2590.1,29,12
"36",2491.13,28,14
"37",2658,28,14
"38",2889.66,27.5,14
"39",2961.04,27.5,14
"40",2961.8,26.5,14
"41",2856.7,26.5,14
"42",2816.53,26,14
"43",2771.7,26,14
"44",2745.08,26,13.5
"45",2689.65,26,13.5
"46",2609.42,25,13.5
"47",2403.28,25,13.5
"48",2422.67,25,13
"49",2269.32,25,13
"50",2233.07,26,12.5
"51",2106.48,26,12.5
"52",2162.04,26.5,12
"53",2129.22,26.5,12
"54",1991.55,30,13
"55",2062.4,31,12
"56",2072.55,31,12
"57",2080.13,32.5,11.5
"58",2424.36,34.5,11
"59",2577.86,34.5,11
"60",2709.54,35.5,11
"61",2648.89,35.5,11
"62",2623.51,36,11
"63",2680.79,36,11
"64",2743.53,37.5,11
"65",2867.21,37.5,11
"66",3095.6,38,11
"67",3121.14,38,11
"68",3236.72,37,11
"69",3255.89,37,11
"70",3241.89,36,11
"71",3249.32,36,11
"72",3121.84,35,11
"73",2990.45,35,11
"74",3131.71,32,13
"75",3151.66,32,13
"76",3231.76,31.5,14
"77",3162.82,31.5,14
"78",3092.92,30.5,14
"79",3200.81,30.5,14
"80",3138.76,30,13.5
"81",3101.95,30,13.5
"82",3155.52,29,14
"83",3127.54,29,14
"84",3378.55,28,15
"85",3362.09,28,15
"86",3314.16,28,15
"87",3220.59,28,15
"88",3116.19,28,14.5
"89",3147.95,28,14.5
"90",3045.87,27.5,15
"91",2964.58,27.5,15
"92",2871.53,26,17
"93",2762.46,26,17
"94",2585.52,26,16
"95",2487.46,26,16
"96",2467.24,26,16
