"","MW","TEMP","DEW.POINT"
"1",3650,27.1333333333333,22.7333333333333
"2",3696,28.2666666666667,23.5666666666667
"3",3614,29.4,24.4
"4",3561,28.6,24
"5",3584,27.8,23.6
"6",3636,27,23.2
"7",3648,27.2,22.5333333333333
"8",3507,27.4,21.8666666666667
"9",3977,27.6,21.2
"10",4333,27.3333333333333,21.3333333333333
"11",4480,27.0666666666667,21.4666666666667
"12",4448,26.8,21.6
"13",4368,26.5333333333333,21.5
"14",4379,26.2666666666667,21.4
"15",4315,26,21.3
"16",4251,25.9333333333333,21.2333333333333
"17",4355,25.8666666666667,21.1666666666667
"18",4896,25.8,21.1
"19",5108,25.5333333333333,21
"20",5033,25.2666666666667,20.9
"21",4784,25,20.8
"22",4485,25.3333333333333,20.7666666666667
"23",4320,25.6666666666667,20.7333333333333
"24",4030,26,20.7
"25",3812,26.8666666666667,20.8333333333333
"26",3661,27.7333333333333,20.9666666666667
"27",3750,28.6,21.1
"28",3705,28.6,21.5
"29",3684,28.6,21.9
"30",3820,28.6,22.3
"31",3650,28.7333333333333,22.5666666666667
"32",3900,28.8666666666667,22.8333333333333
"33",4428,29,23.1
"34",4830,28.2,22.9
"35",5118,27.4,22.7
"36",5092,26.6,22.5
"37",5076,26.0666666666667,22.1333333333333
"38",5142,25.5333333333333,21.7666666666667
"39",5025,25,21.4
"40",4964,24.9333333333333,21.7
"41",4927,24.8666666666667,22
"42",5480,24.8,22.3
"43",5642,24.8,22.3
"44",5508,24.8,22.3
"45",5339,24.8,22.3
"46",4887,25.3333333333333,21.9
"47",4633,25.8666666666667,21.5
"48",4292,26.4,21.1
"49",4013,27.4333333333333,21.5333333333333
"50",3965,28.4666666666667,21.9666666666667
"51",4012,29.5,22.4
"52",3944,29.6,22.9333333333333
"53",4039,29.7,23.4666666666667
"54",4179,29.8,24
"55",4103,29.5,23.9333333333333
"56",4480,29.2,23.8666666666667
"57",5058,28.9,23.8
"58",5527,28.5333333333333,23.3666666666667
"59",5812,28.1666666666667,22.9333333333333
"60",5721,27.8,22.5
"61",5671,27.6,22.4666666666667
"62",5783,27.4,22.4333333333333
"63",5671,27.2,22.4
"64",5641,27.0333333333333,22.3333333333333
"65",5462,26.8666666666667,22.2666666666667
"66",5930,26.7,22.2
"67",5964,26.5666666666667,22.4
"68",5784,26.4333333333333,22.6
"69",5602,26.3,22.8
"70",5244,26.5333333333333,22.8333333333333
"71",4937,26.7666666666667,22.8666666666667
"72",4642,27,22.9
"73",4501,27.3333333333333,23.2666666666667
"74",4379,27.6666666666667,23.6333333333333
"75",4223,28,24
"76",4182,27.8666666666667,24.0333333333333
"77",4202,27.7333333333333,24.0666666666667
"78",4387,27.6,24.1
"79",4406,27.6666666666667,24.1
"80",4566,27.7333333333333,24.1
"81",5120,27.8,24.1
"82",5596,27.4,23.6666666666667
"83",5729,27,23.2333333333333
"84",5655,26.6,22.8
"85",5513,26.5333333333333,22.8333333333333
"86",5574,26.4666666666667,22.8666666666667
"87",5478,26.4,22.9
"88",5406,26.2666666666667,22.9333333333333
"89",5318,26.1333333333333,22.9666666666667
"90",5819,26,23
"91",5818,25.8666666666667,22.8666666666667
"92",5729,25.7333333333333,22.7333333333333
"93",5498,25.6,22.6
"94",5134,25.8,22.6333333333333
"95",4690,26,22.6666666666667
"96",4320,26.2,22.7
"97",4083,26.7333333333333,22.6666666666667
"98",3959,27.2666666666667,22.6333333333333
"99",3817,27.8,22.6
"100",3748,26.9333333333333,23.1
"101",3794,26.0666666666667,23.6
"102",3928,25.2,24.1
"103",3935,25.2666666666667,24
"104",4329,25.3333333333333,23.9
"105",4902,25.4,23.8
"106",5260,25.3666666666667,23.7
"107",5444,25.3333333333333,23.6
"108",5303,25.3,23.5
"109",5232,25.2,23.3666666666667
"110",5201,25.1,23.2333333333333
"111",5055,25,23.1
"112",4989,25.0666666666667,23.1666666666667
"113",4958,25.1333333333333,23.2333333333333
"114",5419,25.2,23.3
"115",5471,25.2666666666667,23.2666666666667
"116",5346,25.3333333333333,23.2333333333333
"117",5193,25.4,23.2
"118",4800,25.4,22.9666666666667
"119",4425,25.4,22.7333333333333
"120",4171,25.4,22.5
"121",4186,25.8,22.8
"122",4031,26.2,23.1
"123",3861,26.6,23.4
"124",3789,27.1333333333333,23.2
"125",3783,27.6666666666667,23
"126",3825,28.2,22.8
"127",3758,28.4,22.6333333333333
"128",3943,28.6,22.4666666666667
"129",4096,28.8,22.3
"130",4179,28.4444444444444,22.2222222222222
"131",4327,28.0888888888889,22.1444444444444
"132",4336,27.7333333333333,22.0666666666667
"133",4329,27.3777777777778,21.9888888888889
"134",4292,27.0222222222222,21.9111111111111
"135",4164,26.6666666666667,21.8333333333333
"136",4115,26.3111111111111,21.7555555555556
"137",4141,25.9555555555556,21.6777777777778
"138",4743,25.6,21.6
"139",4903,25.4666666666667,21.5333333333333
"140",4703,25.3333333333333,21.4666666666667
"141",4545,25.2,21.4
"142",4397,25.4,21.4
"143",4222,25.6,21.4
"144",4374,25.8,21.4
"145",4348,26.5333333333333,21.7
"146",3959,27.2666666666667,22
"147",3666,28,22.3
"148",3512,28.1666666666667,22.3666666666667
"149",3464,28.3333333333333,22.4333333333333
"150",3423,28.5,22.5
"151",3269,28.6,21.8333333333333
"152",3304,28.7,21.1666666666667
"153",3388,28.8,20.5
"154",3244,28.1333333333333,20.5333333333333
"155",3436,27.4666666666667,20.5666666666667
"156",3590,26.8,20.6
"157",3661,26.2666666666667,20.6333333333333
"158",3629,25.7333333333333,20.6666666666667
"159",3539,25.2,20.7
"160",3465,24.9333333333333,20.6333333333333
"161",3500,24.6666666666667,20.5666666666667
"162",4231,24.4,20.5
"163",4414,24.2666666666667,20.3666666666667
"164",4349,24.1333333333333,20.2333333333333
"165",4172,24,20.1
"166",3909,24.1666666666667,20.4
"167",3771,24.3333333333333,20.7
"168",3716,24.5,21
"169",3526,25.6,21.1333333333333
"170",3409,26.7,21.2666666666667
"171",3357,27.8,21.4
"172",3308,28.0333333333333,21.8333333333333
"173",3310,28.2666666666667,22.2666666666667
"174",3378,28.5,22.7
"175",3401,28.6666666666667,22.3333333333333
"176",3625,28.8333333333333,21.9666666666667
"177",3814,29,21.6
"178",4164,28.1666666666667,21.3666666666667
"179",4413,27.3333333333333,21.1333333333333
"180",4425,26.5,20.9
"181",4411,26.0666666666667,20.7333333333333
"182",4454,25.6333333333333,20.5666666666667
"183",4357,25.2,20.4
"184",4300,24.9333333333333,20.1333333333333
"185",4271,24.6666666666667,19.8666666666667
"186",4846,24.4,19.6
"187",5055,24.3333333333333,19.5
"188",4876,24.2666666666667,19.4
"189",4643,24.2,19.3
"190",4319,24.4666666666667,19.5666666666667
"191",3904,24.7333333333333,19.8333333333333
"192",3855,25,20.1
"193",3806,26,20.4333333333333
"194",3674,27,20.7666666666667
"195",3610,28,21.1
"196",3580,28.4,21.2333333333333
"197",3752,28.8,21.3666666666667
"198",4024,29.2,21.5
"199",4179,29.4,21.0666666666667
"200",4418,29.6,20.6333333333333
"201",5118,29.8,20.2
"202",5584,28.2,19.9
"203",5790,26.6,19.6
"204",5711,25,19.3
"205",5786,25.0666666666667,19.5333333333333
"206",5849,25.1333333333333,19.7666666666667
"207",5732,25.2,20
"208",5660,25,19.8333333333333
"209",5452,24.8,19.6666666666667
"210",5802,24.6,19.5
"211",5776,24.5666666666667,19.7666666666667
"212",5518,24.5333333333333,20.0333333333333
"213",5261,24.5,20.3
"214",4857,24.8,20.4
"215",4578,25.1,20.5
"216",4406,25.4,20.6
"217",4256,26.0666666666667,20.7333333333333
"218",4088,26.7333333333333,20.8666666666667
"219",4047,27.4,21
"220",3997,28.1333333333333,19.9666666666667
"221",4190,28.8666666666667,18.9333333333333
"222",4393,29.6,17.9
"223",4312,29.1333333333333,18.1666666666667
"224",4839,28.6666666666667,18.4333333333333
"225",5252,28.2,18.7
"226",5762,27.4666666666667,18.7333333333333
"227",5980,26.7333333333333,18.7666666666667
"228",5849,26,18.8
"229",5835,25.6,18.7666666666667
"230",6031,25.2,18.7333333333333
"231",5898,24.8,18.7
"232",5769,24.5333333333333,18.8333333333333
"233",5594,24.2666666666667,18.9666666666667
"234",5929,24,19.1
"235",5902,23.6,19.2
"236",5688,23.2,19.3
"237",5435,22.8,19.4
"238",4936,23.3666666666667,19.1333333333333
"239",4723,23.9333333333333,18.8666666666667
"240",4543,24.5,18.6
"241",4303,26.5333333333333,19.1333333333333
"242",4165,28.5666666666667,19.6666666666667
"243",4097,30.6,20.2
"244",4061,30.9333333333333,20.4666666666667
"245",4237,31.2666666666667,20.7333333333333
"246",4524,31.6,21
"247",4343,30.9333333333333,21.3
"248",4682,30.2666666666667,21.6
"249",5312,29.6,21.9
"250",5757,28.7333333333333,21.7666666666667
"251",6029,27.8666666666667,21.6333333333333
"252",5885,27,21.5
"253",5805,26.9666666666667,21.4
"254",6168,26.9333333333333,21.3
"255",6037,26.9,21.2
"256",5953,26.4666666666667,21.2666666666667
"257",5789,26.0333333333333,21.3333333333333
"258",6028,25.6,21.4
"259",6079,25.4666666666667,21.3666666666667
"260",5865,25.3333333333333,21.3333333333333
"261",5600,25.2,21.3
"262",5209,25.3666666666667,21.4333333333333
"263",4939,25.5333333333333,21.5666666666667
"264",4776,25.7,21.7
"265",4574,26.6,21.8333333333333
"266",4430,27.5,21.9666666666667
"267",4292,28.4,22.1
"268",4311,29.0666666666667,22.0333333333333
"269",4487,29.7333333333333,21.9666666666667
"270",4677,30.4,21.9
"271",4736,29.8666666666667,21.8666666666667
"272",5039,29.3333333333333,21.8333333333333
"273",5668,28.8,21.8
"274",5927,28.4666666666667,21.4666666666667
"275",6239,28.1333333333333,21.1333333333333
"276",6099,27.8,20.8
"277",6046,27.5666666666667,20.6
"278",6301,27.3333333333333,20.4
"279",6174,27.1,20.2
"280",6071,26.5333333333333,20.3333333333333
"281",5924,25.9666666666667,20.4666666666667
"282",6185,25.4,20.6
"283",6158,25.2666666666667,20.7666666666667
"284",5968,25.1333333333333,20.9333333333333
"285",5705,25,21.1
"286",5345,25.2666666666667,20.9
"287",5018,25.5333333333333,20.7
"288",4677,25.8,20.5
"289",4593,26.8666666666667,20.4333333333333
"290",4444,27.9333333333333,20.3666666666667
"291",4357,29,20.3
"292",4260,29.4,20.5333333333333
"293",4497,29.8,20.7666666666667
"294",4669,30.2,21
"295",4728,30.1333333333333,20.4666666666667
"296",5201,30.0666666666667,19.9333333333333
"297",5540,30,19.4
"298",5975,29.1666666666667,19.2666666666667
"299",6249,28.3333333333333,19.1333333333333
"300",6121,27.5,19
"301",6120,27.1666666666667,19.6
"302",6295,26.8333333333333,20.2
"303",6157,26.5,20.8
"304",6044,26.2666666666667,20.6
"305",5808,26.0333333333333,20.4
"306",6052,25.8,20.2
"307",6087,25.5333333333333,20.4
"308",5813,25.2666666666667,20.6
"309",5568,25,20.8
"310",5204,25.1666666666667,20.7333333333333
"311",4938,25.3333333333333,20.6666666666667
"312",4753,25.5,20.6
"313",4559,27,21
"314",4421,28.5,21.4
