"","MW","TEMP","DEW.POINT"
"1",7.6272,20,11.6666666666667
"2",7.3581,19.75,11.5
"3",7.378,19.5,11.3333333333333
"4",8.2378,19.25,11.1666666666667
"5",9.2506,19,11
"6",11.8614,22,10.8
"7",14.298,24,11
"8",14.7884,25,12
"9",15.5191,26,13
"10",15.4435,26,14
"11",15.1178,28,15
"12",15.2701,27.6,13.7
"13",14.8298,27,16
"14",14.3731,26,16
"15",14.3366,23,16.6
"16",14.2752,20,15
"17",14.071,19,15
"18",14.9313,18.5833333333333,14.8333333333333
"19",16.493,18.1666666666667,14.6666666666667
"20",14.4777,17.75,14.5
"21",12.753,17.3333333333333,14.3333333333333
"22",10.9729,16.9166666666667,14.1666666666667
"23",9.3386,16.5,14
"24",8.2458,16.0833333333333,13.8333333333333
"25",7.7303,15.6666666666667,13.6666666666667
"26",7.6979,15.25,13.5
"27",7.6692,14.8333333333333,13.3333333333333
"28",7.6493,14.4166666666667,13.1666666666667
"29",8.9216,14,13
"30",11.8409,14.4,12.6
"31",14.8874,14.2,12.8
"32",16.5684,14,13
"33",18.7449,14.6,13.1
"34",19.082,15,14
"35",18.8448,15,14
"36",18.9036,16,15.2
"37",18.6221,17,13
"38",17.8337,18,13
"39",17.8288,18,13
"40",17.7737,17,13
"41",17.0664,16,13
"42",17.3098,15.9166666666667,13.0833333333333
"43",17.571,15.8333333333333,13.1666666666667
"44",15.7169,15.75,13.25
"45",13.3955,15.6666666666667,13.3333333333333
"46",11.7191,15.5833333333333,13.4166666666667
"47",10.3447,15.5,13.5
"48",9.0247,15.4166666666667,13.5833333333333
"49",8.5991,15.3333333333333,13.6666666666667
"50",8.2835,15.25,13.75
"51",7.8294,15.1666666666667,13.8333333333333
"52",8.1942,15.0833333333333,13.9166666666667
"53",9.2947,15,14
"54",12.4467,15.6,14.1
"55",15.1347,17,14
"56",16.5233,18,14
"57",18.225,20,13.2
"58",17.6787,21,14
"59",16.4123,22,14
"60",15.5479,22.8,15.2
"61",14.8413,22,15
"62",14.1316,23,15
"63",13.8442,21.4,15
"64",13.7786,20,14
"65",13.6749,19,14
"66",14.3011,18.5,13.8333333333333
"67",16.476,18,13.6666666666667
"68",14.6299,17.5,13.5
"69",12.9097,17,13.3333333333333
"70",11.1065,16.5,13.1666666666667
"71",9.5584,16,13
"72",8.5524,15.5,12.8333333333333
"73",8.0801,15,12.6666666666667
"74",7.6522,14.5,12.5
"75",7.6493,14,12.3333333333333
"76",7.8622,13.5,12.1666666666667
"77",9.0329,13,12
"78",12.1129,16.8,15.4
"79",14.7594,21,15
"80",14.7475,22,16
"81",15.5098,24.4,15.5
"82",15.1606,27,16
"83",14.5663,29,15
"84",14.4208,30,15
"85",14.1983,30,16
"86",13.3299,30,15
"87",13.4003,27.7,12.2
"88",13.2051,26.4,12.6222222222222
"89",13.2553,25.1,13.0444444444444
"90",14.1987,23.8,13.4666666666667
"91",15.9185,22.5,13.8888888888889
"92",14.137,21.2,14.3111111111111
"93",12.5209,19.9,14.7333333333333
"94",10.8244,18.6,15.1555555555556
"95",9.3511,17.3,15.5777777777778
"96",8.4042,16,16
"97",8.0384,16,15.5
"98",7.7665,16,15
"99",7.6538,15,15
"100",8.0112,15,14.6666666666667
"101",9.0192,15,14.3333333333333
"102",11.6432,15,14
"103",14.6669,15,14
"104",15.8134,15,14
"105",18.2119,15,14.1
"106",18.6003,15,14
"107",18.7224,15,14
"108",18.713,14.7,13.8
"109",18.74,15,14
"110",18.0205,14,14
"111",17.8146,14.2,14.2
"112",17.9757,14.08,14.08
"113",16.658,13.96,13.96
"114",16.6645,13.84,13.84
"115",16.558,13.72,13.72
"116",14.9698,13.6,13.6
"117",13.4204,13.48,13.48
"118",11.8196,13.36,13.36
"119",10.5251,13.24,13.24
"120",9.5152,13.12,13.12
"121",8.7088,13,13
"122",8.3273,12.88,12.88
"123",7.9648,12.76,12.76
"124",7.9184,12.64,12.64
"125",8.3654,12.52,12.52
"126",9.3993,12.4,12.4
"127",11.0784,13,12
"128",13.1854,13,13
"129",15.0231,13.6,12.5
"130",15.7712,14,13
"131",15.8096,14,12
"132",15.4364,13.4,12.5
"133",15.2282,13,13
"134",14.2108,13,13
"135",13.4396,12.8,12.8
"136",13.5577,12.7428571428571,12.7428571428571
"137",13.6323,12.6857142857143,12.6857142857143
"138",14.4759,12.6285714285714,12.6285714285714
"139",15.7088,12.5714285714286,12.5714285714286
"140",14.6784,12.5142857142857,12.5142857142857
"141",12.8784,12.4571428571429,12.4571428571429
"142",11.4003,12.4,12.4
"143",10.1627,12.3428571428571,12.3428571428571
"144",9.1661,12.2857142857143,12.2857142857143
"145",8.7721,12.2285714285714,12.2285714285714
"146",8.3004,12.1714285714286,12.1714285714286
"147",8.096,12.1142857142857,12.1142857142857
"148",8.245,12.0571428571429,12.0571428571429
"149",8.6707,12,12
"150",9.4687,12.4,12.4
"151",10.3817,12.7333333333333,12.7333333333333
"152",12.6246,13.0666666666667,13.0666666666667
"153",14.2954,13.4,13.4
"154",14.7932,14.2,13.7
"155",14.3783,15,14
"156",13.9017,15.2,12.9
"157",13.8422,16,13
"158",13.5231,15.5,13.5
"159",12.5047,15,14
"160",11.8358,14.8571428571429,13.8571428571429
"161",12.7005,14.7142857142857,13.7142857142857
"162",14.6703,14.5714285714286,13.5714285714286
"163",15.9817,14.4285714285714,13.4285714285714
"164",14.5816,14.2857142857143,13.2857142857143
"165",12.8893,14.1428571428571,13.1428571428571
"166",11.2189,14,13
"167",9.7906,13.8571428571429,12.8571428571429
"168",8.8093,13.7142857142857,12.7142857142857
"169",8.4531,13.5714285714286,12.5714285714286
"170",8.2192,13.4285714285714,12.4285714285714
"171",8.1916,13.2857142857143,12.2857142857143
"172",8.5011,13.1428571428571,12.1428571428571
"173",9.4861,13,12
"174",12.4966,14,12.2
"175",15.6731,16,12
"176",16.8678,17,13
"177",19.8942,17.5,11.5
"178",19.9437,19,11
"179",19.0968,19,13
"180",19.2255,20.3,13.7
"181",18.5512,21,13
"182",16.9452,20,13
"183",16.4896,20.2,11.8
"184",15.9505,18,15
"185",15.559,16,14
"186",15.6324,15.6666666666667,13.8333333333333
"187",17.8186,15.3333333333333,13.6666666666667
"188",16.1888,15,13.5
"189",14.435,14.6666666666667,13.3333333333333
"190",11.9801,14.3333333333333,13.1666666666667
"191",9.8249,14,13
"192",8.5814,13.6666666666667,12.8333333333333
"193",8.2054,13.3333333333333,12.6666666666667
"194",8.014,13,12.5
"195",8.1859,12.6666666666667,12.3333333333333
"196",8.4883,12.3333333333333,12.1666666666667
"197",10.3916,12,12
"198",15.0761,14.2,12.6
"199",15.9158,18,11
"200",15.1993,22,13
"201",16.3713,24.4,12.7
"202",16.0937,26,13
"203",15.6618,29,14
"204",15.369,28.8,14.8
"205",14.7001,28,15
"206",14.0054,28,15
"207",13.8391,26.8,13.7
"208",13.8112,25,12
"209",13.9789,24,12
"210",14.3354,23.6666666666667,12.25
"211",16.1821,23.3333333333333,12.5
"212",15.057,23,12.75
"213",12.7818,22.6666666666667,13
"214",11.1136,22.3333333333333,13.25
"215",9.195,22,13.5
"216",8.1629,21.6666666666667,13.75
"217",7.7841,21.3333333333333,14
"218",7.5642,21,14.25
"219",7.4857,20.6666666666667,14.5
"220",8.0336,20.3333333333333,14.75
"221",9.7075,20,15
"222",13.9901,22.5,11.8
"223",15.1231,22,13
"224",14.5613,23,15
"225",15.3526,23.5,15.4
"226",14.5658,24,15
"227",14.4323,24,15
"228",14.0592,24.3,15.8
"229",14.0746,25,15
"230",13.632,25,15
"231",13.7783,22.9,15.5
"232",13.9185,21,15
"233",14.1165,20.6153846153846,14.9230769230769
"234",15.1297,20.2307692307692,14.8461538461538
"235",16.2466,19.8461538461538,14.7692307692308
"236",14.354,19.4615384615385,14.6923076923077
"237",12.5264,19.0769230769231,14.6153846153846
"238",11.0695,18.6923076923077,14.5384615384615
"239",9.4916,18.3076923076923,14.4615384615385
"240",8.4226,17.9230769230769,14.3846153846154
"241",8.2189,17.5384615384615,14.3076923076923
"242",7.783,17.1538461538462,14.2307692307692
"243",7.5815,16.7692307692308,14.1538461538462
"244",8.2065,16.3846153846154,14.0769230769231
"245",9.7347,16,14
"246",13.9232,16.9,13.7
"247",15.4271,18.4333333333333,14.3
"248",15.2679,19.9666666666667,14.9
"249",16.0236,21.5,15.5
"250",15.4605,22,16
"251",14.8464,24,16
"252",14.4366,26,16.5
"253",14.0358,25,18
"254",13.6153,24,16
"255",13.7492,23.3,15.2
"256",13.7555,22.77,15.28
"257",13.521,22.24,15.36
"258",13.9982,21.71,15.44
"259",15.7888,21.18,15.52
"260",14.3542,20.65,15.6
"261",12.1805,20.12,15.68
"262",10.8496,19.59,15.76
"263",9.2362,19.06,15.84
"264",8.1304,18.53,15.92
"265",7.7501,18,16
"266",7.4881,17,15
"267",7.6389,17.3333333333333,15
"268",7.9988,17.6666666666667,15
"269",9.4826,18,15
"270",13.9076,19.2,14.8
"271",14.9174,24,15
"272",14.1725,27,15
"273",14.8622,28.6,15.8
"274",14.4274,31,12
"275",14.2935,32,9
"276",14.0637,32,12.3
"277",13.7586,31,12
"278",13.5386,31,12
"279",13.5443,29.8,12.4
"280",13.4457,28,12
"281",12.959,26,12
"282",13.3555,25,12
"283",14.7075,24.7272727272727,12.2727272727273
"284",13.352,24.4545454545455,12.5454545454545
"285",11.3536,24.1818181818182,12.8181818181818
"286",10.3711,23.9090909090909,13.0909090909091
"287",9.1075,23.6363636363636,13.3636363636364
"288",8.031,23.3636363636364,13.6363636363636
"289",7.7024,23.0909090909091,13.9090909090909
"290",7.3889,22.8181818181818,14.1818181818182
"291",7.1663,22.5454545454545,14.4545454545455
"292",7.801,22.2727272727273,14.7272727272727
"293",8.1786,22,15
"294",9.1245,23.4,12.3
"295",10.8956,24,12
"296",12.3296,26,11
"297",13.8143,27,11.8
"298",13.3415,27,13
"299",12.7092,28,11
"300",12.2378,27.5,10.4
"301",11.9241,30,10
"302",10.9037,29,8
"303",10.6835,28.5,11.6
"304",10.3575,27,11
"305",10.5322,26.0769230769231,11.2307692307692
"306",11.6707,25.1538461538462,11.4615384615385
"307",13.7175,24.2307692307692,11.6923076923077
"308",12.6931,23.3076923076923,11.9230769230769
"309",10.8537,22.3846153846154,12.1538461538462
"310",9.639,21.4615384615385,12.3846153846154
"311",8.8522,20.5384615384615,12.6153846153846
"312",7.9466,19.6153846153846,12.8461538461538
"313",7.6454,18.6923076923077,13.0769230769231
"314",7.3453,17.7692307692308,13.3076923076923
"315",7.1789,16.8461538461538,13.5384615384615
"316",7.264,15.9230769230769,13.7692307692308
"317",7.688,15,14
"318",8.561,15,14.1
"319",10.1319,15,14
"320",12.3574,14.6,13.85
"321",13.7008,14.2,13.7
"322",13.3566,15,13
"323",12.3727,15,13
"324",11.9082,16,12.9
"325",11.801,16,13
"326",11.3571,16,14
"327",11.2635,16,13.4
"328",11.305,16,13
"329",11.681,15.9142857142857,13.0428571428571
"330",13.1632,15.8285714285714,13.0857142857143
"331",14.0857,15.7428571428571,13.1285714285714
"332",13.5063,15.6571428571429,13.1714285714286
"333",12.0666,15.5714285714286,13.2142857142857
"334",10.4448,15.4857142857143,13.2571428571429
"335",8.8259,15.4,13.3
"336",7.9725,15.3142857142857,13.3428571428571
"337",7.6269,15.2285714285714,13.3857142857143
"338",7.6317,15.1428571428571,13.4285714285714
"339",7.7124,15.0571428571429,13.4714285714286
"340",8.0883,14.9714285714286,13.5142857142857
"341",9.7526,14.8857142857143,13.5571428571429
"342",14.2803,14.8,13.6
"343",15.1825,18,12
"344",14.2524,19,10
"345",15.2675,25.5,7.1
"346",14.8061,25.75,6.55
"347",14.6271,26,6
