"","MW","TEMP","DEW.POINT"
"1",2212.44822,-3.05,-15.85
"2",2278.31156,-4.4,-17.2
"3",2232.24538,-4.4,-17.2
"4",2178.81,-4.4,-16.1
"5",2121.38883,-5,-15.6
"6",2065.36094,-4.4,-15.6
"7",2147.61586,-4.7,-15.3
"8",2190.69303,-5.6,-15
"9",2279.36401,-5.6,-16.7
"10",2340.43368,-6.7,-18.3
"11",2425.82925,-6.7,-17.8
"12",2459.14783,-7.2,-19.4
"13",2496.16768,-7.2,-19.4
"14",2489.96524,-6.7,-18.9
"15",2493.10751,-6.1,-18.9
"16",2459.73026,-5,-18.9
"17",2398.58992,-4.4,-18.9
"18",2560.628,-3.3,-18.9
"19",2827.22601,-2.75,-18.9
"20",2885.61434,-1.7,-18.9
"21",2829.42618,-1.7,-18.3
"22",2854.6545,-2.2,-18.3
"23",2689.14232,-2.2,-17.8
"24",2579.26525,-2.2,-17.8
"25",2093.67066,-2.2,-17.5
"26",2034.49102,-3.9,-16.7
"27",1783.88648,-3.9,-12.2
"28",1776.73602,-5,-12.2
"29",1730.40292,-5,-12.2
"30",1787.12787,-3.9,-13.3
"31",1803.44009,-3.6,-12.5
"32",1919.25695,-3.3,-10.6
"33",2048.63116,-2.2,-8.9
"34",1978.36135,-1.7,-7.2
"35",1877.8484,-1.1,-7.2
"36",1935.51231,-0.6,-8.3
"37",1901.50059,-0.3,-8.3
"38",1880.7472,0.6,-7.8
"39",1943.13634,1.1,-7.8
"40",1901.74201,1.7,-7.8
"41",1860.62202,2.2,-7.8
"42",2036.60781,1.925,-4.6
"43",2476.48519,0.33,-2.42
"44",2590.88469,1.6,-2.9
"45",2557.4149,2.8,-2.8
"46",2515.08497,2.2,-2.2
"47",2428.327,1.1,-2.2
"48",2279.8798,0.6,-1.7
"49",2168.66839,0.85,-1.4
"50",1876.61627,0.6,-1.7
"51",1748.99463,0,-1.7
"52",1720.02935,0.6,-1.7
"53",1612.45308,0.6,-1.7
"54",1622.71812,-1.1,-2.8
"55",1689.3143,1.1,-5.55
"56",1734.78166,2.8,-9.4
"57",1859.59057,2.2,-9.4
"58",1936.20113,0,-9.4
"59",2001.5923,0.6,-10
"60",2079.45301,-1.1,-10
"61",2087.79378,-0.55,-10.3
"62",2058.96519,0.6,-10.6
"63",2047.24285,1.1,-10.6
"64",1935.55121,2.2,-10.6
"65",1928.45757,2.8,-11.1
"66",2172.92125,3.3,-11.1
"67",2502.86647,3.6,-10.85
"68",2592.35096,3.3,-10.6
"69",2554.53221,3.3,-10.6
"70",2562.16548,2.2,-10.6
"71",2478.19044,1.7,-10
"72",2330.76166,1.1,-10
"73",1796.12743,0,-9.45
"74",1929.35598,0,-9.4
"75",1740.08223,-2.8,-9.4
"76",1670.61714,-1.7,-8.9
"77",1739.10842,-3.3,-9.4
"78",1686.6561,-3.9,-8.9
"79",1769.34798,-4.15,-9.15
"80",1852.65215,-3.9,-9.4
"81",2060.20678,-3.9,-9.4
"82",2063.42582,-4.4,-10
"83",2204.66131,-3.3,-10
"84",2225.00492,-4.4,-10.6
"85",2208.61159,-3.85,-10.3
"86",2184.01699,-1.7,-11.7
"87",2110.28648,0,-14.4
"88",2139.40961,1.1,-13.9
"89",2185.16652,2.8,-13.3
"90",2375.13212,3.9,-12.2
"91",2648.62033,5,-12.2
"92",2676.53643,6.1,-12.8
"93",2557.34521,6.1,-11.1
"94",2574.91963,5.6,-8.9
"95",2336.78151,5,-8.9
"96",2073.86282,5,-9.4
"97",1697.76497,4.8,-7.66666666666667
"98",1526.24769,4.4,-6.1
"99",1385.2804,4.4,-6.1
"100",1414.00093,4.4,-5
"101",1390.68593,5,-6.1
"102",1370.98678,5,-5.3
"103",1525.08509,4.7,-4.75
"104",1862.10689,3.9,-1.7
"105",2020.75886,3.9,-0.6
"106",1782.24028,3.95,-0.8
"107",1633.96607,4.4,-0.6
"108",1588.00948,4.2,-1.05
"109",1513.07477,3.85,-0.85
"110",1507.37801,5.6,-0.6
"111",1471.72575,6.1,0.6
"112",1463.39369,8.3,1.1
"113",1560.76765,8.3,0.6
"114",1876.02798,8.9,0
"115",2283.52668,8.9,-1.1
"116",2418.13785,8.3,-3.9
"117",2442.00994,7.8,-2.8
"118",2414.34979,6.7,-3.9
"119",2278.78706,6.1,-5
"120",1983.62637,6.1,-6.1
"121",2018.3907,5.85,-6.4
"122",1471.11486,5.6,-7.2
"123",1393.1384,5.6,-8.9
"124",1382.44812,5.6,-10
"125",1356.75652,4.4,-11.1
"126",1487.96939,4.4,-11.7
"127",1606.78588,4.15,-11.95
"128",1899.57453,3.3,-12.8
"129",2076.58345,3.3,-12.8
"130",1913.65564,3.3,-12.2
"131",1828.38531,2.8,-11.7
"132",1796.93528,2.2,-14.4
"133",1748.98767,2.2,-14.7
"134",1716.29021,2.8,-14.4
"135",1750.43797,2.8,-15
"136",1715.24423,2.8,-13.9
"137",1892.35562,2.93333333333333,-14.4333333333333
"138",2198.89874,2.4,-8.4
"139",2576.73711,1.975,-6.7
"140",2753.84308,1.1,-4.4
"141",2718.81736,0.6,-3.3
"142",2630.88718,0.666666666666667,-2.4
"143",2472.67762,0,-1.72857142857143
"144",2269.02491,0,-0.8
"145",1926.58194,0,-0.8
"146",1785.79044,0,-0.9
"147",1686.42546,0,-0.6
"148",1565.5094,0,-0.8
"149",1589.46191,0,-0.733333333333333
"150",1604.88812,0,0
"151",1562.34693,0.3,0
"152",1939.99707,0.6,0.6
"153",2118.7024,1.05,0.8
"154",1919.73422,1.85,1.85
"155",1922.29015,2.2,1.7
"156",1844.86081,2.8,2.8
"157",1715.41665,2.9,2.25
"158",1669.77034,2.95,2.2
"159",1850.74823,2.95,2.8
"160",1568.86,3.15,2.9
"161",1872.61616,3.06,3.06
"162",1954.87313,3.3,3.3
"163",2331.85971,3.9,3.73333333333333
"164",2482.19419,5,4.13333333333333
"165",2478.70481,4.85,3.825
"166",2429.23603,3.96666666666667,3.1
"167",2375.00791,3.95,3.15
"168",2187.67819,3.96666666666667,3.1
"169",2066.88431,3.9,3.05
"170",1731.69645,5.6,2.2
"171",1693.05634,5.66666666666667,0.866666666666667
"172",1585.25767,4.4,-0.6
"173",1576.54213,3.9,-2.8
"174",1616.06619,3.9,-3.3
"175",1757.43993,3.35,-3.05
"176",2056.40902,3.3,-3.3
"177",2171.90561,3.3,-3.3
"178",1975.95202,2.8,-2.8
"179",1906.77405,2.8,-2.8
"180",1839.91753,2.8,-3.3
"181",1779.04271,2.8,-3.05
"182",1741.14213,3.9,-4.4
"183",1722.35887,3.3,-6.1
"184",1698.19739,3.9,-7.8
"185",1783.88968,5,-6.7
"186",2068.79953,4.4,-8.3
"187",2465.6145,4.15,-8.85
"188",2689.06999,4.4,-8.3
"189",2656.6483,3.3,-8.9
"190",2599.1221,2.2,-8.9
"191",2537.17798,1.7,-8.3
"192",2317.90178,1.1,-7.2
"193",2065.17757,0.85,-7.2
"194",1907.38381,0,-8.3
"195",1745.98695,-0.6,-9.4
"196",1717.15217,-0.6,-9.4
"197",1683.03875,-1.1,-9.4
"198",1743.42089,-1.7,-9.4
"199",1839.27729,-1.7,-9.4
"200",2138.81236,-1.7,-10
"201",2267.05589,-1.7,-9.4
"202",2079.95511,-1.7,-9.4
"203",1862.84717,-2.2,-9.4
"204",1847.62919,-2.8,-8.9
"205",1849.37633,-2.5,-8.6
"206",1786.4883,-1.1,-7.8
"207",1807.81298,0,-7.8
"208",1846.00875,0.6,-9.4
"209",1916.50217,1.1,-8.9
"210",2153.92344,1.1,-9.4
"211",2455.88355,1.4,-9.7
"212",2566.41983,1.7,-9.4
"213",2532.2635,1.1,-10.6
"214",2472.34513,0.6,-9.4
"215",2408.24062,0,-9.4
"216",2281.03845,0,-10
"217",2119.116,-0.3,-10
"218",1861.829,-1,-10
"219",1743.55652,-2.2,-9.4
"220",1671.10724,-1.1,-10
"221",1649.49302,-2.2,-10
"222",1599.43965,-1.1,-10
"223",1677.44378,-1.1,-10
"224",1764.33444,-1.1,-9.4
"225",1935.18887,-1.1,-9.4
"226",2064.67445,-1.1,-8.9
"227",2145.33577,-1.1,-8.9
"228",2255.45205,-1.85,-7.35
"229",2271.67796,-1.8,-6.8
"230",2268.11983,-1.1,-6.1
"231",2241.19548,-1.1,-6.1
"232",2151.35554,-0.6,-6.1
"233",2260.71781,0,-5.6
"234",2419.89967,0.6,-5.6
"235",2612.87067,0.85,-5.6
"236",2749.22431,1.1,-5
"237",2692.71215,1.1,-3.9
"238",2573.99924,1.05,-3.65
"239",2434.91978,0.866666666666667,-2.06666666666667
"240",2289.63935,0.25,-1.9625
"241",2099.16398,0,-1.16
"242",1874.73961,0,-1.05
"243",1655.04326,0,-1.1
"244",1567.49638,0,-1.1
"245",1575.397,0,-0.9
"246",1534.57912,0,-0.6
"247",1565.47227,0,-0.6
"248",1595.21606,-0.666666666666667,-0.866666666666667
"249",1891.94464,0.2,-0.666666666666667
"250",2148.45795,0.6,-0.6
"251",2321.11043,0.6,-0.6
"252",2440.554,0.533333333333333,-1.03333333333333
"253",2491.00207,0.6,-1.65
"254",2519.60553,1.05,-3.15
"255",2486.54505,1.1,-3.9
"256",2402.09085,1.1,-4.4
"257",2388.76129,1.1,-5.6
"258",2536.72681,0.6,-6.7
"259",2847.42193,0.3,-6.7
"260",2963.5089,0.6,-7.2
"261",2968.64606,0,-7.2
"262",2765.74761,-0.6,-7.8
"263",2622.02381,-1.1,-7.8
"264",2436.90645,-1.1,-7.8
"265",2031.46357,-1.1,-7.8
"266",1889.54907,-2,-8
"267",1801.02185,-1.7,-8.3
"268",1795.50468,-2.8,-8.3
"269",1817.18982,-2.8,-7.8
"270",1794.89052,-2.8,-8.3
"271",1930.74294,-3.05,-8.6
"272",2293.65104,-3.9,-8.9
"273",2441.21615,-4.4,-8.9
"274",2205.0467,-3.9,-8.9
"275",2027.4222,-3.3,-8.3
"276",1973.78147,-3.9,-8.3
"277",1944.45297,-3.6,-8.05
"278",1805.41902,-2.2,-8.3
"279",1782.60022,-1.1,-8.9
"280",1780.74503,0,-10
"281",1933.95878,0.6,-10
