"","MW","TEMP","DEW.POINT"
"1",3905.56833,25,17
"2",3855.675,25,17
"3",3814.44667,25,17
"4",3705.365,25.2,17.9
"5",3615.71333,25.2,17.9
"6",3517.24333,25.3,17.8
"7",3442.65333,25.3,17.8
"8",3372.21,25,18
"9",3331.55,25,18
"10",3304.24167,25.3,17.7
"11",3280.89333,25.3,17.7
"12",3278.81167,24.5,16.9
"13",3326.77,24.5,16.9
"14",3396.86167,23,17
"15",3513.71,23,17
"16",3617.73,23,16.8
"17",3801.56833,23,16.8
"18",3917.005,22.6,17
"19",3980.705,22.6,17
"20",4065.84167,23,17
"21",4117.4,23,17
"22",4175.26833,22.6,16.9
"23",4185.38833,22.6,16.9
"24",4181.63,22.5,17
"25",4184.18833,22.5,17
"26",4165.23667,22,18
"27",4120.125,22,18
"28",4106.89,20.6,17.8
"29",4087.325,20.6,17.8
"30",4096.84167,20,17.5
"31",4075.47167,20,17.5
"32",4074.88167,20,17
"33",4139.345,20,17
"34",4218.28167,19.2,16.8
"35",4283.085,19.2,16.8
"36",4340.065,18.7,16.5
"37",4366.685,18.7,16.5
"38",4484.55333,19,17
"39",4608.53,19,17
"40",4592.055,19.5,16.9
"41",4460.78833,19.5,16.9
"42",4369.49,21.3,17.2
"43",4224.38833,21.3,17.2
"44",4087.20333,23,17
"45",4170.19667,23,17
"46",4274.80833,24.4,16.7
"47",4349.14833,24.4,16.7
"48",4117.055,25.3,17.5
"49",3846.34167,25.3,17.5
"50",3631.515,25,17
"51",3477.67,25,17
"52",3418.715,25.2,17.9
"53",3365.965,25.2,17.9
"54",3335.64,25.2,17.1
"55",3324.09167,25.2,17.1
"56",3316.915,26,18
"57",3285.68667,26,18
"58",3330.56667,25.4,16.9
"59",3296.95667,25.4,16.9
"60",3283.07667,24.3,17
"61",3382.555,24.3,17
"62",3512.91667,23,17
"63",3653.775,23,17
"64",3874.41,23.1,17.1
"65",4074.04667,23.1,17.1
"66",4187.85333,22.8,17
"67",4277.14,22.8,17
"68",4316.28167,23,17
"69",4343.91333,23,17
"70",4341.79167,22.8,16.4
"71",4332.05667,22.8,16.4
"72",4321.82833,22.7,15.9
"73",4312.55667,22.7,15.9
"74",4301.19833,23,17
"75",4264.62,23,17
"76",4232.98833,21.8,17.3
"77",4230.56167,21.8,17.3
"78",4240.58667,21.1,17.2
"79",4252.27833,21.1,17.2
"80",4254.71667,21,17
"81",4275.67,21,17
"82",4275.04667,20.2,17.3
"83",4386.45833,20.2,17.3
"84",4527.22,20.2,16.9
"85",4552.47833,20.2,16.9
"86",4685.125,20,17
"87",4762.11667,20,17
"88",4720.05333,20.6,17
"89",4589.87333,20.6,17
"90",4474.93333,22.9,17.9
"91",4312.63667,22.9,17.9
"92",4200.94333,24,17
"93",4291.49167,24,17
"94",4435.865,25.2,16.4
"95",4509.28833,25.2,16.4
"96",4221.21167,24.6,16.3
"97",3951.29667,24.6,16.3
"98",3742.08333,26,17
"99",3566.25833,26,17
"100",3520.60667,25.5,17
"101",3485.74333,25.5,17
"102",3423.7,26,16.8
"103",3433.215,26,16.8
"104",3386.64833,26,17
"105",3362.72167,26,17
"106",3381.78167,25.6,17.3
"107",3414.18833,25.6,17.3
"108",3455.69667,25.1,17.6
"109",3627.96833,25.1,17.6
"110",3730.05167,24,17
"111",3923.68833,24,17
"112",4106.31167,23.6,16.6
"113",4281.68667,23.6,16.6
"114",4405.45833,22.7,17.5
"115",4511.71167,22.7,17.5
"116",4572.01667,23,18
"117",4582.97333,23,18
"118",4589.5,22,17.7
"119",4551.50667,22,17.7
"120",4538.41333,21.9,17.6
"121",4521.16167,21.9,17.6
"122",4474.86,22,18
"123",4439.11667,22,18
"124",4432.99333,22,18
"125",4406.38333,22,18
"126",4402.53667,21.3,18.1
"127",4433.38333,21.3,18.1
"128",4457.03667,21,17
"129",4469.69333,21,17
"130",4531.80167,19.4,18
"131",4607.88167,19.4,18
"132",4664.02667,19.6,18
"133",4668.92833,19.6,18
"134",4696.69167,20,18
"135",4863,20,18
"136",4825.44833,20.5,18.1
"137",4708.71667,20.5,18.1
"138",4647.87667,22.3,18.5
"139",4517.19667,22.3,18.5
"140",4411.95667,25,19
"141",4470.52,25,19
"142",4524.755,25.1,17.6
"143",4626.82,25.1,17.6
"144",4365.84,24.9,17.5
"145",4074.58667,24.9,17.5
"146",3878.08333,26,17
"147",3699.40667,26,17
"148",3617.21333,26.2,17.6
"149",3559.15833,26.2,17.6
"150",3515.90833,26.6,18.9
"151",3496.85667,26.6,18.9
"152",3502.485,26,19
"153",3551.45667,26,19
"154",3583.71667,26.1,17.7
"155",3634.325,26.1,17.7
"156",3765.45,26.1,19.1
"157",4049.295,26.1,19.1
"158",4361.11167,25,19
"159",4653.57,25,19
"160",4877.45833,24.2,19.4
"161",5139.79333,24.2,19.4
"162",5319.14667,23.9,19.8
"163",5351.77,23.9,19.8
"164",5340.09667,24,19
"165",5348.92,24,19
"166",5345.12667,23.7,19.5
"167",5330.91833,23.7,19.5
"168",5345.08167,23.7,19.7
"169",5316.72333,23.7,19.7
"170",5305.75,23,20
"171",5309.52,23,20
"172",5317.73,22,21
"173",5352.035,22,21
"174",5360.50667,22,20
"175",5340.42333,22,20
"176",5336.32167,21.5,20
"177",5321.15,21.5,20
"178",5342.83333,21,20
"179",5297.69,21,20
"180",5203.53833,20.3,19.3
"181",5160.37,20.3,19.3
"182",5174.57833,20,19
"183",5283.76167,20,19
"184",5211.685,20.4,19.6
"185",5056.20167,20.4,19.6
"186",4934.59833,23,20.4
"187",4815.175,23,20.4
"188",4728.32333,25,20
"189",4747.04333,25,20
"190",4779.64833,26.9,20.2
"191",4846.18833,26.9,20.2
"192",4592.89333,28.2,20.3
"193",4261.76167,28.2,20.3
"194",3923.34,30,19
"195",3762.49167,30,19
"196",3727.445,28.4,21.4
"197",3662.295,28.4,21.4
"198",3634.08667,29.4,22
"199",3594.57833,29.4,22
"200",3586.52167,29,22
"201",3614.005,29,22
"202",3685.565,28.7,22.6
"203",3779.115,28.7,22.6
"204",3920.745,26.8,22.7
"205",4185.095,26.8,22.7
"206",4443.25,27,23
"207",4760.08667,27,23
"208",5050.36333,24.9,20
"209",5262.36833,24.9,20
"210",5433.06667,24.9,20.7
"211",5537.69167,24.9,20.7
"212",5527.48833,24,20
"213",5563.78167,24,20
"214",5558.935,22.95,20.75
"215",5625.39333,22.95,20.75
"216",5622.44833,23.475,20.375
"217",5658.87833,23.475,20.375
"218",5661.29,24,20
"219",5706.45667,24,20
"220",5705.88167,22.8,17.5
"221",5656.44333,22.8,17.5
"222",5597.73,22.3,16.4
"223",5675.75167,22.3,16.4
"224",5663.05833,22,15
"225",5646.01333,22,15
"226",5663.08167,21.8,13.9
"227",5586.895,21.8,13.9
"228",5488.695,21,12
"229",5356.61667,21,12
"230",5339.06833,21,13
"231",5428.24833,21,13
"232",5375.72667,21.5,14.25
"233",5181.58167,21.5,14.25
"234",5079.13667,22,15.5
"235",4908.03833,22,15.5
"236",4780.35167,24,16
"237",4814.945,24,16
"238",4838.86667,24.6666666666667,16.3333333333333
"239",4903.40167,24.6666666666667,16.3333333333333
"240",4612.43167,25.3333333333333,16.6666666666667
"241",4273.77333,25.3333333333333,16.6666666666667
"242",4010.95833,26,17
"243",3866.31,26,17
"244",3771.41,25.3,16.6
"245",3726.35167,25.3,16.6
"246",3659.45,25.2,15.7
"247",3659.68,25.2,15.7
"248",3652.09833,26,17
"249",3690.92167,26,17
"250",3716.94833,26,16.3
"251",3826.90167,26,16.3
"252",3920.99,24.6,17
"253",4229.75667,24.6,17
"254",4486.76333,24,17
"255",4754.905,24,17
"256",5031.955,23.7,16.9
"257",5281.12667,23.7,16.9
"258",5400.29833,23,16.5
"259",5424.94167,23,16.5
"260",5464.25,23,16
"261",5455.67167,23,16
"262",5431.10833,22.5,15.9
"263",5457.92833,22.5,15.9
"264",5458.15167,23,16.7
"265",5452.92667,23,16.7
"266",5446.355,23,17
"267",5406.75333,23,17
"268",5403.725,22.3,16.9
"269",5397.545,22.3,16.9
"270",5421.82333,21.7,17.3
"271",5428.37667,21.7,17.3
"272",5336.20333,21,18
"273",5377.745,21,18
"274",5370.605,19.9,18.1
"275",5350.69833,19.9,18.1
"276",5386.60333,20.2,18.1
"277",5267.05667,20.2,18.1
"278",5364.10333,20.5,18.1
"279",5409.07333,20.5,18.1
"280",5331.44667,20.8,18.1
"281",5175.58,20.8,18.1
"282",5080.64333,22.8,18.2
"283",4889.98333,22.8,18.2
"284",4753.18167,23,18
"285",4776.51167,23,18
"286",4820.84833,25.1,18
"287",4885.27667,25.1,18
"288",4671.24167,24.8,17.6
"289",4284.47667,24.8,17.6
"290",4047.06333,26,18
"291",3860.15833,26,18
"292",3787.49667,24.8,17.5
"293",3745.83667,24.8,17.5
"294",3709.24,26,18
"295",3688.62167,26,18
"296",3677.99333,25,17
"297",3697.85,25,17
"298",3736.50833,24.4,17.9
"299",3788.195,24.4,17.9
"300",3882.145,24.8,17.3
"301",4221.455,24.8,17.3
"302",4509.77167,24,17
"303",4797.185,24,17
"304",5077.85167,23.5,17.4
"305",5249.77833,23.5,17.4
"306",5412.44333,23.25,17.2
"307",5510.875,23.25,17.2
"308",5487.23667,23,17
"309",5468.11333,23,17
"310",5481.02667,22.9,16.5
"311",5516.47,22.9,16.5
"312",5543.88,22.9,17
"313",5534.33333,22.9,17
"314",5488.83833,21,19
"315",5499.42167,21,19
"316",5454.58833,20.8,17.7
"317",5377.33833,20.8,17.7
"318",5409.67,20.2,18.3
"319",5371.99833,20.2,18.3
"320",5329.00167,20,19
"321",5323.09333,20,19
"322",5414.33667,20,18.4
"323",5326.19833,20,18.4
"324",5243.18833,20.1,18.2
"325",5130.065,20.1,18.2
"326",5151.65833,21,17
"327",5206.58833,21,17
"328",5138.435,20.7,17.5
"329",5005.005,20.7,17.5
"330",4923.24667,21.6,16.9
"331",4815.205,21.6,16.9
"332",4674.84833,23,16
"333",4709.01833,23,16
"334",4808.73167,24.7,15.4
"335",4847.37333,24.7,15.4
"336",4639.76333,25.7,15.9
"337",4294.97667,25.7,15.9
"338",3987.91,26,17
"339",3814.72667,26,17
"340",3673.945,25.3,16.2
"341",3659.24333,25.3,16.2
"342",3569.78333,24.9,16.5
"343",3556.425,24.9,16.5
"344",3527.64833,25,16
"345",3554.73833,25,16
"346",3580.38833,24.7,16.4
"347",3580.715,24.7,16.4
"348",3654.86167,24.6,17.1
"349",3794.95667,24.6,17.1
"350",3969.925,24,17
"351",4166.32167,24,17
"352",4376.17667,23.7,16.7
"353",4636.37,23.7,16.7
"354",4775.245,23.35,16.85
"355",4898.13833,23.35,16.85
"356",4934.19,23,17
"357",4926.45833,23,17
"358",4929.44667,22.6,16.5
"359",4878.68667,22.6,16.5
"360",4862.98167,21.9,16.7
"361",4840.54833,21.9,16.7
"362",4803.52667,21,17
"363",4759.02167,21,17
"364",4725.70167,20.8,16.2
"365",4706.575,20.8,16.2
"366",4709.61333,20.6,15.6
"367",4680.63667,20.6,15.6
"368",4719.03167,21,15
"369",4688.83167,21,15
"370",4724.03833,18.9,15.7
"371",4760.25167,18.9,15.7
"372",4769.24167,19.8,15.8
"373",4791.87333,19.8,15.8
"374",4886.72833,19,16
"375",5001.47667,19,16
"376",4965.54,20.3,15.6
"377",4793.45667,20.3,15.6
"378",4652.455,22.1,15.6
"379",4536.62333,22.1,15.6
"380",4423.075,23,16
"381",4501.505,23,16
"382",4610.51833,24.5,15.9
"383",4660.09167,24.5,15.9
"384",4413.655,25.3,15.8
"385",4127.91167,25.3,15.8
"386",3900.75833,27,16
"387",3746.43833,27,16
"388",3614.93833,26.4,16.7
"389",3556.66833,26.4,16.7
"390",3488.455,25.9,16.9
"391",3482.87833,25.9,16.9
"392",3503.85667,26,16
"393",3494.78667,26,16
"394",3476.88167,25.5,16.8
