"","MW","TEMP","DEW.POINT"
"1",4848.55,28,25
"2",4744.51,30,25
"3",4654.46,30,25
"4",4592.96,30,25
"5",4534.79,30,25
"6",4483.25,32,24
"7",4453.14,32,24
"8",4395.62,32,23
"9",4395.92,32,23
"10",4398.69,34,23
"11",4435.28,34,23
"12",4550.9,35,22
"13",4733.56,35,22
"14",4880.81,33,23
"15",5017.27,33,23
"16",5270.62,28,22
"17",5644.02,28,22
"18",5918.57,27,23
"19",6127.52,27,23
"20",6235.36,27,23
"21",6335.69,27,23
"22",6416.22,28,22
"23",6444.9,28,22
"24",6421.24,28,23
"25",6356.83,28,23
"26",6332.2,28,23
"27",6388.92,28,23
"28",6469.83,27,23
"29",6483.23,27,23
"30",6483.34,27,23
"31",6476.77,27,23
"32",6405.81,26.8333333333333,23.1666666666667
"33",6311.59,26.8333333333333,23.1666666666667
"34",6258.95,26.6666666666667,23.3333333333333
"35",6184.94,26.6666666666667,23.3333333333333
"36",6059.75,26.5,23.5
"37",5885.05,26.5,23.5
"38",5833.37,26.3333333333333,23.6666666666667
"39",5870.01,26.3333333333333,23.6666666666667
"40",5867.94,26.1666666666667,23.8333333333333
"41",5823.08,26.1666666666667,23.8333333333333
"42",5789.02,26,24
"43",5727.36,26,24
"44",5634.17,27,25
"45",5467.31,27,25
"46",5345.86,26,24
"47",5219.7,26,24
"48",5091.17,28,25
"49",4942.06,28,25
"50",4825.67,30,25
"51",4743.76,30,25
"52",4688.41,30,25
"53",4625.68,30,25
"54",4574.9,32,24
"55",4529.15,32,24
"56",4502.05,33,23
"57",4523.21,33,23
"58",4509.7,32,23
"59",4543.25,32,23
"60",4659.11,33,23
"61",4838.44,33,23
"62",4970.99,33,22
"63",5053.82,33,22
"64",5280.2,30,24
"65",5650.01,30,24
"66",5952.72,28,25
"67",6143.98,28,25
"68",6241.11,28,25
"69",6353.43,28,25
"70",6425.61,28,25
"71",6459.01,28,25
"72",6439.97,28,25
"73",6355.75,28,25
"74",6349.89,28,25
"75",6397.41,28,25
"76",6425.47,28,26
"77",6440.93,28,26
"78",6406.83,28,25
"79",6330.06,28,25
"80",6323.53,27.8333333333333,25
"81",6303.78,27.8333333333333,25
"82",6316.51,27.6666666666667,25
"83",6298.89,27.6666666666667,25
"84",6196.35,27.5,25
"85",6028.81,27.5,25
"86",5985.54,27.3333333333333,25
"87",6029.7,27.3333333333333,25
"88",6012.53,27.1666666666667,25
"89",5986.02,27.1666666666667,25
"90",5949.57,27,25
"91",5899.07,27,25
"92",5825.11,27,25
"93",5678.21,27,25
"94",5527.94,27,25
"95",5397.12,27,25
"96",5264.8,28,25
"97",5093.12,28,25
"98",4985.98,29,24
"99",4879.52,29,24
"100",4811,31,23
"101",4758.84,31,23
"102",4693.16,32,21
"103",4625.17,32,21
"104",4584.95,34,21
"105",4569.59,34,21
"106",4535.59,34,20
"107",4580.71,34,20
"108",4670.02,34,21
"109",4849.88,34,21
"110",4970.67,32,24
"111",5071.72,32,24
"112",5282.51,31,24
"113",5635.25,31,24
"114",5893.45,29,23
"115",6062.13,29,23
"116",6163.32,27,23
"117",6262.84,27,23
"118",6302.06,26,23
"119",6360.91,26,23
"120",6341.42,26,24
"121",6265.64,26,24
"122",6257.87,27,23
"123",6339.64,27,23
"124",6397.74,26,23
"125",6432.47,26,23
"126",6430.69,26,24
"127",6406.92,26,24
"128",6396.68,26,24
"129",6368.82,26,24
"130",6320.5,26,24
"131",6238.69,26,24
"132",6126.76,26,24
"133",5936.49,26,24
"134",5893.89,26,24
"135",5905.48,26,24
"136",5881.18,26,24
"137",5842.85,26,24
"138",5806.98,26,24
"139",5744.91,26,24
"140",5646.75,26,24
"141",5482.84,26,24
"142",5338.54,26,24
"143",5220.63,26,24
"144",5075.96,28,25
"145",4933.82,27,24
"146",4820.42,28,24
"147",4726.25,28,24
"148",4653.1,30,24
"149",4590.96,30,24
"150",4542.05,32,23
"151",4499.47,32,23
"152",4474.78,32,23
"153",4473.62,32,23
"154",4469.47,33,23
"155",4508.82,33,23
"156",4595.53,33,24
"157",4765.8,33,24
"158",4898.5,27,25
"159",5004.06,27,25
"160",5213.65,28,26
"161",5546.7,28,26
"162",5804.58,26,24
"163",5997.06,26,24
"164",6096.45,26,25
"165",6212.63,26,25
"166",6314.34,27,25
"167",6346.1,27,25
"168",6312.14,27,25
"169",6263.33,27,25
"170",6244.35,26,25
"171",6328.17,26,25
"172",6389.13,27,25
"173",6415.47,27,25
"174",6427.97,27,25
"175",6404.25,27,25
"176",6396.7,26.8333333333333,25
"177",6362.55,26.8333333333333,25
"178",6326.25,26.6666666666667,25
"179",6256.23,26.6666666666667,25
"180",6125.33,26.5,25
"181",5954.37,26.5,25
"182",5912.79,26.3333333333333,25
"183",5942.57,26.3333333333333,25
"184",5926.23,26.1666666666667,25
"185",5893.68,26.1666666666667,25
"186",5878.01,26,25
"187",5814.65,26,25
"188",5717.09,26,25
"189",5562.21,26,25
"190",5421.21,26,24
"191",5281.75,26,24
"192",5154,27,24
"193",5006.34,27,23
"194",4895.24,29,24
"195",4811.51,29,24
"196",4744.87,30,25
"197",4668.84,30,25
"198",4628.37,31,24
"199",4571.26,31,24
"200",4533.6,31,23
"201",4506.82,31,23
"202",4494.02,32,23
"203",4526.86,32,23
"204",4607.18,34,23
"205",4779.65,34,23
"206",4903.21,34,23
"207",4995.59,34,23
"208",5211.72,33,22
"209",5559.78,33,22
"210",5809.41,33,23
"211",5963.17,33,23
"212",6072.2,34,23
"213",6193.67,34,23
"214",6286.69,32,22
"215",6361.81,32,22
"216",6325.98,31,23
"217",6276.27,31,23
"218",6270.33,30,23
"219",6345.18,30,23
"220",6405.13,30,24
"221",6437.61,30,24
"222",6453.95,29,24
"223",6400.2,29,24
"224",6455.4,29,24
"225",6480.61,29,24
"226",6461.05,29,24
"227",6374.26,29,24
"228",6221.84,29,24
"229",6038.67,29,24
"230",5961.84,29,24
"231",6000.94,29,24
"232",5985.82,29,24
"233",5917.3,29,24
"234",5877.93,29,24
"235",5828.89,29,24
"236",5745.37,28,22
"237",5626.74,28,22
"238",5548.29,27,22
"239",5430.16,27,22
"240",5352.27,27,23
"241",5234.05,27,22
"242",5117.39,28,24
"243",5030.82,28,24
"244",4943.03,29,24
"245",4879.78,29,24
