"","MW","TEMP","DEW.POINT"
"1",105.29,26,23.3
"2",105.5,25,23
"3",106.48,25,23
"4",105.75,25,22.05
"5",104.36,24,22
"6",100.32,24,22.25
"7",96.33,24,22.5
"8",74.41,24,23
"9",73.03,26,23.5
"10",76.37,28,23
"11",78.86,30,23
"12",81.29,31,24
"13",82.74,31,23
"14",84.14,30,24
"15",83.43,30,24
"16",83.53,30,24
"17",82.3,28.5,24
"18",95.24,27,24
"19",116.78,27,24
"20",119.36,26.5,24
"21",119.73,26,24
"22",119.74,26.65,23.95
"23",114.49,26,24
"24",110.37,25.6666666666667,23.6666666666667
"25",108.31,25.3333333333333,23.3333333333333
"26",106.63,25,23
"27",105.53,25,24
"28",103.94,25,24
"29",102.02,25,24
"30",104.09,25,24
"31",102.29,25,24
"32",94.36,25.5,24
"33",101.72,26,24
"34",106.86,27.875,24.1
"35",108.78,30,23
"36",107.47,30,23.5
"37",110.28,31,23
"38",110.55,29,24
"39",113.97,29.6666666666667,23.6666666666667
"40",114.78,30.125,24
"41",111.08,28,24
"42",109.83,28,24
"43",136.76,27.5,24.5
"44",137.52,28,25
"45",143.44,28,25
"46",145.24,28,24.9
"47",141.17,27,25
"48",134.59,26,23
"49",122.39,25.5,23
"50",121.66,25,22
"51",124.06,25,22
"52",126.88,25.2,22.5
"53",126.13,25,22.5
"54",126.03,25,23
"55",119.77,25,23
"56",120.46,25.5,23.5
"57",124.22,26,24
"58",125.74,28,24
"59",135.34,29,24
"60",134.16,30,23
"61",132.04,31,24
"62",133.32,30,23
"63",136.22,31,23
"64",138.27,30.65,23.75
"65",133.95,30,24
"66",141.39,29,24.5
"67",163.55,28,25
"68",162.81,27,25
"69",159.3,27,25
"70",160.94,27.5,24.95
"71",157.18,27,25
"72",149.2,27,25
"73",146.31,27,25
"74",138.31,27,25
"75",139.5,27,25
"76",141.34,26.25,24.9
"77",124.29,26,25
"78",123.83,26,24
"79",126.47,26,24
"80",102.85,25,24
"81",103.06,26,24
"82",102.7,27.5,23.2
"83",109.9,29,23
"84",111.72,30,22
"85",113.69,32,22
"86",113.21,32,21
"87",116.32,31,23
"88",119.4,30.8,23.75
"89",116.35,29,24
"90",118.52,29,24
"91",149.41,28,24
"92",160.19,28,24
"93",160.28,29,25
"94",161.56,28,25
"95",154.91,28,25
"96",155.39,27,25
"97",150.01,27,25
"98",147.86,27,25
"99",145.55,26.5,24.5
"100",143.06,26,24
"101",138.4,25.6666666666667,24
"102",134.91,25.3333333333333,24
"103",127.21,25,24
"104",112.58,25.5,24
"105",107.18,27,24
"106",102.64,27.75,23.9
