"","MW","TEMP","DEW.POINT"
"1",30320,6,-9.8
"2",28260,8.1,-10.7
"3",26400,8.6,-12.5
"4",25090,9.9,-12
"5",24330,10.8,-11.3
"6",24360,10.1,-10.7
"7",25310,9,-11.6
"8",27030,8.6,-8
"9",28750,7.7,-8.4
"10",28930,7.2,-7.6
"11",28180,6.9,-7.9
"12",27340,6.1,-8.2
"13",26900,5.4,-7.1
"14",26620,4.8,-6.7
"15",26690,4.8,-7.3
"16",27390,4.1,-7.4
"17",29700,4.6,-7.8
"18",32930,4.1,-7.1
"19",33580,4.6,-8.5
"20",33530,1.9,-6.7
"21",33460,1.3,-6.7
"22",33000,1.3,-6.7
"23",31780,2,-5.8
"24",30400,3.3,-6.7
"25",27980,7.3,-11.9
"26",26270,7.5,-9.4
"27",24990,9,-11
"28",23970,9.9,-9.7
"29",23490,10.5,-10.9
"30",23960,10.3,-12.3
"31",25540,9.9,-10.3
"32",27960,9.1,-8.9
"33",30160,8.3,-8.7
"34",30750,7.7,-8.8
"35",30190,7,-8.6
"36",29190,6.6,-8.9
"37",28500,6.3,-9.2
"38",27990,5.8,-9.6
"39",27750,5.7,-8.9
"40",28230,4.7,-8.4
"41",30760,2.9,-7.3
"42",34200,3.5,-6.7
"43",34790,3.1,-6.6
"44",34720,1.9,-6.7
"45",34470,3.5,-7.3
"46",33950,3,-7.2
"47",32860,3.4,-8
"48",31430,2.9,-7.3
"49",28910,3.9,-7.2
"50",26830,6.3,-6.3
"51",25500,8,-5.4
"52",24420,8.6,-6
"53",23920,9.1,-7.1
"54",24200,10,-5.9
"55",25750,9.3,-3.6
"56",28380,9.2,-4.4
"57",30800,8,-3.5
"58",31890,8.5,-3.7
"59",31620,8.8,-4.4
"60",30490,6.1,-3
"61",29650,5,-3.3
"62",29070,5.2,-2.4
"63",28730,6.3,-3.3
"64",29170,5.5,-3.6
"65",31830,4.4,-3.1
"66",35380,4.4,-3.6
"67",35930,4.8,-4
"68",35770,3.3,-3.5
"69",35470,3.2,-3.8
"70",34510,3.8,-4.6
"71",33110,3.8,-4.4
"72",31210,3.9,-4.1
"73",28610,5.6,-4.3
"74",26790,7.7,-5
"75",25440,8.3,-4.8
"76",24520,10.3,-5.7
"77",24150,11,-7.3
"78",25240,11.7,-6.2
"79",28270,10.9,-5.1
"80",32080,10.1,-5.4
"81",35620,9.4,-5.7
"82",36580,8.7,-7.1
"83",36020,8.2,-6.7
"84",35110,7.4,-7.1
"85",34070,7.2,-6.5
"86",33800,6.8,-5.5
"87",33490,6.3,-5.7
"88",33940,6.1,-5.8
"89",36720,5.9,-5.7
"90",40070,5.5,-5.8
"91",40370,5.4,-5
"92",39850,5,-5.7
"93",39040,5.2,-6.1
"94",37370,4.9,-5.7
"95",35260,4.5,-4.7
"96",33350,4.6,-4.9
"97",30470,4.8,-5.8
"98",28460,5,-6.5
"99",26890,5.5,-6.7
"100",25700,6.7,-5.9
"101",25260,7.1,-5.3
"102",25840,8.1,-2.5
"103",28050,8.2,-1.6
"104",31550,8.4,-0.4
"105",36200,7.8,0.3
"106",39340,8.1,0.3
"107",39990,7.3,0.7
"108",38710,6,0.6
"109",37030,5.3,0.9
"110",35950,4.8,0.8
"111",35220,5.3,0.3
"112",35200,4.6,-1
"113",37620,3.5,-1.5
"114",40900,4,-1.8
"115",41200,2.5,-1.8
"116",40730,3.9,-1.9
"117",39990,2.4,-1.9
"118",38340,2.4,-2.1
"119",36330,3,-1.9
"120",34530,3.6,-2.4
"121",31690,7.2,-2
"122",29690,9.4,-2.5
"123",28050,11.3,-2.9
"124",26930,12.9,-3.8
"125",26260,13,-4.6
"126",26500,12.5,-0.4
"127",28330,13.2,2.4
"128",31060,12.8,1.2
"129",34150,10.5,1.3
"130",35660,9.4,2
"131",35220,8.4,2
"132",34010,7.6,2.1
"133",33120,7.3,2
"134",32660,6.7,1.6
"135",32090,7,2.1
"136",32330,6,1.7
"137",34840,5.5,1.1
"138",39110,5.3,0.7
"139",40000,6.1,0.2
"140",39700,5.1,0.1
"141",38990,5,-0.4
"142",37610,4.6,-0.4
"143",35500,5.2,-0.2
"144",33140,9.1,2.9
"145",30150,10.7,0.2
"146",28390,11.3,0.1
"147",27030,11.6,2.6
"148",26290,11.8,2.8
"149",26300,11.2,2.8
"150",28250,10.4,2.7
"151",33090,10.7,2.5
"152",38400,9.6,2.2
"153",43250,8.9,2.9
"154",45700,9,3.2
"155",45710,8.6,2.6
"156",46070,8.8,2.4
"157",44090,8.4,2.8
"158",46020,8.7,2.1
"159",46180,8.3,1.7
"160",46340,7.4,1.9
"161",48250,6.6,1.9
"162",48430,7.3,1.4
"163",47140,5.9,0.9
"164",45350,5.1,0.5
"165",43440,4.9,0.7
"166",41590,4.2,0.7
"167",40170,4.9,0.7
"168",37210,6.6,1.5
"169",33550,8.3,1.2
"170",31380,10.7,3
"171",30050,11.4,3.7
"172",29130,12.8,4
"173",29050,13.5,4.4
"174",30900,13.3,4.5
"175",36000,13.6,5.8
"176",40680,13.4,4.8
"177",44430,13,5.2
"178",46010,12.1,6
"179",45160,10.6,6
"180",43990,12.4,6
"181",40770,10.7,6.1
"182",42210,10.2,4.4
"183",41960,10.2,0
"184",41900,10.1,-0.4
"185",44310,9.8,-0.4
"186",46900,9.4,-0.2
"187",46410,8.8,0
"188",44670,9,-0.3
"189",43080,9,-0.3
"190",40960,8,0.7
"191",39600,9.5,0.7
"192",36700,9.2,1.1
"193",33390,9.6,1.7
"194",31350,9.9,1.5
"195",29870,10.6,1.7
"196",28840,11.3,2.3
"197",28740,11.4,2.4
"198",30340,11.7,3.2
"199",34860,12.2,3.4
"200",39720,12.5,3.7
"201",43990,12.3,4.5
"202",46070,11.9,5.8
"203",45700,11.2,5.7
"204",44740,11.3,5.4
"205",41480,10.6,-1.5
"206",42660,10.3,-2.7
"207",42330,9.9,-3.1
"208",42150,9.2,-3
"209",44550,8.2,-2.7
"210",46930,8.8,-2.8
"211",46170,7.9,-2.7
"212",44530,7.5,-3.4
"213",42890,7.1,-3.2
"214",40880,6.5,-2.4
"215",39720,5.9,-1.7
"216",37090,6.3,-1.4
"217",33830,7,-2.2
"218",31860,8.2,-3
"219",30420,8.9,-3.3
"220",29570,10.4,-3
"221",29510,10.7,-2.7
"222",31260,11.9,-2
"223",36200,12.3,-0.6
"224",40770,11.9,1.5
"225",44500,11.8,2.3
"226",46220,11.5,2.3
"227",45560,10.6,3.2
"228",44490,10,2.4
"229",41340,9.4,1.8
"230",42880,8,-0.5
"231",42790,7.7,-1.5
"232",42850,7.5,-1.2
"233",45450,7.3,-2.4
"234",47960,7,-2.7
"235",47420,6.8,-2.9
"236",45710,5.5,-1.9
"237",43920,5.7,-2.4
"238",41890,5.3,-1.8
"239",40670,4.9,-2.2
"240",37940,5.1,-2.9
"241",34530,6.8,-2.9
"242",32350,9.1,-1.9
"243",30950,10.1,-1.9
"244",29970,11.5,-1.6
"245",29890,12.4,-0.8
"246",31660,12.3,-0.9
"247",36650,12,-1.5
"248",41350,12.2,-0.7
"249",45310,11.9,0.4
"250",46920,11.7,2.2
"251",46060,11.5,2.8
"252",44900,12.1,1.7
"253",41670,11.2,0
"254",43250,10.6,0.6
"255",43440,10.6,0.9
"256",43980,10.7,0.7
"257",46640,10.5,0.5
