"city","YR","M","D","HR","MIN","MW"
"Accra",2013,1,1,1,0,325.8861518
"Accra",2013,1,1,2,0,326.355535
"Accra",2013,1,1,3,0,330.6232108
"Accra",2013,1,1,4,0,326.1053918
"Accra",2013,1,1,5,0,318.5761226
"Accra",2013,1,1,6,0,312.0474228
"Accra",2013,1,1,7,0,288.4894044
"Accra",2013,1,1,8,0,283.5503103
"Accra",2013,1,1,9,0,287.6150293
"Accra",2013,1,1,10,0,287.8167895
"Accra",2013,1,1,11,0,289.1554767
"Accra",2013,1,1,12,0,290.7157441
"Accra",2013,1,1,13,0,295.7496064
"Accra",2013,1,1,14,0,308.3726817
"Accra",2013,1,1,15,0,315.6161883
"Accra",2013,1,1,16,0,314.5956073
"Accra",2013,1,1,17,0,311.2224768
"Accra",2013,1,1,18,0,317.1691343
"Accra",2013,1,1,19,0,364.6872249
"Accra",2013,1,1,20,0,387.3179888
"Accra",2013,1,1,21,0,391.6710212
"Accra",2013,1,1,22,0,384.4781185
"Accra",2013,1,1,23,0,364.4534614
"Accra",2013,1,2,0,0,342.3739048
"Accra",2013,1,2,1,0,324.2143985
"Accra",2013,1,2,2,0,310.3080911
"Accra",2013,1,2,3,0,301.1265958
"Accra",2013,1,2,4,0,294.5827663
"Accra",2013,1,2,5,0,291.4086985
"Accra",2013,1,2,6,0,294.8205787
"Accra",2013,1,2,7,0,289.6801699
"Accra",2013,1,2,8,0,300.4851376
"Accra",2013,1,2,9,0,323.1539574
"Accra",2013,1,2,10,0,342.8761079
"Accra",2013,1,2,11,0,355.0876479
"Accra",2013,1,2,12,0,324.5258355
"Accra",2013,1,2,13,0,314.1200198
"Accra",2013,1,2,14,0,332.6252959
"Accra",2013,1,2,15,0,362.5949386
"Accra",2013,1,2,16,0,367.636233
"Accra",2013,1,2,17,0,362.4565207
"Accra",2013,1,2,18,0,358.1189573
"Accra",2013,1,2,19,0,392.7714674
"Accra",2013,1,2,20,0,405.0360703
"Accra",2013,1,2,21,0,402.4228825
"Accra",2013,1,2,22,0,390.1029163
"Accra",2013,1,2,23,0,366.8690294
"Accra",2013,1,3,0,0,340.7121749
"Accra",2013,1,3,1,0,318.9449434
"Accra",2013,1,3,2,0,305.1695819
"Accra",2013,1,3,3,0,297.1590636
"Accra",2013,1,3,4,0,291.2250464
"Accra",2013,1,3,5,0,289.3150222
"Accra",2013,1,3,6,0,293.2990895
"Accra",2013,1,3,7,0,291.2809801
"Accra",2013,1,3,8,0,303.0356244
"Accra",2013,1,3,9,0,315.2845633
"Accra",2013,1,3,10,0,323.9232358
"Accra",2013,1,3,11,0,351.1006405
"Accra",2013,1,3,12,0,363.1692539
"Accra",2013,1,3,13,0,370.7019124
"Accra",2013,1,3,14,0,371.0645172
"Accra",2013,1,3,15,0,372.0386039
"Accra",2013,1,3,16,0,373.1595119
"Accra",2013,1,3,17,0,363.4153124
"Accra",2013,1,3,18,0,359.1484241
"Accra",2013,1,3,19,0,389.5507801
"Accra",2013,1,3,20,0,404.2833023
"Accra",2013,1,3,21,0,404.5133335
"Accra",2013,1,3,22,0,396.5896148
"Accra",2013,1,3,23,0,379.2744395
"Accra",2013,1,4,0,0,352.2858198
"Accra",2013,1,4,1,0,331.739233
"Accra",2013,1,4,2,0,314.7082377
"Accra",2013,1,4,3,0,304.2541118
"Accra",2013,1,4,4,0,298.3179349
"Accra",2013,1,4,5,0,294.7012946
"Accra",2013,1,4,6,0,299.4469823
"Accra",2013,1,4,7,0,293.9053387
"Accra",2013,1,4,8,0,309.6250335
