city,YR,M,D,HR,MIN,MW
Chandigarh,2011,3,28,0,0,118.3032
Chandigarh,2011,3,28,0,15,120.9388
Chandigarh,2011,3,28,0,30,122.5568
Chandigarh,2011,3,28,0,45,121.4264
Chandigarh,2011,3,28,1,0,119.7636
Chandigarh,2011,3,28,1,15,119.8864
Chandigarh,2011,3,28,1,30,116.8284
Chandigarh,2011,3,28,1,45,117.6088
Chandigarh,2011,3,28,2,0,114.292
Chandigarh,2011,3,28,2,15,115.1876
Chandigarh,2011,3,28,2,30,115.6496
Chandigarh,2011,3,28,2,45,116.7912
Chandigarh,2011,3,28,3,0,116.5668
Chandigarh,2011,3,28,3,15,116.052
Chandigarh,2011,3,28,3,30,115.9556
Chandigarh,2011,3,28,3,45,112.2492
Chandigarh,2011,3,28,4,0,115.3364
Chandigarh,2011,3,28,4,15,117.396
Chandigarh,2011,3,28,4,30,120.3908
Chandigarh,2011,3,28,4,45,121.3348
Chandigarh,2011,3,28,5,0,121.8852
Chandigarh,2011,3,28,5,15,126.9732
Chandigarh,2011,3,28,5,30,131.9692
Chandigarh,2011,3,28,5,45,134.7312
Chandigarh,2011,3,28,6,0,141.8612
Chandigarh,2011,3,28,6,15,149.9376
Chandigarh,2011,3,28,6,30,156.8004
Chandigarh,2011,3,28,6,45,160.8588
Chandigarh,2011,3,28,7,0,166.0116
Chandigarh,2011,3,28,7,15,169.1172
Chandigarh,2011,3,28,7,30,172.4888
Chandigarh,2011,3,28,7,45,170.5628
Chandigarh,2011,3,28,8,0,170.4076
Chandigarh,2011,3,28,8,15,176.9576
Chandigarh,2011,3,28,8,30,178.6552
Chandigarh,2011,3,28,8,45,182.7776
Chandigarh,2011,3,28,9,0,179.5416
Chandigarh,2011,3,28,9,15,175.85
Chandigarh,2011,3,28,9,30,175.3876
Chandigarh,2011,3,28,9,45,169.762
Chandigarh,2011,3,28,10,0,172.8268
Chandigarh,2011,3,28,10,15,177.6944
Chandigarh,2011,3,28,10,30,180.4796
Chandigarh,2011,3,28,10,45,184.7828
Chandigarh,2011,3,28,11,0,186.5868
Chandigarh,2011,3,28,11,15,186.8756
Chandigarh,2011,3,28,11,30,186.7008
Chandigarh,2011,3,28,11,45,187.6248
Chandigarh,2011,3,28,12,0,184.7156
Chandigarh,2011,3,28,12,15,181.566
Chandigarh,2011,3,28,12,30,181.8704
Chandigarh,2011,3,28,12,45,186.608
Chandigarh,2011,3,28,13,0,186.3016
Chandigarh,2011,3,28,13,15,184.4136
Chandigarh,2011,3,28,13,30,186.0176
Chandigarh,2011,3,28,13,45,187.7352
Chandigarh,2011,3,28,14,0,183.2024
Chandigarh,2011,3,28,14,15,164.4436
Chandigarh,2011,3,28,14,30,166.5916
Chandigarh,2011,3,28,14,45,179.636
Chandigarh,2011,3,28,15,0,180.8588
Chandigarh,2011,3,28,15,15,180.4136
Chandigarh,2011,3,28,15,30,179.6604
Chandigarh,2011,3,28,15,45,169.5388
Chandigarh,2011,3,28,16,0,167.348
Chandigarh,2011,3,28,16,15,170.0764
Chandigarh,2011,3,28,16,30,176.5808
Chandigarh,2011,3,28,16,45,178.6836
Chandigarh,2011,3,28,17,0,181.4908
Chandigarh,2011,3,28,17,15,181.79
Chandigarh,2011,3,28,17,30,182.866
Chandigarh,2011,3,28,17,45,184.7892
Chandigarh,2011,3,28,18,0,185.1388
Chandigarh,2011,3,28,18,15,184.1572
Chandigarh,2011,3,28,18,30,193.8068
Chandigarh,2011,3,28,18,45,200.2592
Chandigarh,2011,3,28,19,0,207.0016
Chandigarh,2011,3,28,19,15,206.3676
Chandigarh,2011,3,28,19,30,200.8312
Chandigarh,2011,3,28,19,45,203.1604
Chandigarh,2011,3,28,20,0,199.9288
Chandigarh,2011,3,28,20,15,199.7016
Chandigarh,2011,3,28,20,30,196.5416
Chandigarh,2011,3,28,20,45,193.5668
Chandigarh,2011,3,28,21,0,186.708
Chandigarh,2011,3,28,21,15,176.8104
Chandigarh,2011,3,28,21,30,176.5752
Chandigarh,2011,3,28,21,45,172.7572
Chandigarh,2011,3,28,22,0,161.5676
Chandigarh,2011,3,28,22,15,158.8
Chandigarh,2011,3,28,22,30,155.2084
Chandigarh,2011,3,28,22,45,151.2508
Chandigarh,2011,3,28,23,0,144.6112
Chandigarh,2011,3,28,23,15,141.7932
Chandigarh,2011,3,28,23,30,131.4832
Chandigarh,2011,3,28,23,45,128.182
Chandigarh,2011,3,29,0,0,125.8128
Chandigarh,2011,3,29,0,15,124.482
Chandigarh,2011,3,29,0,30,126.4932
Chandigarh,2011,3,29,0,45,124.1956
Chandigarh,2011,3,29,1,0,125.0572
Chandigarh,2011,3,29,1,15,125.454
Chandigarh,2011,3,29,1,30,122.9368
Chandigarh,2011,3,29,1,45,123.0304
Chandigarh,2011,3,29,2,0,120.6636
Chandigarh,2011,3,29,2,15,119.2868
Chandigarh,2011,3,29,2,30,120.6476
Chandigarh,2011,3,29,2,45,120.1568
Chandigarh,2011,3,29,3,0,119.568
Chandigarh,2011,3,29,3,15,119.9268
Chandigarh,2011,3,29,3,30,119.9764
Chandigarh,2011,3,29,3,45,120.8396
Chandigarh,2011,3,29,4,0,119.21
Chandigarh,2011,3,29,4,15,117.2316
Chandigarh,2011,3,29,4,30,123.808
Chandigarh,2011,3,29,4,45,127.3256
Chandigarh,2011,3,29,5,0,131.502
Chandigarh,2011,3,29,5,15,133.1836
Chandigarh,2011,3,29,5,30,135.104
Chandigarh,2011,3,29,5,45,140.9212
Chandigarh,2011,3,29,6,0,147.096
Chandigarh,2011,3,29,6,15,151.2928
Chandigarh,2011,3,29,6,30,159.1636
Chandigarh,2011,3,29,6,45,160.5544
Chandigarh,2011,3,29,7,0,168.8484
Chandigarh,2011,3,29,7,15,169.4284
Chandigarh,2011,3,29,7,30,172.6132
Chandigarh,2011,3,29,7,45,169.2308
Chandigarh,2011,3,29,8,0,172.99
Chandigarh,2011,3,29,8,15,183.4364
Chandigarh,2011,3,29,8,30,185.7924
Chandigarh,2011,3,29,8,45,186.2072
Chandigarh,2011,3,29,9,0,183.5948
Chandigarh,2011,3,29,9,15,185.5444
Chandigarh,2011,3,29,9,30,184.4268
Chandigarh,2011,3,29,9,45,185.3312
Chandigarh,2011,3,29,10,0,186.484
Chandigarh,2011,3,29,10,15,186.3828
Chandigarh,2011,3,29,10,30,187.7388
Chandigarh,2011,3,29,10,45,189.9936
Chandigarh,2011,3,29,11,0,191.4736
Chandigarh,2011,3,29,11,15,191.5004
Chandigarh,2011,3,29,11,30,189.076
Chandigarh,2011,3,29,11,45,185.6944
Chandigarh,2011,3,29,12,0,187.8112
Chandigarh,2011,3,29,12,15,190.1288
Chandigarh,2011,3,29,12,30,194.8472
Chandigarh,2011,3,29,12,45,195.0244
Chandigarh,2011,3,29,13,0,194.904
Chandigarh,2011,3,29,13,15,196.6408
Chandigarh,2011,3,29,13,30,198.2592
Chandigarh,2011,3,29,13,45,196.8356
Chandigarh,2011,3,29,14,0,193.6564
Chandigarh,2011,3,29,14,15,189.7712
Chandigarh,2011,3,29,14,30,192.6724
Chandigarh,2011,3,29,14,45,192.1156
Chandigarh,2011,3,29,15,0,192.4456
Chandigarh,2011,3,29,15,15,184.1776
Chandigarh,2011,3,29,15,30,187.1308
Chandigarh,2011,3,29,15,45,187.702
Chandigarh,2011,3,29,16,0,192.1556
Chandigarh,2011,3,29,16,15,191.876
Chandigarh,2011,3,29,16,30,189.802
Chandigarh,2011,3,29,16,45,189.0492
Chandigarh,2011,3,29,17,0,189.7992
Chandigarh,2011,3,29,17,15,190.3628
Chandigarh,2011,3,29,17,30,188.4656
Chandigarh,2011,3,29,17,45,185.558
Chandigarh,2011,3,29,18,0,183.6376
Chandigarh,2011,3,29,18,15,186.1232
Chandigarh,2011,3,29,18,30,192.0968
Chandigarh,2011,3,29,18,45,198.112
Chandigarh,2011,3,29,19,0,203.1552
Chandigarh,2011,3,29,19,15,208.9096
Chandigarh,2011,3,29,19,30,207.9268
Chandigarh,2011,3,29,19,45,205.0076
Chandigarh,2011,3,29,20,0,201.4988
Chandigarh,2011,3,29,20,15,201.3812
Chandigarh,2011,3,29,20,30,204.8392
Chandigarh,2011,3,29,20,45,201.0852
Chandigarh,2011,3,29,21,0,194.5556
Chandigarh,2011,3,29,21,15,189.656
Chandigarh,2011,3,29,21,30,178.5792
Chandigarh,2011,3,29,21,45,174.7148
Chandigarh,2011,3,29,22,0,124.5684
Chandigarh,2011,3,29,22,15,70.3096
Chandigarh,2011,3,29,22,30,62.1764
Chandigarh,2011,3,29,22,45,61.2152
Chandigarh,2011,3,29,23,0,70.8024
Chandigarh,2011,3,29,23,15,77.0824
