"city","YR","M","D","HR","MW"
"Dakar",2014,1,1,1,297.259190255875
"Dakar",2014,1,1,2,279.824170398796
"Dakar",2014,1,1,3,248.769714461411
"Dakar",2014,1,1,4,242.289214806641
"Dakar",2014,1,1,5,229.287217972661
"Dakar",2014,1,1,6,217.615431704427
"Dakar",2014,1,1,7,213.829655740643
"Dakar",2014,1,1,8,214.453638384129
"Dakar",2014,1,1,9,228.281331148888
"Dakar",2014,1,1,10,232.797882380153
"Dakar",2014,1,1,11,244.311858086968
"Dakar",2014,1,1,12,255.158070080663
"Dakar",2014,1,1,13,270.711707139636
"Dakar",2014,1,1,14,262.444149698878
"Dakar",2014,1,1,15,262.589207232381
"Dakar",2014,1,1,16,257.544656554664
"Dakar",2014,1,1,17,256.310655712093
"Dakar",2014,1,1,18,281.013532499517
"Dakar",2014,1,1,19,321.094022940838
"Dakar",2014,1,1,20,372.758698345387
"Dakar",2014,1,1,21,370.125819735492
"Dakar",2014,1,1,22,354.30919401666
"Dakar",2014,1,1,23,318.155522309507
"Dakar",2014,1,2,0,274.31965498277
"Dakar",2014,1,2,1,246.371690255875
"Dakar",2014,1,2,2,224.692670398796
"Dakar",2014,1,2,3,218.009214461411
"Dakar",2014,1,2,4,212.935214806641
"Dakar",2014,1,2,5,207.555717972661
"Dakar",2014,1,2,6,203.696931704427
"Dakar",2014,1,2,7,230.232155740643
"Dakar",2014,1,2,8,231.146138384129
"Dakar",2014,1,2,9,270.984831148888
"Dakar",2014,1,2,10,291.625382380153
"Dakar",2014,1,2,11,307.112858086968
"Dakar",2014,1,2,12,301.572570080663
"Dakar",2014,1,2,13,296.320707139636
"Dakar",2014,1,2,14,287.113149698878
"Dakar",2014,1,2,15,300.172207232381
"Dakar",2014,1,2,16,311.357656554664
"Dakar",2014,1,2,17,315.575655712093
"Dakar",2014,1,2,18,301.997032499517
"Dakar",2014,1,2,19,337.403522940838
"Dakar",2014,1,2,20,396.797698345387
"Dakar",2014,1,2,21,386.877319735492
"Dakar",2014,1,2,22,373.28419401666
"Dakar",2014,1,2,23,338.643522309507
"Dakar",2014,1,3,0,288.40865498277
"Dakar",2014,1,3,1,260.348190255875
"Dakar",2014,1,3,2,230.585670398796
"Dakar",2014,1,3,3,224.298214461411
"Dakar",2014,1,3,4,207.751214806641
"Dakar",2014,1,3,5,228.622717972661
"Dakar",2014,1,3,6,242.591431704427
"Dakar",2014,1,3,7,249.607655740643
"Dakar",2014,1,3,8,245.121638384129
"Dakar",2014,1,3,9,293.778331148888
"Dakar",2014,1,3,10,298.277882380153
"Dakar",2014,1,3,11,305.634858086968
"Dakar",2014,1,3,12,309.576070080663
"Dakar",2014,1,3,13,306.140707139636
"Dakar",2014,1,3,14,281.321149698878
"Dakar",2014,1,3,15,286.312707232381
"Dakar",2014,1,3,16,303.218156554664
"Dakar",2014,1,3,17,305.602155712093
"Dakar",2014,1,3,18,307.384032499517
"Dakar",2014,1,3,19,348.285522940838
"Dakar",2014,1,3,20,395.582198345387
"Dakar",2014,1,3,21,389.115319735492
"Dakar",2014,1,3,22,375.39169401666
"Dakar",2014,1,3,23,352.203522309507
"Dakar",2014,1,4,0,304.38265498277
"Dakar",2014,1,4,1,268.482190255875
"Dakar",2014,1,4,2,246.101170398796
"Dakar",2014,1,4,3,234.658214461411
"Dakar",2014,1,4,4,228.279214806641
"Dakar",2014,1,4,5,230.075717972661
"Dakar",2014,1,4,6,230.212431704427
"Dakar",2014,1,4,7,220.007155740643
"Dakar",2014,1,4,8,227.881638384129
"Dakar",2014,1,4,9,255.392831148888
"Dakar",2014,1,4,10,272.253382380153
"Dakar",2014,1,4,11,278.526858086968
"Dakar",2014,1,4,12,279.572570080663
"Dakar",2014,1,4,13,287.887207139636
"Dakar",2014,1,4,14,281.941149698878
"Dakar",2014,1,4,15,263.520707232381
"Dakar",2014,1,4,16,284.797656554664
"Dakar",2014,1,4,17,286.747155712093
"Dakar",2014,1,4,18,296.695532499517
"Dakar",2014,1,4,19,343.500522940838
"Dakar",2014,1,4,20,384.147698345387
"Dakar",2014,1,4,21,381.188819735492
"Dakar",2014,1,4,22,369.67419401666
"Dakar",2014,1,4,23,346.382522309507
"Dakar",2014,1,5,0,299.15315498277
"Dakar",2014,1,5,1,271.312190255875
"Dakar",2014,1,5,2,244.113670398796
"Dakar",2014,1,5,3,236.210214461411
"Dakar",2014,1,5,4,230.155214806641
"Dakar",2014,1,5,5,224.554717972661
"Dakar",2014,1,5,6,223.766431704427
"Dakar",2014,1,5,7,232.376155740643
"Dakar",2014,1,5,8,230.907138384129
"Dakar",2014,1,5,9,252.747831148888
"Dakar",2014,1,5,10,253.681382380153
"Dakar",2014,1,5,11,268.120358086968
"Dakar",2014,1,5,12,270.268570080663
"Dakar",2014,1,5,13,276.581207139636
"Dakar",2014,1,5,14,273.501149698878
"Dakar",2014,1,5,15,274.074207232381
"Dakar",2014,1,5,16,267.689656554664
"Dakar",2014,1,5,17,270.501655712093
"Dakar",2014,1,5,18,281.339032499517
"Dakar",2014,1,5,19,334.765022940838
"Dakar",2014,1,5,20,377.727698345387
"Dakar",2014,1,5,21,379.317319735492
"Dakar",2014,1,5,22,375.68919401666
"Dakar",2014,1,5,23,330.548022309507
"Dakar",2014,1,6,0,292.30415498277
"Dakar",2014,1,6,1,242.270690255875
"Dakar",2014,1,6,2,237.289170398796
"Dakar",2014,1,6,3,231.519214461411
"Dakar",2014,1,6,4,227.695714806641
"Dakar",2014,1,6,5,226.501717972661
"Dakar",2014,1,6,6,241.701431704427
"Dakar",2014,1,6,7,261.502655740643
"Dakar",2014,1,6,8,262.521638384129
"Dakar",2014,1,6,9,287.628331148888
"Dakar",2014,1,6,10,291.292882380153
"Dakar",2014,1,6,11,310.514858086968
"Dakar",2014,1,6,12,317.786070080663
"Dakar",2014,1,6,13,325.880707139636
"Dakar",2014,1,6,14,323.027649698878
"Dakar",2014,1,6,15,320.395707232381
"Dakar",2014,1,6,16,320.263656554664
"Dakar",2014,1,6,17,323.869155712093
"Dakar",2014,1,6,18,317.927032499517
"Dakar",2014,1,6,19,354.041522940838
"Dakar",2014,1,6,20,403.993198345387
"Dakar",2014,1,6,21,400.344319735492
"Dakar",2014,1,6,22,396.63169401666
"Dakar",2014,1,6,23,348.694022309507
"Dakar",2014,1,7,0,295.80215498277
"Dakar",2014,1,7,1,265.183690255875
"Dakar",2014,1,7,2,246.935670398796
"Dakar",2014,1,7,3,234.895714461411
"Dakar",2014,1,7,4,232.221214806641
"Dakar",2014,1,7,5,228.731717972661
"Dakar",2014,1,7,6,261.226431704427
"Dakar",2014,1,7,7,290.102655740643
"Dakar",2014,1,7,8,300.381638384129
"Dakar",2014,1,7,9,301.353331148888
"Dakar",2014,1,7,10,302.967882380153
"Dakar",2014,1,7,11,312.619858086968
"Dakar",2014,1,7,12,323.071070080663
"Dakar",2014,1,7,13,320.925707139636
"Dakar",2014,1,7,14,308.850149698878
"Dakar",2014,1,7,15,312.141207232381
"Dakar",2014,1,7,16,322.947656554664
"Dakar",2014,1,7,17,323.580655712093
"Dakar",2014,1,7,18,322.115032499517
"Dakar",2014,1,7,19,320.189522940839
"Dakar",2014,1,7,20,393.480198345387
"Dakar",2014,1,7,21,402.562819735492
"Dakar",2014,1,7,22,384.36119401666
"Dakar",2014,1,7,23,354.494522309507
"Dakar",2014,1,8,0,298.72965498277
"Dakar",2014,1,8,1,262.306190255875
"Dakar",2014,1,8,2,247.339170398796
"Dakar",2014,1,8,3,244.389714461411
"Dakar",2014,1,8,4,240.842214806641
"Dakar",2014,1,8,5,236.172717972661
"Dakar",2014,1,8,6,244.110431704427
"Dakar",2014,1,8,7,282.859155740643
"Dakar",2014,1,8,8,295.140138384129
"Dakar",2014,1,8,9,304.368831148888
"Dakar",2014,1,8,10,308.439382380153
"Dakar",2014,1,8,11,313.293858086968
"Dakar",2014,1,8,12,316.924070080663
