city,YR,M,D,HR,MIN,MW
Delhi,2012,4,1,0,0,2307.03
Delhi,2012,4,1,0,30,2226.95
Delhi,2012,4,1,1,30,2067.59
Delhi,2012,4,1,2,0,2011.88
Delhi,2012,4,1,2,30,1993.09
Delhi,2012,4,1,3,0,1991.33
Delhi,2012,4,1,3,30,1943.17
Delhi,2012,4,1,4,0,1953.77
Delhi,2012,4,1,4,30,1986.05
Delhi,2012,4,1,5,0,2041.72
Delhi,2012,4,1,5,30,2144.02
Delhi,2012,4,1,6,0,2259.35
Delhi,2012,4,1,6,30,2377.65
Delhi,2012,4,1,7,0,2487.9
Delhi,2012,4,1,7,30,2507.72
Delhi,2012,4,1,8,0,2515.42
Delhi,2012,4,1,8,30,2512.42
Delhi,2012,4,1,9,0,2475.65
Delhi,2012,4,1,9,30,2513.84
Delhi,2012,4,1,10,0,2567.92
Delhi,2012,4,1,10,30,2566.05
Delhi,2012,4,1,11,0,2625.82
Delhi,2012,4,1,11,30,2631.1
Delhi,2012,4,1,12,0,2666.02
Delhi,2012,4,1,12,30,2653.99
Delhi,2012,4,1,13,0,2582.94
Delhi,2012,4,1,13,30,2476.13
Delhi,2012,4,1,14,0,2518.19
Delhi,2012,4,1,14,30,2584.84
Delhi,2012,4,1,15,0,2556.2
Delhi,2012,4,1,15,30,2559.82
Delhi,2012,4,1,16,0,2581.74
Delhi,2012,4,1,16,30,2570.56
Delhi,2012,4,1,17,0,2540.48
Delhi,2012,4,1,17,30,2590.1
Delhi,2012,4,1,18,0,2491.13
Delhi,2012,4,1,18,30,2658
Delhi,2012,4,1,19,0,2889.66
Delhi,2012,4,1,19,30,2961.04
Delhi,2012,4,1,20,0,2961.8
Delhi,2012,4,1,20,30,2856.7
Delhi,2012,4,1,21,0,2816.53
Delhi,2012,4,1,21,30,2771.7
Delhi,2012,4,1,22,0,2745.08
Delhi,2012,4,1,22,30,2689.65
Delhi,2012,4,1,23,0,2609.42
Delhi,2012,4,1,23,30,2403.28
Delhi,2012,4,2,0,0,2422.67
Delhi,2012,4,2,0,30,2269.32
Delhi,2012,4,2,1,0,2233.07
Delhi,2012,4,2,1,30,2106.48
Delhi,2012,4,2,2,0,2162.04
Delhi,2012,4,2,2,30,2129.22
Delhi,2012,4,2,3,0,1991.55
Delhi,2012,4,2,4,0,2062.4
Delhi,2012,4,2,4,30,2072.55
Delhi,2012,4,2,5,0,2080.13
Delhi,2012,4,2,6,0,2424.36
Delhi,2012,4,2,6,30,2577.86
Delhi,2012,4,2,7,0,2709.54
Delhi,2012,4,2,7,30,2648.89
Delhi,2012,4,2,8,0,2623.51
Delhi,2012,4,2,8,30,2680.79
Delhi,2012,4,2,9,0,2743.53
Delhi,2012,4,2,9,30,2867.21
Delhi,2012,4,2,10,0,3095.6
Delhi,2012,4,2,10,30,3121.14
Delhi,2012,4,2,11,0,3236.72
Delhi,2012,4,2,11,30,3255.89
Delhi,2012,4,2,12,0,3241.89
Delhi,2012,4,2,12,30,3249.32
Delhi,2012,4,2,13,0,3121.84
Delhi,2012,4,2,13,30,2990.45
Delhi,2012,4,2,14,0,3131.71
Delhi,2012,4,2,14,30,3151.66
Delhi,2012,4,2,15,0,3231.76
Delhi,2012,4,2,15,30,3162.82
Delhi,2012,4,2,16,0,3092.92
Delhi,2012,4,2,16,30,3200.81
Delhi,2012,4,2,17,0,3138.76
Delhi,2012,4,2,17,30,3101.95
Delhi,2012,4,2,18,0,3155.52
Delhi,2012,4,2,18,30,3127.54
Delhi,2012,4,2,19,0,3378.55
Delhi,2012,4,2,19,30,3362.09
Delhi,2012,4,2,20,0,3314.16
Delhi,2012,4,2,20,30,3220.59
Delhi,2012,4,2,21,0,3116.19
Delhi,2012,4,2,21,30,3147.95
Delhi,2012,4,2,22,0,3045.87
Delhi,2012,4,2,22,30,2964.58
Delhi,2012,4,2,23,0,2871.53
Delhi,2012,4,2,23,30,2762.46
Delhi,2012,4,3,0,0,2585.52
Delhi,2012,4,3,0,30,2487.46
Delhi,2012,4,3,1,0,2467.24
Delhi,2012,4,3,1,30,2397.93
Delhi,2012,4,3,2,0,2315.92
Delhi,2012,4,3,2,30,2266.81
Delhi,2012,4,3,3,0,2274.74
Delhi,2012,4,3,3,30,2195.23
Delhi,2012,4,3,4,0,2073.99
Delhi,2012,4,3,4,30,2110.32
Delhi,2012,4,3,5,0,2166.05
Delhi,2012,4,3,5,30,2318.45
Delhi,2012,4,3,6,0,2543.08
Delhi,2012,4,3,6,30,2694.62
Delhi,2012,4,3,7,0,2735.53
Delhi,2012,4,3,7,30,2735.36
Delhi,2012,4,3,8,0,2732.54
Delhi,2012,4,3,8,30,2745.65
Delhi,2012,4,3,9,0,2836.12
Delhi,2012,4,3,9,30,3065.6
Delhi,2012,4,3,10,0,3211.15
Delhi,2012,4,3,10,30,3303
Delhi,2012,4,3,11,0,3340.3
Delhi,2012,4,3,11,30,3301.31
Delhi,2012,4,3,12,0,3327.94
Delhi,2012,4,3,12,30,3350.68
Delhi,2012,4,3,13,0,3223.89
Delhi,2012,4,3,13,30,3165.63
Delhi,2012,4,3,14,0,3276.94
Delhi,2012,4,3,14,30,3339.45
Delhi,2012,4,3,15,0,3395.64
Delhi,2012,4,3,15,30,3398.43
Delhi,2012,4,3,16,0,3380.29
Delhi,2012,4,3,16,30,3406.63
Delhi,2012,4,3,17,0,3424.14
Delhi,2012,4,3,17,30,3181.4
Delhi,2012,4,3,18,0,3249.95
Delhi,2012,4,3,18,30,3304.32
Delhi,2012,4,3,19,0,3489.2
Delhi,2012,4,3,19,30,2979.16
Delhi,2012,4,3,20,30,3063.99
Delhi,2012,4,3,21,0,2964.76
Delhi,2012,4,3,21,30,3081.9
Delhi,2012,4,3,22,0,3132.41
Delhi,2012,4,3,22,30,3202.66
Delhi,2012,4,3,23,0,3110.29
Delhi,2012,4,3,23,30,2935.67
Delhi,2012,4,4,0,0,2782.41
Delhi,2012,4,4,0,30,2665.72
Delhi,2012,4,4,1,0,2560.72
Delhi,2012,4,4,1,30,2533.16
Delhi,2012,4,4,2,0,2478.7
Delhi,2012,4,4,2,30,2427.36
Delhi,2012,4,4,3,0,2352.56
Delhi,2012,4,4,3,30,2318.3
Delhi,2012,4,4,4,0,2292.29
Delhi,2012,4,4,4,30,2281.57
Delhi,2012,4,4,5,0,2316.63
Delhi,2012,4,4,5,30,2432.34
Delhi,2012,4,4,6,0,2588.74
Delhi,2012,4,4,6,30,2749.62
Delhi,2012,4,4,7,0,2793.63
Delhi,2012,4,4,7,30,2751.43
Delhi,2012,4,4,8,0,2727.03
Delhi,2012,4,4,8,30,2809.88
Delhi,2012,4,4,9,0,2863.21
Delhi,2012,4,4,9,30,3079.04
Delhi,2012,4,4,10,0,3209.05
Delhi,2012,4,4,10,30,3355.29
Delhi,2012,4,4,11,0,3415.21
Delhi,2012,4,4,11,30,3327.97
Delhi,2012,4,4,12,0,3365.73
Delhi,2012,4,4,12,30,3387.6
Delhi,2012,4,4,13,0,3373.35
Delhi,2012,4,4,13,30,3278.79
Delhi,2012,4,4,14,0,3346.96
Delhi,2012,4,4,14,30,3460.68
Delhi,2012,4,4,15,0,3466.58
Delhi,2012,4,4,15,30,3445.93
Delhi,2012,4,4,16,0,3400.19
Delhi,2012,4,4,16,30,3417.98
Delhi,2012,4,4,17,0,3390.17
Delhi,2012,4,4,17,30,3339.28
Delhi,2012,4,4,18,0,3382.64
Delhi,2012,4,4,18,30,3301.14
Delhi,2012,4,4,19,0,3456.74
Delhi,2012,4,4,19,30,3553.5
Delhi,2012,4,4,20,0,3510.33
Delhi,2012,4,4,20,30,3364.7
Delhi,2012,4,4,21,0,3257.62
Delhi,2012,4,4,21,30,3201.21
Delhi,2012,4,4,22,0,3204.71
Delhi,2012,4,4,22,30,3163.45
Delhi,2012,4,4,23,0,3095.39
Delhi,2012,4,4,23,30,3002.67
Delhi,2012,4,5,0,0,2861.73
Delhi,2012,4,5,0,30,2737.38
Delhi,2012,4,5,1,0,2635.35
Delhi,2012,4,5,1,30,2574.6
Delhi,2012,4,5,2,0,2512.81
Delhi,2012,4,5,2,30,2489.44
Delhi,2012,4,5,3,0,2424.82
Delhi,2012,4,5,3,30,2397.38
Delhi,2012,4,5,4,0,2371.61
Delhi,2012,4,5,4,30,2332.88
Delhi,2012,4,5,5,0,2354.34
Delhi,2012,4,5,5,30,2409.58
Delhi,2012,4,5,6,0,2434.34
Delhi,2012,4,5,6,30,2555.58
Delhi,2012,4,5,7,0,2591.36
Delhi,2012,4,5,7,30,2651.42
Delhi,2012,4,5,8,0,2654.41
Delhi,2012,4,5,8,30,2696.19
Delhi,2012,4,5,9,0,2757.21
Delhi,2012,4,5,9,30,2973.62
Delhi,2012,4,5,10,0,3150.25
Delhi,2012,4,5,10,30,3213.66
Delhi,2012,4,5,11,0,3260.6
Delhi,2012,4,5,11,30,3295.96
Delhi,2012,4,5,12,0,3331.33
Delhi,2012,4,5,12,30,3313.9
Delhi,2012,4,5,13,0,3204.85
Delhi,2012,4,5,13,30,3087.8
Delhi,2012,4,5,14,0,3196.8
Delhi,2012,4,5,14,30,3236.09
Delhi,2012,4,5,15,0,3273.93
Delhi,2012,4,5,15,30,3288.25
Delhi,2012,4,5,16,0,3272.31
Delhi,2012,4,5,16,30,3267.98
Delhi,2012,4,5,17,0,3286.98
Delhi,2012,4,5,17,30,3261.44
Delhi,2012,4,5,18,0,3249.72
Delhi,2012,4,5,18,30,3209.65
Delhi,2012,4,5,19,0,3405.41
Delhi,2012,4,5,19,30,3507.55
Delhi,2012,4,5,20,0,3490.56
Delhi,2012,4,5,20,30,3405.48
Delhi,2012,4,5,21,0,3244.89
Delhi,2012,4,5,21,30,3165.4
Delhi,2012,4,5,22,0,3147.92
Delhi,2012,4,5,22,30,3123.29
